Gene	Gene.name	Tissue	nTPM	fda	gwcat	gwasTraits	fdaGeneDesc
ENSG00000166535	A2ML1	esophagus	556.3	0	1	Metabolite levels;Cholesterol, total;Small cell lung carcinoma;Refractive error;Total cholesterol levels	
ENSG00000198074	AKR1B10	esophagus	224.5	0	1	White matter growth;Weight;Familial lung adenocarcinoma;Diastolic blood pressure;Medication use (agents acting on the renin-angiotensin system)	
ENSG00000135046	ANXA1	esophagus	7527.7	1	1	Heel bone mineral density;Plasma anti-thyroglobulin and anti-thyroid peroxidase levels (bivariate analysis);Chronic obstructive pulmonary disease-related biomarkers;Urate levels in obese individuals;Pursuit maintenance gain	Annexin A1
ENSG00000182718	ANXA2	esophagus	2185.3	1	1	Type 2 diabetes;Night sleep phenotypes;Blood protein levels;Response to statin therapy	Annexin A2
ENSG00000082196	C1QTNF3	esophagus	33.4	0	1	Age-related cognitive decline (attention/processing speed) (slope of z-scores);Estimated glomerular filtration rate;Glomerular filtration rate;Creatinine levels;Blood protein levels	
ENSG00000128510	CPA4	esophagus	21.6	0	1	Waist-to-hip ratio adjusted for BMI (age >50);Waist-to-hip ratio adjusted for BMI x sex x age interaction (4df test);Blood protein levels;Rheumatoid arthritis	
ENSG00000143369	ECM1	esophagus	1370.5	0	1	Refractive error;Trunk fat mass;Spontaneous coronary artery dissection;Brain morphology (MOSTest)	
ENSG00000127129	EDN2	esophagus	20.8	0	1	Metabolite levels;Squamous cell lung carcinoma;Phenylephrine infusion rate during anesthesia;Night sleep phenotypes;PR interval	
ENSG00000111405	ENDOU	esophagus	82.9	0	1	Blood protein levels;Chronic obstructive pulmonary disease or high blood pressure (pleiotropy)	
ENSG00000182585	EPGN	esophagus	49	0	1	Breast size;Immune reponse to smallpox (secreted IL-1beta)	
ENSG00000137440	FGFBP1	esophagus	421.8	0	1	Severe insulin-deficient type 2 diabetes	
ENSG00000068078	FGFR3	esophagus	139.7	1	1	Bladder cancer;Chronic obstructive pulmonary disease-related biomarkers;Plateletcrit;Neutrophil percentage of white cells	Fibroblast growth factor receptor 3
ENSG00000156413	FUT6	esophagus	79.4	0	1	Elevated serum carcinoembryonic antigen levels;Vitamin B12 levels;White blood cell count (basophil);Basophil percentage of granulocytes	
ENSG00000150782	IL18	esophagus	124.5	0	1	Acute anterior uveitis (with or without ankylosing spondylitis);Blood protein levels;Asthma	
ENSG00000115008	IL1A	esophagus	13.3	0	1	Endometriosis;Post-term birth;Gestational age at birth (child effect);Dysmenorrheic pain severity	
ENSG00000136689	IL1RN	esophagus	1969.7	0	1	Fibrinogen;C-reactive protein;Sum neutrophil eosinophil counts;Neutrophil count;Myeloid white cell count	
ENSG00000129451	KLK10	esophagus	412.5	0	1	Blood protein levels	
ENSG00000167757	KLK11	esophagus	324.2	0	1	Blood protein levels;Blood protein levels in cardiovascular risk;kallikrein-11 levels	
ENSG00000167759	KLK13	esophagus	519.9	0	1	Blood protein levels	
ENSG00000167755	KLK6	esophagus	94.2	0	1	Blood protein levels in cardiovascular risk	
ENSG00000129455	KLK8	esophagus	118	0	1	Blood protein levels	
ENSG00000159166	LAD1	esophagus	362.1	0	1	Bipolar disorder;Refractive error;Body fat distribution (leg fat ratio);Body fat distribution (trunk fat ratio)	
ENSG00000176945	MUC20	esophagus	58.5	0	1	Lung disease severity in cystic fibrosis	
ENSG00000145113	MUC4	esophagus	19.2	0	1	Red blood cell density in sickle cell anemia;Lung disease severity in cystic fibrosis	
ENSG00000109255	NMU	esophagus	100.2	0	1	Metabolite levels;Urinary albumin-to-creatinine ratio;Number of sexual partners;Corneal astigmatism	
ENSG00000159527	PGLYRP3	esophagus	38.9	0	1	Asthma;Schizophrenia, bipolar disorder or major depressive disorder x sex interaction	
ENSG00000005001	PRSS22	esophagus	79.6	0	1	Blood protein levels	
ENSG00000203722	RAET1G	esophagus	15.1	0	1	Brain morphology (MOSTest);Subcortical volume (MOSTest);Heel bone mineral density x serum urate levels interaction	
ENSG00000143546	S100A8	esophagus	24565.6	0	1	Asthma;Matrix metalloproteinase-8 levels;Monocyte count	
ENSG00000163220	S100A9	esophagus	30581.7	0	1	Asthma;Basophil percentage of white cells;Matrix metalloproteinase-8 levels	
ENSG00000189001	SBSN	esophagus	1056.2	0	1	Plateletcrit;Platelet count	
ENSG00000115884	SDC1	esophagus	491.6	0	1	Amyotrophic lateral sclerosis (sporadic);Seasonality;Triglyceride levels;LDL cholesterol levels;HDL cholesterol levels	
ENSG00000001617	SEMA3F	esophagus	100.8	0	1	Glaucoma;Intraocular pressure;General risk tolerance (MTAG);Refractive error;Smoking initiation	
ENSG00000021355	SERPINB1	esophagus	478.3	0	1	Cognitive performance (processing speed);Asthma;Eosinophil counts;Eosinophil percentage of granulocytes;Cerebrospinal fluid AB1-42 levels	
ENSG00000133710	SPINK5	esophagus	1015	0	1	Blood protein levels	
ENSG00000145879	SPINK7	esophagus	620.4	0	1	Experiencing mood swings;Chronic obstructive pulmonary disease or high blood pressure (pleiotropy)	
ENSG00000166145	SPINT1	esophagus	255.5	0	1	Visceral adipose tissue/subcutaneous adipose tissue ratio;Malaria;Blood protein levels	
ENSG00000137648	TMPRSS4	esophagus	108.7	0	1	Lean body mass	
ENSG00000131015	ULBP2	esophagus	6.1	0	1	Neurological blood protein biomarker levels	
ENSG00000135925	WNT10A	esophagus	7	0	1	Triglyceride levels;Number of decayed, missing and filled tooth surfaces or use of dentures;Dentures;Acne (severe)	
ENSG00000188064	WNT7B	esophagus	12.4	0	1	Heel bone mineral density;Refractive error;Hemoglobin levels;Body mass index	
