Gene	Gene.name	Tissue	nTPM	fda	fdaGeneDesc	gwcat	gwasTraits
ENSG00000123983	ACSL3	parathyroid_gland	172.1	0		1	Mild influenza (H1N1) infection
ENSG00000114948	ADAM23	parathyroid_gland	82.9	0		1	Fish- and plant-related diet;Blood protein levels;Tonsillectomy;Trunk fat mass;Waist-hip ratio
ENSG00000111863	ADTRP	parathyroid_gland	92.9	0		1	Spatial processing;Apolipoprotein B levels;Refractive error;Daytime sleep phenotypes;Body mass index
ENSG00000170017	ALCAM	parathyroid_gland	438.9	0		1	Amyotrophic lateral sclerosis (sporadic);Metabolite levels;Plasma omega-6 polyunsaturated fatty acid levels (dihomo-gamma-linolenic acid);Age-related cognitive decline (memory) (slope of z-scores);Apolipoprotein A1 levels
ENSG00000127249	ATP13A4	parathyroid_gland	58.4	0		1	Obsession score in obsessive compulsive disorder;Major depressive episode treated with electroconvulsive therapy
ENSG00000163399	ATP1A1	parathyroid_gland	1482.3	1	ATPase Na+/K+ transporting subunit alpha 1	1	HDL cholesterol levels in HIV infection;Coffee consumption;Macular thickness;Hip index
ENSG00000182220	ATP6AP2	parathyroid_gland	765.1	0		1	Metabolite levels
ENSG00000036828	CASR	parathyroid_gland	654.4	1	Calcium sensing receptor	1	Phosphorus levels;QT interval;Cardiac Troponin-T levels;Serum parathyroid hormone levels;Eosinophil counts
ENSG00000156535	CD109	parathyroid_gland	330.4	0		1	Metabolite levels;Heel bone mineral density;Blood protein levels;Coronary artery disease
ENSG00000010610	CD4	parathyroid_gland	173.8	1	CD4 molecule	1	Schizophrenia;Height;Systemic lupus erythematosus;Rheumatoid arthritis
ENSG00000039068	CDH1	parathyroid_gland	197.8	0		1	Glucose homeostasis traits;Blood pressure (smoking interaction);Adiponectin levels;Airway responsiveness in chronic obstructive pulmonary disease;Obsessive-compulsive disorder
ENSG00000122873	CISD1	parathyroid_gland	82.3	0		1	Inflammatory bowel disease;Crohns disease
