Gene	Gene.name	Tissue	nTPM	fda	gwcat	gwasTraits	fdaGeneDesc
ENSG00000154734	ADAMTS1	ovary	314.4	0	1	Height;Amyotrophic lateral sclerosis (sporadic);Metabolite levels	
ENSG00000145536	ADAMTS16	ovary	10.4	0	1	Functional impairment in major depressive disorder, bipolar disorder and schizophrenia;Night sleep phenotypes;Parkinsons disease progression (composite);Heparin-induced thrombocytopenia	
ENSG00000158859	ADAMTS4	ovary	95.9	0	1	Asthma;HDL cholesterol levels;Monocyte percentage of white cells	
ENSG00000187151	ANGPTL5	ovary	22.4	0	1	Response to methotrexate in juvenile idiopathic arthritis;Systemic sclerosis;Daytime nap	
ENSG00000205929	C21orf62	ovary	14.2	0	1	Gastroesophageal reflux disease	
ENSG00000112936	C7	ovary	735.4	0	1	Blood metabolite ratios;Blood metabolite levels	
ENSG00000183287	CCBE1	ovary	33.5	0	1	Age-related hearing impairment;PR interval;High light scatter reticulocyte count;Major depressive disorder	
ENSG00000006606	CCL26	ovary	20.4	0	1	Carotid plaque burden;Response to cognitive-behavioural therapy in major depressive disorder	
ENSG00000109625	CPZ	ovary	144.3	0	1	Height;Refractive error;Blood protein levels;Body fat distribution (leg fat ratio);Body fat distribution (trunk fat ratio)	
ENSG00000115461	IGFBP5	ovary	1323.4	0	1	Metabolite levels;Serum thyroid-stimulating hormone levels;Height;Pulse pressure	
ENSG00000152580	IGSF10	ovary	17.7	0	1	Refractive error	
ENSG00000128606	LRRC17	ovary	76.2	0	1	Diverticular disease	
ENSG00000110492	MDK	ovary	529.1	0	1	Autism spectrum disorder or schizophrenia;Alzheimers disease or fasting glucose levels (pleiotropy);Schizophrenia;Feeling miserable	
ENSG00000124479	NDP	ovary	46.2	0	1	Refractive error;Heel bone mineral density;Serum metabolite levels	
ENSG00000134259	NGF	ovary	18.9	0	1	Diastolic blood pressure;Systolic blood pressure;Migraine;Obstetric antiphospholipid syndrome;Dysmenorrheic pain severity	
ENSG00000144227	NXPH2	ovary	8.1	0	1	Metabolite levels;Glomerular filtration rate in chronic kidney disease;Alcohol dependence;Alloimmunization response to pregnancy (HLA class I)	
ENSG00000170962	PDGFD	ovary	78	0	1	Toenail selenium levels;Metabolite levels;Low density lipoprotein cholesterol levels;LDL cholesterol levels;Apolipoprotein B levels	
ENSG00000127472	PLA2G5	ovary	47.6	0	1	Group IIA secretory phospholipase A2 levels in individuals with elevated hsCRP	
ENSG00000159307	SCUBE1	ovary	26.4	0	1	Blood protein levels;Sensory peripheral neuropathy in microtubule targeting agent-treated breast cancer;Waist circumference adjusted for body mass index;Response to fenofibrate (adiponectin levels);Molar-incisor hypomineralization	
ENSG00000035862	TIMP2	ovary	941	0	1	Heel bone mineral density;Late-onset Alzheimers disease;Dupuytrens disease;Obesity-related traits;Periodontitis (CDC/AAP)	
