Gene	Gene.name	Tissue	nTPM	fda	gwcat	gwasTraits	fdaGeneDesc
ENSG00000237763	AMY1A	salivary_gland	22089.3	0	1	Blood protein levels	
ENSG00000160862	AZGP1	salivary_gland	3847.3	0	1	Refractive error;Ticagrelor levels in individuals with acute coronary syndromes treated with ticagrelor;Red blood cell count;Brain morphology (MOSTest);Subcortical volume (MOSTest)	
ENSG00000131050	BPIFA2	salivary_gland	6860	0	1	Smooth-surface caries;Mean corpuscular hemoglobin;Blood protein levels	
ENSG00000082196	C1QTNF3	salivary_gland	52	0	1	Age-related cognitive decline (attention/processing speed) (slope of z-scores);Estimated glomerular filtration rate;Glomerular filtration rate;Creatinine levels;Blood protein levels	
ENSG00000131686	CA6	salivary_gland	9393.1	1	1	Low density lipoprotein cholesterol levels;LDL cholesterol levels;Corneal hysteresis;Apolipoprotein B levels;Hemoglobin levels	Carbonic anhydrase 6
ENSG00000151882	CCL28	salivary_gland	302.4	0	1	Post bronchodilator FEV1/FVC ratio in COPD;Metabolite levels  (X-11787)	
ENSG00000026508	CD44	salivary_gland	504.2	1	1	Systemic lupus erythematosus;Uterine fibroids;Total body bone mineral density;Intake of sweets;Thiazide-induced adverse metabolic effects in hypertensive patients	CD44 molecule (Indian blood group)
ENSG00000138028	CGREF1	salivary_gland	25.3	0	1	Self-reported risk-taking behaviour;Brain morphology (MOSTest);Cortical thickness (MOSTest);Subcortical volume (MOSTest);Brain morphology (min-P)	
ENSG00000064886	CHI3L2	salivary_gland	142.1	0	1	Blood protein levels	
ENSG00000215018	COL28A1	salivary_gland	18.2	0	1	Daytime sleep phenotypes;Night sleep phenotypes;Frontotemporal dementia (age at onset);Frontotemporal dementia with GRN mutation (age at onset);Immune reponse to smallpox (secreted IL-1beta)	
ENSG00000170373	CST1	salivary_gland	28401.8	0	1	Bipolar disorder;Body fat distribution (leg fat ratio);Body fat distribution (trunk fat ratio);Blood protein levels	
ENSG00000170369	CST2	salivary_gland	5987.1	0	1	Birth length;Waist-to-hip ratio adjusted for BMI (adjusted for smoking behaviour);Bipolar disorder;HDL cholesterol levels	
ENSG00000101441	CST4	salivary_gland	29036.2	0	1	Plasma cystastin c levels in acute coronary syndrome;Chronic kidney disease;Blood protein levels	
ENSG00000170367	CST5	salivary_gland	2156.1	0	1	Blood protein levels;Body mass index (change over time) in cancer or chronic obstructive pulmonary disease;Disease progression in age-related macular degeneration (adjusted for baseline);Response to TNF antagonist treatment	
ENSG00000124205	EDN3	salivary_gland	68.3	0	1	Response to diuretic therapy in hypertension;Diastolic blood pressure (cigarette smoking interaction);Systolic blood pressure (cigarette smoking interaction);Diastolic blood pressure;Systolic blood pressure	
ENSG00000183844	FAM3B	salivary_gland	119.4	0	1	Glycemic traits (pregnancy);Elevated serum carcinoembryonic antigen levels;Blood protein levels;Tumor biomarkers	
ENSG00000275395	FCGBP	salivary_gland	85.4	0	1	Metabolite levels;Response to fenofibrate (triglyceride levels);Hodgkins lymphoma	
ENSG00000156413	FUT6	salivary_gland	45.7	0	1	Elevated serum carcinoembryonic antigen levels;Vitamin B12 levels;White blood cell count (basophil);Basophil percentage of granulocytes	
ENSG00000125965	GDF5	salivary_gland	9.9	0	1	Infant length;Height;Hip circumference adjusted for BMI	
ENSG00000126550	HTN1	salivary_gland	48372.4	0	1	Lysophosphatidylethanolamine levels;Cortical surface area;Cortical volume;Cerebral amyloid deposition (PET imaging);Age at first sexual intercourse	
ENSG00000223648	IGHV3-64	salivary_gland	21	0	1	Proportion of activated microglia (midfrontal cortex)	
ENSG00000211959	IGHV4-39	salivary_gland	247.1	0	1	Proportion of activated microglia (midfrontal cortex);Height;Blood protein levels	
ENSG00000239975	IGKV1D-33	salivary_gland	73.3	0	1	Rheumatic heart disease	
ENSG00000187608	ISG15	salivary_gland	320.4	0	1	Blood protein levels	
ENSG00000174562	KLK15	salivary_gland	5.6	0	1	Prostate-specific antigen levels;Celiac disease;Emphysema annual change measurement in smokers (percent low attenuation area)	
ENSG00000148346	LCN2	salivary_gland	1308.3	0	1	General cognitive ability	
ENSG00000167419	LPO	salivary_gland	1026.8	0	1	White blood cell count (basophil);Post bronchodilator FEV1/FVC ratio in COPD;Basophil percentage of white cells	
ENSG00000090382	LYZ	salivary_gland	21115.5	0	1	Bipolar disorder;Triglyceride levels;Blood protein levels;Gut microbiota (bacterial taxa)	
ENSG00000261857	MIA	salivary_gland	43.3	0	1	Electroencephalogram traits;Kawasaki disease;Blood protein levels;Carotid intima media thickness (mean)	
ENSG00000149968	MMP3	salivary_gland	286.1	0	1	Cerebrospinal fluid levels of Alzheimers disease-related proteins;Post bronchodilator FEV1/FVC ratio in COPD;Peripheral artery disease	
ENSG00000137673	MMP7	salivary_gland	267.9	0	1	Night sleep phenotypes;Prostate-specific antigen levels;Blood protein levels;Prostate cancer	
ENSG00000117983	MUC5B	salivary_gland	2621.9	0	1	Subpleural-predominant interstitial lung abnormalities;Interstitial lung abnormalities;Idiopathic pulmonary fibrosis	
ENSG00000171195	MUC7	salivary_gland	26019.1	0	1	Diabetic nephropathy in type 1 diabetes	
ENSG00000070081	NUCB2	salivary_gland	771.4	0	1	Blood protein levels;Youthful appearance (self-reported);Systolic blood pressure;Pulse pressure;Body mass index	
ENSG00000162896	PIGR	salivary_gland	1645.1	0	1	Blood protein levels;Coronary atherosclerosis (increased number of diseased vessels) (traffic exposure interaction);Precuneus cortex volume;Inflammatory bowel disease	
ENSG00000159763	PIP	salivary_gland	16791.8	0	1	Metabolite levels;Lamb consumption;Bipolar disorder or body mass index;Systolic blood pressure	
ENSG00000153246	PLA2R1	salivary_gland	39.1	0	1	Membranous nephropathy;Refractive error;Blood protein levels	
ENSG00000121335	PRB2	salivary_gland	12081.4	0	1	Night sleep phenotypes;Response to gemcitabine in pancreatic cancer;Survival in pancreatic cancer;Periodontitis (CDC/AAP);Alanine aminotransferase levels	
ENSG00000111215	PRR4	salivary_gland	6616.8	0	1	Asthma;Caffeine consumption from tea;Asthma or allergic disease (pleiotropy);Coffee consumption	
ENSG00000005001	PRSS22	salivary_gland	26.9	0	1	Blood protein levels	
ENSG00000052344	PRSS8	salivary_gland	245.4	0	1	Bipolar I disorder;Bipolar disorder;Waist circumference	
ENSG00000178172	SPINK6	salivary_gland	6.9	0	1	Blood protein levels	
ENSG00000134827	TCN1	salivary_gland	776.3	0	1	Vitamin B levels in ischemic stroke;Vitamin B12 levels;Blood protein levels;Arthritis (juvenile idiopathic)	
ENSG00000161955	TNFSF13	salivary_gland	141.9	0	1	Metabolite levels;IgA nephropathy;IgA levels;Diastolic blood pressure x smoking status (ever vs never) interaction (2df test);HDL cholesterol levels	
ENSG00000101443	WFDC2	salivary_gland	1988.3	0	1	Brain structure	
ENSG00000114251	WNT5A	salivary_gland	34.4	0	1	Metabolite levels;Lung function (FEV1/FVC);Carboplatin disposition in epthelial ovarian cancer;Height;Type 2 diabetes	
ENSG00000162078	ZG16B	salivary_gland	63926.2	0	1	Blood protein levels	
