Gene	Gene.name	Tissue	nTPM	fda	gwcat	gwasTraits	fdaGeneDesc
ENSG00000136378	ADAMTS7	heart_muscle	30.6	0	1	Lung cancer in ever smokers;Lung cancer;Squamous cell lung carcinoma;Lung adenocarcinoma;Refractive error	
ENSG00000106819	ASPN	heart_muscle	95.3	0	1	Blood protein levels;Malaria	
ENSG00000182492	BGN	heart_muscle	795.8	0	1	Male-pattern baldness	
ENSG00000163217	BMP10	heart_muscle	447.8	0	1	Chronic rhinosinusitis	
ENSG00000173918	C1QTNF1	heart_muscle	319.1	0	1	Systemic lupus erythematosus	
ENSG00000206561	COLQ	heart_muscle	17.9	0	1	Diverticular disease;Diverticulitis	
ENSG00000105664	COMP	heart_muscle	65.3	0	1	Osteoarthritis biomarkers;Osteoarthritis (with total hip replacement);QT interval	
ENSG00000006016	CRLF1	heart_muscle	88.5	0	1	Number of decayed, missing and filled tooth surfaces or use of dentures;Dentures;Blood protein levels	
ENSG00000179284	DAND5	heart_muscle	8.5	0	1	Brain morphology (MOSTest);Clozapine-induced agranulocytosis;Mean corpuscular hemoglobin;Medication use (drugs used in diabetes)	
ENSG00000050165	DKK3	heart_muscle	1224	0	1	Response to taxane treatment (docetaxel);Non-response to selective serotonin reuptake inhibitors and depression;Blood protein levels;Response to perphenazine in schizophrenia	
ENSG00000132464	ENAM	heart_muscle	6.5	0	1	Body fat percentage	
ENSG00000185010	F8	heart_muscle	53.2	1	1	Chronic lymphocytic leukemia;Response to antipsychotic therapy (extrapyramidal side effects);Psoriasis;Cervical artery dissection;Metabolite levels	Coagulation factor VIII
ENSG00000189320	FAM180A	heart_muscle	15.9	0	1	Alcoholic chronic pancreatitis;Copper levels;Obesity-related traits;Periodontitis (CDC/AAP)	
ENSG00000163520	FBLN2	heart_muscle	292.8	0	1	Bipolar disorder with mood-incongruent psychosis;Body mass index;Response to cognitive-behavioural therapy in anxiety disorder;Appendicular lean mass;Hip circumference adjusted for BMI	
ENSG00000156427	FGF18	heart_muscle	16.1	0	1	Height	
ENSG00000148180	GSN	heart_muscle	2486.9	0	1	Metabolite levels;Epstein-Barr virus copy number in lymphoblastoid cell lines;Obesity-related traits;Adult body size;Blood protein levels	
ENSG00000170801	HTRA3	heart_muscle	194.9	0	1	Response to cognitive-behavioural therapy in major depressive disorder	
ENSG00000175445	LPL	heart_muscle	407.8	1	1	Lipid traits;Vitamin B levels in ischemic stroke;Blood metabolite ratios	Lipoprotein lipase
ENSG00000127241	MASP1	heart_muscle	116.1	0	1	Amyotrophic lateral sclerosis (sporadic);Blood protein levels;Impulsivity (attentional);Type 2 diabetes	
ENSG00000149294	NCAM1	heart_muscle	145.5	0	1	Suicide attempts in depression or bipolar disorder;Smoking status (ever vs never smokers);Risk-taking tendency (4-domain principal component model);Number of sexual partners	
ENSG00000134259	NGF	heart_muscle	20.8	0	1	Diastolic blood pressure;Systolic blood pressure;Migraine;Obstetric antiphospholipid syndrome;Dysmenorrheic pain severity	
ENSG00000175206	NPPA	heart_muscle	60060.6	0	1	Pulse pressure;Systolic blood pressure;Systolic blood pressure x smoking status (current vs non-current) interaction (2df test)	
ENSG00000120937	NPPB	heart_muscle	5154.6	0	1	B-type natriuretic peptide levels;Systolic blood pressure (cigarette smoking interaction);Diastolic blood pressure (cigarette smoking interaction)	
ENSG00000171119	NRTN	heart_muscle	25.6	0	1	Blood protein levels;N-glycan levels	
ENSG00000065320	NTN1	heart_muscle	59.4	0	1	Pneumoconiosis in silica exposure;Parkinsons disease or first degree relation to individual with Parkinsons disease;Heel bone mineral density	
ENSG00000145730	PAM	heart_muscle	1560.4	0	1	Cholesterol, total;LDL cholesterol;Bronchopulmonary dysplasia;Type 2 diabetes;Height	
ENSG00000163710	PCOLCE2	heart_muscle	123.2	0	1	Red blood cell fatty acid levels;Heel bone mineral density;Pulse pressure;Blood protein levels	
ENSG00000164530	PI16	heart_muscle	127.7	0	1	Acne (severe);Chemerin levels;Diverticular disease;Atrial fibrillation;Schizophrenia x sex interaction	
ENSG00000127472	PLA2G5	heart_muscle	132.7	0	1	Group IIA secretory phospholipase A2 levels in individuals with elevated hsCRP	
ENSG00000189129	PLAC9	heart_muscle	124.3	0	1	Sarcoidosis (non-Lofgrens syndrome without extrapulmonary manifestations)	
ENSG00000107317	PTGDS	heart_muscle	4898.3	0	1	Blood protein levels;Corneal structure;Beta-trace protein levels;Keratoconus	
ENSG00000113296	THBS4	heart_muscle	167.9	0	1	Serum thyroid-stimulating hormone levels;Refractive error;Blood protein levels;Central corneal thickness;Intraocular pressure	
ENSG00000132821	VSTM2L	heart_muscle	81.8	0	1	Levodopa wearing off effect (time symptoms uncontrolled) in Parkinsons disease (response to zonisamide)	
