Gene	Gene.name	Tissue	nTPM	fda	gwcat	gwasTraits	fdaGeneDesc
ENSG00000159640	ACE	small_intestine	265.1	1	1	Blood metabolite ratios;Blood metabolite levels	Angiotensin I converting enzyme
ENSG00000130234	ACE2	small_intestine	242.2	0	1	Glycemic traits (pregnancy);Elevated fasting plasma glucose;Body mass index;Adult body size;Cognitive ability, years of educational attainment or schizophrenia (pleiotropy)	
ENSG00000134028	ADAMDEC1	small_intestine	424.9	0	1	Hair greying	
ENSG00000198074	AKR1B10	small_intestine	354.8	0	1	White matter growth;Weight;Familial lung adenocarcinoma;Diastolic blood pressure;Medication use (agents acting on the renin-angiotensin system)	
ENSG00000110244	APOA4	small_intestine	3112.4	0	1	Lipid traits;Triglyceride levels;HDL cholesterol levels	
ENSG00000152785	BMP3	small_intestine	7.2	0	1	Refractive error;Refractive astigmatism;Corneal astigmatism;Retinal detachment or retinal break;Spherical equivalent or myopia (age of diagnosis)	
ENSG00000162670	BRINP3	small_intestine	17.9	0	1	General risk tolerance (MTAG);Adventurousness;Sleep (1/2-day periodicity);Sleep (1/3-day periodicity);Iron status biomarkers (total iron binding capacity)	
ENSG00000174808	BTC	small_intestine	6.8	0	1	Electroencephalogram traits;Breast size;Chronic obstructive pulmonary disease;Diverticular disease;FEV1	
ENSG00000184163	C1QTNF12	small_intestine	6.7	0	1	Systemic lupus erythematosus	
ENSG00000172156	CCL11	small_intestine	35.8	0	1	Gut microbiota (functional units);Crohns disease;Inflammatory bowel disease;Triglyceride levels in HIV infection	
ENSG00000181374	CCL13	small_intestine	27	0	1	Metabolite levels;Blood protein levels;Inflammatory bowel disease;Crohns disease	
ENSG00000013725	CD6	small_intestine	13.6	0	1	White coat effect (clinic diastolic blood pressure minus ambulatory diastolic blood pressure);Smoking status (ever vs never smokers);Refractive error;Chronic inflammatory diseases (ankylosing spondylitis, Crohns disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)	
ENSG00000142156	COL6A1	small_intestine	217.7	0	1	Corneal resistance factor;Pulse pressure;Refractive error;Spherical equivalent or myopia (age of diagnosis);Waist circumference adjusted for body mass index	
ENSG00000121898	CPXM2	small_intestine	14.9	0	1	Ulcerative colitis;Daytime sleep phenotypes;Smoking initiation (ever regular vs never regular);Appendicular lean mass	
ENSG00000164816	DEFA5	small_intestine	9759.8	0	1	Basophil count;Mercury levels;Cerebrospinal fluid p-Tau181p:AB1-42 ratio;Blood protein levels	
ENSG00000164822	DEFA6	small_intestine	4819.9	0	1	Blood pressure;Night sleep phenotypes;Dental caries (decayed and filled deciduous teeth)	
ENSG00000278535	DHRS11	small_intestine	177	0	1	Body mass index;Estimated glomerular filtration rate	
ENSG00000213918	DNASE1	small_intestine	34.5	0	1	Rheumatoid arthritis;Systemic seropositive rheumatic diseases (Systemic sclerosis or systemic lupus erythematosus or rheumatoid arthritis or idiopathic inflammatory myopathies);Systemic sclerosis	
ENSG00000197635	DPP4	small_intestine	137.9	1	1	Schizophrenia;Smoking status (ever vs never smokers);Rheumatoid arthritis;Blood osmolality (transformed sodium)	Dipeptidyl peptidase 4
ENSG00000143196	DPT	small_intestine	94.2	0	1	TPE interval (resting);Diisocyanate-induced asthma;Rosacea symptom severity;PR interval;Electrocardiographic traits (multivariate)	
ENSG00000154269	ENPP3	small_intestine	44.5	0	1	L-arginine levels;Body mass index (change over time) in lung cancer;Osteoarthritis of the hand;Type 2 diabetes;Resistant hypertension	
ENSG00000187097	ENTPD5	small_intestine	68.4	0	1	Refractive error;Blood protein levels;Serum uric acid levels	
ENSG00000183844	FAM3B	small_intestine	135	0	1	Glycemic traits (pregnancy);Elevated serum carcinoembryonic antigen levels;Blood protein levels;Tumor biomarkers	
ENSG00000275395	FCGBP	small_intestine	148.7	0	1	Metabolite levels;Response to fenofibrate (triglyceride levels);Hodgkins lymphoma	
ENSG00000159224	GIP	small_intestine	93.7	0	1	Height;Lung cancer in ever smokers;Lung adenocarcinoma;Type 2 diabetes	
ENSG00000044012	GUCA2B	small_intestine	143.1	0	1	Apolipoprotein A1 levels	
ENSG00000148357	HMCN2	small_intestine	21.6	0	1	Bicuspid aortic valve without aortic dilation;Aspartate aminotransferase levels;Global electrical heterogeneity phenotypes	
ENSG00000211973	IGHV1-69	small_intestine	31.7	0	1	Proportion of activated microglia (midfrontal cortex);Blood protein levels;Kawasaki disease	
ENSG00000223648	IGHV3-64	small_intestine	11.3	0	1	Proportion of activated microglia (midfrontal cortex)	
ENSG00000211972	IGHV3-66	small_intestine	10.1	0	1	Proportion of activated microglia (midfrontal cortex)	
ENSG00000211938	IGHV3-7	small_intestine	206	0	1	Blood protein levels;Proportion of activated microglia (midfrontal cortex);Estradiol levels	
ENSG00000225698	IGHV3-72	small_intestine	58.2	0	1	Proportion of activated microglia (midfrontal cortex)	
ENSG00000211976	IGHV3-73	small_intestine	23.6	0	1	Blood protein levels	
ENSG00000211959	IGHV4-39	small_intestine	143.6	0	1	Proportion of activated microglia (midfrontal cortex);Height;Blood protein levels	
ENSG00000239855	IGKV1-6	small_intestine	59.1	0	1	Blood protein levels	
ENSG00000239975	IGKV1D-33	small_intestine	19.1	0	1	Rheumatic heart disease	
ENSG00000211648	IGLV1-47	small_intestine	332.8	0	1	Blood protein levels	
ENSG00000163501	IHH	small_intestine	12.9	0	1	Height;Waist circumference adjusted for body mass index	
