Gene	Gene.name	Tissue	nTPM	fda	gwcat	gwasTraits	fdaGeneDesc
ENSG00000093072	ADA2	spleen	106.3	0	1	Plateletcrit;Sum neutrophil eosinophil counts;Monocyte count;Myeloid white cell count;Granulocyte count	
ENSG00000131355	ADGRE3	spleen	5.9	0	1	Femur bone mineral density x serum urate levels interaction	
ENSG00000136250	AOAH	spleen	64.9	0	1	Corneal astigmatism;Body fat distribution (trunk fat ratio);Obesity-related traits;HIV-1 viral setpoint;Femur bone mineral density x serum urate levels interaction	
ENSG00000111339	ART4	spleen	19	0	1	Blood protein levels;Hand grip strength	
ENSG00000173372	C1QA	spleen	1092.6	0	1	Inflammatory biomarkers (multivariate analysis)	
ENSG00000159189	C1QC	spleen	950.7	0	1	Blood protein levels	
ENSG00000276409	CCL14	spleen	632.7	0	1	Blood protein levels;Metabolite levels;Upper eyelid sagging severity	
ENSG00000172724	CCL19	spleen	59.6	0	1	Metabolite levels;Rheumatoid arthritis	
ENSG00000137077	CCL21	spleen	336.8	0	1	Rheumatoid arthritis;Chronic inflammatory diseases (ankylosing spondylitis, Crohns disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy);Rheumatoid arthritis (ACPA-positive)	
ENSG00000277632	CCL3	spleen	49.4	0	1	Blood protein levels;Blood protein levels in cardiovascular risk;Body mass index	
ENSG00000276070	CCL4L2	spleen	20.5	0	1	Body mass index;Protein quantitative trait loci	
ENSG00000271503	CCL5	spleen	123.9	0	1	Blood protein levels	
ENSG00000117281	CD160	spleen	13.5	0	1	Diastolic blood pressure	
ENSG00000177575	CD163	spleen	240.5	0	1	High density lipoprotein cholesterol levels;HDL cholesterol levels;Intracranial aneurysm	
ENSG00000013725	CD6	spleen	18	0	1	White coat effect (clinic diastolic blood pressure minus ambulatory diastolic blood pressure);Smoking status (ever vs never smokers);Refractive error;Chronic inflammatory diseases (ankylosing spondylitis, Crohns disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)	
ENSG00000064886	CHI3L2	spleen	21.5	0	1	Blood protein levels	
ENSG00000133063	CHIT1	spleen	5.7	0	1	Clozapine-induced agranulocytosis;Blood protein levels;Asthma	
ENSG00000163739	CXCL1	spleen	196.6	0	1	Response to anti-retroviral therapy (ddI/d4T) in HIV-1 infection (Grade 3 peripheral neuropathy);Schizophrenia;Blood protein levels;Smoking initiation (ever regular vs never regular)	
ENSG00000169245	CXCL10	spleen	20.3	0	1	C-X-C motif chemokine 10 levels;Interferon gamma-induced protein 10 levels;Blood protein levels;Hippocampal volume	
ENSG00000169248	CXCL11	spleen	5.8	0	1	Blood protein levels;Hippocampal volume;Neonatal cytokine/chemokine levels (fetal genetic effect)	
ENSG00000156234	CXCL13	spleen	338.6	0	1	Cardiac Troponin-T levels;Tonsillectomy;Waist circumference adjusted for body mass index;Rheumatoid arthritis	
ENSG00000138755	CXCL9	spleen	31.2	0	1	Hippocampal volume;Neonatal cytokine/chemokine levels (fetal genetic effect)	
ENSG00000186998	EMID1	spleen	54.8	0	1	Intraocular pressure;High light scatter reticulocyte count;Monocyte count;Reticulocyte count;High light scatter reticulocyte percentage of red cells	
ENSG00000164308	ERAP2	spleen	36.7	0	1	Acute anterior uveitis (with or without ankylosing spondylitis);Blood protein levels;Urate levels (BMI interaction);Chronic inflammatory diseases (ankylosing spondylitis, Crohns disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy);Crohns disease	
ENSG00000104921	FCER2	spleen	38.4	0	1	Post bronchodilator FEV1;Blood protein levels	
ENSG00000203747	FCGR3A	spleen	306.8	1	1	Functional impairment in major depressive disorder, bipolar disorder and schizophrenia;Ulcerative colitis;Inflammatory bowel disease;Basophil count	Fc fragment of IgG receptor IIIa
ENSG00000162747	FCGR3B	spleen	82	1	1	Hemoglobin levels;Ulcerative colitis;Inflammatory bowel disease;Basophil percentage of white cells;Basophil percentage of granulocytes	Fc fragment of IgG receptor IIIb
ENSG00000143297	FCRL5	spleen	15.1	0	1	Renal sinus fat;Systemic lupus erythematosus;HOMA-B (corrected for HOMA-IR)	
ENSG00000127951	FGL2	spleen	162.5	0	1	Crohns disease	
ENSG00000115523	GNLY	spleen	86.3	0	1	Blood protein levels	
ENSG00000100453	GZMB	spleen	28.9	0	1	Vitiligo;Blood protein levels	
ENSG00000113088	GZMK	spleen	30.4	0	1	Blood protein levels	
ENSG00000197540	GZMM	spleen	22.7	0	1	Blood protein levels	
ENSG00000114378	HYAL1	spleen	95.1	0	1	Depressive symptom (appetite changes) (binary trait);Depressive symptoms (binary sum-score);Depressive symptoms (sum-score);Sleep duration (short sleep)	
ENSG00000211898	IGHD	spleen	146.7	0	1	Blood protein levels	
ENSG00000211893	IGHG2	spleen	4319.4	1	1	IgG levels;Composite immunoglobulin trait (IgA/IgG)	Immunoglobulin heavy constant gamma 2 (G2m marker)
ENSG00000211892	IGHG4	spleen	831.6	1	0		Immunoglobulin heavy constant gamma 4 (G4m marker)
ENSG00000211973	IGHV1-69	spleen	170.2	0	1	Proportion of activated microglia (midfrontal cortex);Blood protein levels;Kawasaki disease	
ENSG00000223648	IGHV3-64	spleen	32.1	0	1	Proportion of activated microglia (midfrontal cortex)	
ENSG00000211938	IGHV3-7	spleen	610.4	0	1	Blood protein levels;Proportion of activated microglia (midfrontal cortex);Estradiol levels	
ENSG00000225698	IGHV3-72	spleen	121.6	0	1	Proportion of activated microglia (midfrontal cortex)	
ENSG00000211976	IGHV3-73	spleen	83	0	1	Blood protein levels	
ENSG00000211959	IGHV4-39	spleen	474.9	0	1	Proportion of activated microglia (midfrontal cortex);Height;Blood protein levels	
ENSG00000276775	IGHV4-4	spleen	186.4	0	1	Blood protein levels	
ENSG00000239855	IGKV1-6	spleen	209.5	0	1	Blood protein levels	
ENSG00000239975	IGKV1D-33	spleen	63	0	1	Rheumatic heart disease	
ENSG00000211648	IGLV1-47	spleen	813.7	0	1	Blood protein levels	
ENSG00000172349	IL16	spleen	86.2	0	1	Height;Brown vs. black hair color;Blood protein levels in cardiovascular risk;Colorectal cancer (aspirin and/or NSAID use interaction);Body mass index	
ENSG00000115590	IL1R2	spleen	90.1	0	1	Fibrinogen;Parkinsons disease;Asthma;Crohns disease	
