Gene	Gene.name	Tissue	nTPM	fda	gwcat	gwasTraits	fdaGeneDesc
ENSG00000106819	ASPN	smooth_muscle	110.5	0	1	Blood protein levels;Malaria	
ENSG00000054938	CHRDL2	smooth_muscle	122.1	0	1	Allergic rhinitis;Blood protein levels;Microalbuminuria;Spine bone size	
ENSG00000164692	COL1A2	smooth_muscle	1416.9	0	1	Heel bone mineral density;Post bronchodilator FEV1;Low bone mineral density (spine);Low bone mineral density (hip);PR interval in Tripanosoma cruzi seropositivity	
ENSG00000168542	COL3A1	smooth_muscle	2140.7	1	1	Carotid intima media thickness x smoking interaction;Brain morphology (MOSTest);Cortical thickness (MOSTest);Subcortical volume (MOSTest);Brain morphology (min-P)	Collagen type III alpha 1 chain
ENSG00000163359	COL6A3	smooth_muscle	391.3	0	1	Ischemic stroke;Abstraction and mental flexibility;Heel bone mineral density;Pulse pressure;Lung cancer	
ENSG00000078098	FAP	smooth_muscle	26.4	0	1	Chronic obstructive pulmonary disease (moderate to severe);Glucose homeostasis traits;Amyotrophic lateral sclerosis (sporadic);Inflammatory skin disease;Glaucoma (primary open-angle)	
ENSG00000166923	GREM1	smooth_muscle	68.2	0	1	Hypospadias;Colorectal cancer;Chin dimples;Monobrow;Colorectal cancer or advanced adenoma	
ENSG00000134013	LOXL2	smooth_muscle	41.3	0	1	Attention deficit hyperactivity disorder;Height;Waist-to-hip ratio adjusted for BMI (age <50);Waist-to-hip ratio adjusted for BMI (age >50);Waist-to-hip ratio adjusted for BMI x sex x age interaction (4df test)	
ENSG00000137558	PI15	smooth_muscle	49.9	0	1	Refractive error;Normal body mass index vs. thin;Dysmenorrheic pain;Protein quantitative trait loci	
ENSG00000113296	THBS4	smooth_muscle	251.4	0	1	Serum thyroid-stimulating hormone levels;Refractive error;Blood protein levels;Central corneal thickness;Intraocular pressure	
ENSG00000041982	TNC	smooth_muscle	376.2	0	1	Metabolite levels;Developmental language disorder (syntactic complexity);Response to bupropion and depression;Blood protein levels	
