Gene	Gene.name	Tissue	nTPM	fda	gwcat	gwasTraits	fdaGeneDesc
ENSG00000178031	ADAMTSL1	endometrium	13.3	0	1	Amyotrophic lateral sclerosis (sporadic);Small cell lung carcinoma;Heel bone mineral density;Vertical cup-disc ratio (multi-trait analysis)	
ENSG00000133466	C1QTNF6	endometrium	31.7	0	1	Vitiligo;Response to methotrexate in juvenile idiopathic arthritis;Hypothyroidism;Autoimmune thyroid disease;Eosinophil percentage of white cells	
ENSG00000103888	CEMIP	endometrium	31.9	0	1	HDL cholesterol levels in HIV infection;Estimated glomerular filtration rate;Creatinine levels;Glomerular filtration rate	
ENSG00000054938	CHRDL2	endometrium	145.1	0	1	Allergic rhinitis;Blood protein levels;Microalbuminuria;Spine bone size	
ENSG00000197565	COL4A6	endometrium	32.6	0	1	Electrodermal activity	
ENSG00000078098	FAP	endometrium	31.4	0	1	Chronic obstructive pulmonary disease (moderate to severe);Glucose homeostasis traits;Amyotrophic lateral sclerosis (sporadic);Inflammatory skin disease;Glaucoma (primary open-angle)	
ENSG00000115523	GNLY	endometrium	71.9	0	1	Blood protein levels	
ENSG00000148357	HMCN2	endometrium	33.9	0	1	Bicuspid aortic valve without aortic dilation;Aspartate aminotransferase levels;Global electrical heterogeneity phenotypes	
ENSG00000163501	IHH	endometrium	14	0	1	Height;Waist circumference adjusted for body mass index	
ENSG00000165072	MAMDC2	endometrium	74.5	0	1	Corneal resistance factor;Intraocular pressure	
ENSG00000166670	MMP10	endometrium	265.4	0	1	Blood protein levels;Multiple sclerosis;Prostate cancer	
ENSG00000167346	MMP26	endometrium	13.1	0	1	Mean corpuscular volume;Coenzyme Q10 levels;Malaria	
ENSG00000169218	RSPO1	endometrium	41.4	0	1	Epithelial ovarian cancer;Intraocular pressure;Eyebrow thickness	
ENSG00000146374	RSPO3	endometrium	51.4	0	1	Triglycerides;HDL cholesterol;Bone properties (heel)	
ENSG00000159674	SPON2	endometrium	187.1	0	1	Blood protein levels;Recombination rate (males);Recombination rate (females)	
ENSG00000179954	SSC5D	endometrium	39.7	0	1	Height;Lung adenocarcinoma	
ENSG00000114251	WNT5A	endometrium	27.4	0	1	Metabolite levels;Lung function (FEV1/FVC);Carboplatin disposition in epthelial ovarian cancer;Height;Type 2 diabetes	
