Gene	Gene.name	Tissue	nTPM	fda	fdaGeneDesc	gwcat	gwasTraits
ENSG00000213088	ACKR1	adipose_tissue	320.5	0		1	Midgestational total 25-hydroxyvitamin D levels (fetal genetic effect);Monocyte chemoattractant protein-1 levels;Growth-regulated protein alpha levels;Eotaxin levels
ENSG00000151726	ACSL1	adipose_tissue	770.4	0		1	Type 2 diabetes;Night sleep phenotypes;Neuroblastoma or malignant cutaneous melanoma
ENSG00000123612	ACVR1C	adipose_tissue	31.3	0		1	Low density lipoprotein cholesterol levels;Systolic blood pressure;Apolipoprotein B levels;High light scatter reticulocyte count;Offspring birth weight
ENSG00000158859	ADAMTS4	adipose_tissue	116.8	0		1	Asthma;HDL cholesterol levels;Monocyte percentage of white cells
ENSG00000162618	ADGRL4	adipose_tissue	73.1	0		1	Bipolar disorder (age of onset <21) or attention deficit hyperactivity disorder;Bipolar disorder or attention deficit hyperactivity disorder;LDL cholesterol levels in HIV infection;Response to TNF inhibitor in rheumatoid arthritis (change in swollen 28-joint count)
ENSG00000150594	ADRA2A	adipose_tissue	50.5	1	Adrenoceptor alpha 2A	1	Fish- and plant-related diet;Fasting glucose
ENSG00000178878	APOLD1	adipose_tissue	124.5	0		1	Birth weight;Prostate cancer;Height;Refractive error;Heel bone mineral density
ENSG00000165269	AQP7	adipose_tissue	252.7	0		1	Lung adenocarcinoma;Urinary albumin excretion
ENSG00000198363	ASPH	adipose_tissue	386.9	0		1	Metabolite levels;Schizophrenia;Serum omega-6 to omega-3 polyunsaturated fatty acid ratio in metabolic syndrome;Body fat distribution (arm fat ratio)
ENSG00000165810	BTNL9	adipose_tissue	250.8	0		1	Metabolite levels
ENSG00000184601	C14orf180	adipose_tissue	40.8	0		1	Bipolar I disorder;Bipolar disorder;Rheumatoid arthritis
ENSG00000064989	CALCRL	adipose_tissue	70.7	1	Calcitonin receptor like receptor	1	Waist-to-hip ratio adjusted for BMI (adjusted for smoking behaviour);Heel bone mineral density;Serum immune biomarker levels;Waist-to-hip ratio adjusted for body mass index
ENSG00000105971	CAV2	adipose_tissue	227.4	0		1	PR interval;Glaucoma (primary open-angle);TPE interval (resting);Antipsychotic drug-induced weight gain in schizophrenia
ENSG00000090659	CD209	adipose_tissue	34.2	0		1	Blood protein levels
ENSG00000174807	CD248	adipose_tissue	237.3	0		1	Triglyceride levels;Bipolar disorder
ENSG00000161649	CD300LG	adipose_tissue	133.6	0		1	Triglyceride levels;HDL cholesterol levels;Apolipoprotein A1 levels;HDL cholesterol
ENSG00000135218	CD36	adipose_tissue	1533.6	0		1	Platelet count;Night sleep phenotypes;Mean corpuscular volume;Mean platelet volume;Red blood cell count
ENSG00000182566	CLEC4G	adipose_tissue	14.9	0		1	Sum neutrophil eosinophil counts;White blood cell count;Granulocyte count;Sum basophil neutrophil counts;Post bronchodilator FEV1
ENSG00000166250	CLMP	adipose_tissue	63.2	0		1	Heel bone mineral density;Red cell distribution width;Blood protein levels
ENSG00000118432	CNR1	adipose_tissue	23	1	Cannabinoid receptor 1	1	Gout vs. Hyperuricemia;Gut microbiota (functional units);Male-pattern baldness;Immunoglobulin A;Depression in smokers
ENSG00000135678	CPM	adipose_tissue	156.1	0		1	Pneumoconiosis in silica exposure;Blood protein levels;Refractive astigmatism;Major depressive disorder;Smoking cessation in chronic obstructive pulmonary disease
ENSG00000203710	CR1	adipose_tissue	13.2	0		1	Age-related hearing impairment;Interferon alpha levels in systemic lupus erythematosus;White blood cell count;Metabolite levels;Amyotrophic lateral sclerosis (sporadic)
ENSG00000127533	F2RL3	adipose_tissue	19	0		1	Metabolite levels
ENSG00000174804	FZD4	adipose_tissue	120.1	0		1	Hepatocellular carcinoma in hepatitis B infection
ENSG00000131459	GFPT2	adipose_tissue	112.4	0		1	Subclinical trait of interstitial lung disease (basilar peel-core ratio of high attentuation areas on CT scan);Fat distribution (HIV);Height;Femur bone mineral density x serum urate levels interaction;Hip circumference adjusted for BMI
