Gene	Gene.name	Tissue	nTPM	fda	fdaGeneDesc	gwcat	gwasTraits
ENSG00000085563	ABCB1	colon	16.6	0		1	Systolic blood pressure in sickle cell anemia;Cholesterol, total;Glycated hemoglobin levels;Type 2 diabetes;Low density lipoprotein cholesterol levels
ENSG00000118777	ABCG2	colon	15.7	0		1	Serum uric acid levels;Gout
ENSG00000159640	ACE	colon	11.2	1	Angiotensin I converting enzyme	1	Blood metabolite ratios;Blood metabolite levels
ENSG00000130234	ACE2	colon	9.9	0		1	Glycemic traits (pregnancy);Elevated fasting plasma glucose;Body mass index;Adult body size;Cognitive ability, years of educational attainment or schizophrenia (pleiotropy)
ENSG00000197142	ACSL5	colon	111.7	0		1	High chromosomal aberration frequency (chromosome type) in genotoxic compound exposure;Mean platelet volume;Basophil percentage of white cells
ENSG00000111863	ADTRP	colon	80.7	0		1	Spatial processing;Apolipoprotein B levels;Refractive error;Daytime sleep phenotypes;Body mass index
ENSG00000146205	ANO7	colon	16.3	0		1	Neuroblastoma (pediatric);Prostate cancer
ENSG00000185101	ANO9	colon	16	0		1	Nevus count or cutaneous melanoma;Metastatic colorectal cancer survival in treatment with chemotherapy plus biologics
ENSG00000118322	ATP10B	colon	44.5	0		1	Idiopathic downbeat nystagmus;Dermatomyositis or juvenile dermatomyositis;Asthma;Sweet taste preference
ENSG00000064270	ATP2C2	colon	30.1	1	ATPase secretory pathway Ca2+ transporting 2	1	Metabolite levels;Chronic obstructive pulmonary disease-related biomarkers;Peanut allergy (parent-of-origin effect);Cardiovascular death, myocardial infarction or stroke in response to clopidogrel treatment;Attention deficit hyperactivity disorder
ENSG00000081923	ATP8B1	colon	76.2	0		1	Hemoglobin levels;Hematocrit;Hemoglobin;Very long-chain saturated fatty acid levels (fatty acid 20:0);Manganese levels
ENSG00000167080	B4GALNT2	colon	33.5	0		1	Refractive error;Spherical equivalent or myopia (age of diagnosis);Coronary artery disease;Prostate cancer;Monocyte percentage of white cells
