Gene	Gene.name	Tissue	nTPM	fda	gwcat	gwasTraits	fdaGeneDesc
ENSG00000148848	ADAM12	placenta	166.5	0	1	Endometrial cancer;Heel bone mineral density;Loneliness;Blood protein levels	
ENSG00000138316	ADAMTS14	placenta	7.6	0	1	Heel bone mineral density;Body fat distribution (leg fat ratio);Body fat distribution (trunk fat ratio)	
ENSG00000154736	ADAMTS5	placenta	26.2	0	1	Height;Blood protein levels;Plasma anti-thyroglobulin and anti-thyroid peroxidase levels (bivariate analysis);Diastolic blood pressure	
ENSG00000116194	ANGPTL1	placenta	133.8	0	1	HDL cholesterol;Blood protein levels;HDL cholesterol levels;Brain morphology (MOSTest)	
ENSG00000171388	APLN	placenta	54	0	1	Metabolite levels;Schizophrenia;Lung cancer in ever smokers;Bipolar II disorder;Bipolar I disorder	
ENSG00000112175	BMP5	placenta	71.3	0	1	Heel bone mineral density;Lean body mass;Colorectal cancer or advanced adenoma	
ENSG00000133466	C1QTNF6	placenta	29.6	0	1	Vitiligo;Response to methotrexate in juvenile idiopathic arthritis;Hypothyroidism;Autoimmune thyroid disease;Eosinophil percentage of white cells	
ENSG00000104827	CGB3	placenta	9.8	0	1	Alcoholic chronic pancreatitis;Waist-to-hip ratio adjusted for BMI (additive genetic model);Blood protein levels	
ENSG00000213030	CGB8	placenta	18.8	0	1	Iron status biomarkers (ferritin levels)	
ENSG00000060718	COL11A1	placenta	20.1	0	1	Triglyceride levels x loop diuretics use interaction;Heel bone mineral density;Urate levels (BMI interaction);Open-angle glaucoma and optic cup area	
ENSG00000204291	COL15A1	placenta	229.2	0	1	Height;Blood protein levels;Pulse pressure;Epithelial ovarian cancer;Asthma	
ENSG00000124749	COL21A1	placenta	28.3	0	1	Psychosis (atypical);Small cell lung carcinoma;Heel bone mineral density;Pulse pressure;Systolic blood pressure	
ENSG00000168542	COL3A1	placenta	1981.7	1	1	Carotid intima media thickness x smoking interaction;Brain morphology (MOSTest);Cortical thickness (MOSTest);Subcortical volume (MOSTest);Brain morphology (min-P)	Collagen type III alpha 1 chain
ENSG00000187498	COL4A1	placenta	900.3	0	1	Metabolite levels;Peripheral artery disease;Intraocular pressure;Vertical cup-disc ratio (adjusted for vertical disc diameter);Diastolic blood pressure response to thiazide and thiazide-like diuretics in hypertension	
ENSG00000134871	COL4A2	placenta	474	0	1	LDL cholesterol levels;Low density lipoprotein cholesterol levels;Triglyceride levels;Retinal arteriolar tortuosity;Maximum retinal arteriolar tortuosity	
ENSG00000198223	CSF2RA	placenta	64.4	1	1	Schizophrenia;Mitochondrial heteroplasmy measurement	Colony stimulating factor 2 receptor subunit alpha
ENSG00000136488	CSH1	placenta	9786.7	0	1	Height	
ENSG00000213218	CSH2	placenta	3289	0	1	Height;Alanine aminotransferase levels	
ENSG00000204414	CSHL1	placenta	150	0	1	Height;PR interval;Hip circumference adjusted for BMI	
ENSG00000170891	CYTL1	placenta	46	0	1	Height;Metabolite levels;Triglyceride levels;Pediatric autoimmune diseases;Blood protein levels	
ENSG00000107984	DKK1	placenta	48.9	0	1	QRS duration;Bone properties (heel)	
ENSG00000197635	DPP4	placenta	134.1	1	1	Schizophrenia;Smoking status (ever vs never smokers);Rheumatoid arthritis;Blood osmolality (transformed sodium)	Dipeptidyl peptidase 4
ENSG00000105246	EBI3	placenta	147.6	0	1	Triglyceride levels;Blood protein levels in cardiovascular risk;Blood protein levels	
ENSG00000198759	EGFL6	placenta	645.2	0	1	Multiple sclerosis;Acute post-radiotherapy pain in breast cancer	
ENSG00000197594	ENPP1	placenta	44	0	1	Height;Obesity-related traits	
ENSG00000226887	ERVMER34-1	placenta	10.8	0	1	Moderate or severe prolonged lymphopenia in dimethyl fumarate-treated relapsing-remitting multiple sclerosis;Response to citalopram or escitalopram and depression;Brain morphology (MOSTest);Subcortical volume (MOSTest);Brain morphology (min-P)	
ENSG00000124491	F13A1	placenta	489.2	1	1	Age-related cognitive decline (memory) (slope of z-scores);Response to lamotrigine and valproic acid in genetic generalized epilepsy;Night sleep phenotypes;Waist-to-hip ratio adjusted for BMI (age <50);Waist-to-hip ratio adjusted for BMI (age >50)	Coagulation factor XIII A chain
ENSG00000166147	FBN1	placenta	76.7	0	1	Hip circumference adjusted for BMI;Height;Systolic blood pressure	
ENSG00000138829	FBN2	placenta	81.9	0	1	Breastfeeding duration;Height;Heel bone mineral density	
ENSG00000102755	FLT1	placenta	432.4	1	1	Triglyceride levels;Refractive error;Acute respiratory distress syndrome in sepsis;Spherical equivalent or myopia (age of diagnosis);Body mass index	Fms related receptor tyrosine kinase 1
