Gene	Gene.name	Tissue	nTPM	fda	gwcat	gwasTraits	fdaGeneDesc
ENSG00000159640	ACE	colon	11.2	1	1	Blood metabolite ratios;Blood metabolite levels	Angiotensin I converting enzyme
ENSG00000130234	ACE2	colon	9.9	0	1	Glycemic traits (pregnancy);Elevated fasting plasma glucose;Body mass index;Adult body size;Cognitive ability, years of educational attainment or schizophrenia (pleiotropy)	
ENSG00000134028	ADAMDEC1	colon	215.4	0	1	Hair greying	
ENSG00000198074	AKR1B10	colon	73.4	0	1	White matter growth;Weight;Familial lung adenocarcinoma;Diastolic blood pressure;Medication use (agents acting on the renin-angiotensin system)	
ENSG00000110244	APOA4	colon	6.9	0	1	Lipid traits;Triglyceride levels;HDL cholesterol levels	
ENSG00000152785	BMP3	colon	9.3	0	1	Refractive error;Refractive astigmatism;Corneal astigmatism;Retinal detachment or retinal break;Spherical equivalent or myopia (age of diagnosis)	
ENSG00000162670	BRINP3	colon	6.6	0	1	General risk tolerance (MTAG);Adventurousness;Sleep (1/2-day periodicity);Sleep (1/3-day periodicity);Iron status biomarkers (total iron binding capacity)	
ENSG00000174808	BTC	colon	25.6	0	1	Electroencephalogram traits;Breast size;Chronic obstructive pulmonary disease;Diverticular disease;FEV1	
ENSG00000172156	CCL11	colon	41.7	0	1	Gut microbiota (functional units);Crohns disease;Inflammatory bowel disease;Triglyceride levels in HIV infection	
ENSG00000181374	CCL13	colon	30.4	0	1	Metabolite levels;Blood protein levels;Inflammatory bowel disease;Crohns disease	
ENSG00000142156	COL6A1	colon	796.8	0	1	Corneal resistance factor;Pulse pressure;Refractive error;Spherical equivalent or myopia (age of diagnosis);Waist circumference adjusted for body mass index	
ENSG00000121898	CPXM2	colon	75.4	0	1	Ulcerative colitis;Daytime sleep phenotypes;Smoking initiation (ever regular vs never regular);Appendicular lean mass	
ENSG00000164816	DEFA5	colon	56.6	0	1	Basophil count;Mercury levels;Cerebrospinal fluid p-Tau181p:AB1-42 ratio;Blood protein levels	
ENSG00000164822	DEFA6	colon	25.7	0	1	Blood pressure;Night sleep phenotypes;Dental caries (decayed and filled deciduous teeth)	
ENSG00000278535	DHRS11	colon	74.3	0	1	Body mass index;Estimated glomerular filtration rate	
ENSG00000213918	DNASE1	colon	6.1	0	1	Rheumatoid arthritis;Systemic seropositive rheumatic diseases (Systemic sclerosis or systemic lupus erythematosus or rheumatoid arthritis or idiopathic inflammatory myopathies);Systemic sclerosis	
ENSG00000197635	DPP4	colon	14.6	1	1	Schizophrenia;Smoking status (ever vs never smokers);Rheumatoid arthritis;Blood osmolality (transformed sodium)	Dipeptidyl peptidase 4
ENSG00000143196	DPT	colon	424.7	0	1	TPE interval (resting);Diisocyanate-induced asthma;Rosacea symptom severity;PR interval;Electrocardiographic traits (multivariate)	
ENSG00000154269	ENPP3	colon	9.3	0	1	L-arginine levels;Body mass index (change over time) in lung cancer;Osteoarthritis of the hand;Type 2 diabetes;Resistant hypertension	
ENSG00000187097	ENTPD5	colon	94.6	0	1	Refractive error;Blood protein levels;Serum uric acid levels	
ENSG00000183844	FAM3B	colon	5.9	0	1	Glycemic traits (pregnancy);Elevated serum carcinoembryonic antigen levels;Blood protein levels;Tumor biomarkers	
ENSG00000275395	FCGBP	colon	206.9	0	1	Metabolite levels;Response to fenofibrate (triglyceride levels);Hodgkins lymphoma	
ENSG00000168621	GDNF	colon	8.2	0	1	Major depressive disorder;Gut microbiota (bacterial taxa, hurdle binary method);World class endurance athleticism;Asthma;Neurological blood protein biomarker levels	
ENSG00000044012	GUCA2B	colon	89.4	0	1	Apolipoprotein A1 levels	
ENSG00000148357	HMCN2	colon	51.1	0	1	Bicuspid aortic valve without aortic dilation;Aspartate aminotransferase levels;Global electrical heterogeneity phenotypes	
ENSG00000211973	IGHV1-69	colon	56.9	0	1	Proportion of activated microglia (midfrontal cortex);Blood protein levels;Kawasaki disease	
ENSG00000223648	IGHV3-64	colon	17.9	0	1	Proportion of activated microglia (midfrontal cortex)	
ENSG00000211972	IGHV3-66	colon	59.5	0	1	Proportion of activated microglia (midfrontal cortex)	
ENSG00000211938	IGHV3-7	colon	461.3	0	1	Blood protein levels;Proportion of activated microglia (midfrontal cortex);Estradiol levels	
ENSG00000225698	IGHV3-72	colon	75.7	0	1	Proportion of activated microglia (midfrontal cortex)	
ENSG00000211976	IGHV3-73	colon	76.9	0	1	Blood protein levels	
ENSG00000211959	IGHV4-39	colon	251.6	0	1	Proportion of activated microglia (midfrontal cortex);Height;Blood protein levels	
ENSG00000239855	IGKV1-6	colon	155.5	0	1	Blood protein levels	
ENSG00000239975	IGKV1D-33	colon	32.7	0	1	Rheumatic heart disease	
ENSG00000211648	IGLV1-47	colon	706.6	0	1	Blood protein levels	
ENSG00000163501	IHH	colon	22.3	0	1	Height;Waist circumference adjusted for body mass index	
ENSG00000172410	INSL5	colon	75.4	0	1	Ulcerative colitis;Inflammatory bowel disease;Crohns disease;Blood protein levels	
ENSG00000131981	LGALS3	colon	1194.1	0	1	Blood protein levels in cardiovascular risk;Protein biomarker;Testicular germ cell tumor;Leukoderma in response to rhododendrol;Blood protein levels	
ENSG00000168961	LGALS9	colon	99.1	0	1	Blood protein levels;Crohns disease;Irritable mood	
ENSG00000163898	LIPH	colon	36.3	0	1	Hip circumference adjusted for BMI	
ENSG00000259823	LYPD8	colon	215.9	0	1	Lead levels	
ENSG00000141434	MEP1B	colon	8.2	0	1	Metabolite levels;TRAIL levels	
