Gene	Gene.name	Tissue	nTPM	fda	gwcat	gwasTraits	fdaGeneDesc
ENSG00000175899	A2M	lung	1678.3	0	1	Metabolite levels;Cholesterol, total;Small cell lung carcinoma;Refractive error;Total cholesterol levels	
ENSG00000134917	ADAMTS8	lung	27.6	0	1	Metabolite levels;Vertical cup-disc ratio;Corneal resistance factor;Corneal hysteresis;Vertical cup-disc ratio (adjusted for vertical disc diameter)	
ENSG00000204305	AGER	lung	728.3	0	1	Asthma;Blood protein levels;Blood protein levels in cardiovascular risk;Lung function (FEV1/FVC)	
ENSG00000011201	ANOS1	lung	43.1	0	1	Alcoholic chronic pancreatitis	
ENSG00000152785	BMP3	lung	5.5	0	1	Refractive error;Refractive astigmatism;Corneal astigmatism;Retinal detachment or retinal break;Spherical equivalent or myopia (age of diagnosis)	
ENSG00000275385	CCL18	lung	48.7	0	1	Blood protein levels	
ENSG00000277632	CCL3	lung	35.8	0	1	Blood protein levels;Blood protein levels in cardiovascular risk;Body mass index	
ENSG00000276085	CCL3L3	lung	5	0	1	Body mass index	
ENSG00000133063	CHIT1	lung	36.4	0	1	Clozapine-induced agranulocytosis;Blood protein levels;Asthma	
ENSG00000163751	CPA3	lung	86.3	0	1	Birth weight;LDL peak particle diameter (total fat intake interaction);Eosinophil counts	
ENSG00000095713	CRTAC1	lung	50	0	1	Lung cancer in never smokers;Triglyceride levels;HDL cholesterol levels;Apolipoprotein A1 levels;Diastolic blood pressure x smoking status (current vs non-current) interaction (2df test)	
ENSG00000108342	CSF3	lung	123	0	1	White blood cell count;Metabolite levels;Rheumatoid arthritis	
ENSG00000203747	FCGR3A	lung	206.3	1	1	Functional impairment in major depressive disorder, bipolar disorder and schizophrenia;Ulcerative colitis;Inflammatory bowel disease;Basophil count	Fc fragment of IgG receptor IIIa
ENSG00000266524	GDF10	lung	19.6	0	1	Prudent dietary pattern	
ENSG00000164161	HHIP	lung	16.2	0	1	Chronic obstructive pulmonary disease (moderate to severe);Chronic obstructive pulmonary disease (severe);Infant length;Height;Chronic obstructive pulmonary disease	
ENSG00000143341	HMCN1	lung	20.3	0	1	Hip circumference adjusted for BMI;Hip circumference;Late-onset Alzheimers disease;QRS duration;Appendicular lean mass	
ENSG00000132031	MATN3	lung	13.2	0	1	Waist circumference adjusted for body mass index;Waist-hip index	
ENSG00000168743	NPNT	lung	137	0	1	Lung function in heavy smokers (low FEV1 vs high FEV1);Lung function (low FEV1 vs high FEV1);Lung function in never smokers (low FEV1 vs high FEV1);Systolic blood pressure;Lung function (FEV1)	
ENSG00000101282	RSPO4	lung	12.6	0	1	Lean body mass;Logical memory (immediate recall) in Alzheimers disease dementia;Blood protein levels	
ENSG00000149021	SCGB1A1	lung	3079	0	1	Chronic obstructive pulmonary disease-related biomarkers;Waist-to-hip ratio adjusted for BMI;Waist-to-hip ratio adjusted for BMI x sex x age interaction (4df test)	
ENSG00000164265	SCGB3A2	lung	1271.2	0	1	Alcoholic chronic pancreatitis	
ENSG00000168878	SFTPB	lung	3566	0	1	Blood protein levels	
ENSG00000168484	SFTPC	lung	18462.2	0	1	Coronary artery disease;Hypertriglyceridemia	
ENSG00000133661	SFTPD	lung	507.9	0	1	Rheumatoid arthritis;Chronic obstructive pulmonary disease-related biomarkers;Chronic obstructive pulmonary disease	
ENSG00000243509	TNFRSF6B	lung	51.2	0	1	Atopic dermatitis;Asthma;Refractive error;Plateletcrit;Ulcerative colitis	
ENSG00000124731	TREM1	lung	65.3	0	1	Blood protein levels;Femur bone mineral density x serum urate levels interaction	
ENSG00000095970	TREM2	lung	30.1	0	1	C-reactive protein;Alzheimers disease;Blood protein levels;Calcific aortic valve stenosis;Alzheimers disease or family history of Alzheimers disease	
