Gene	Gene.name	Tissue	nTPM	fda	fdaGeneDesc	gwcat	gwasTraits
ENSG00000173175	ADCY5	heart_muscle	105.2	0		1	Birth weight;Type 2 diabetes;Heel bone mineral density
ENSG00000111452	ADGRD1	heart_muscle	62.4	0		1	Heel bone mineral density;Appendicular lean mass
ENSG00000043591	ADRB1	heart_muscle	23.7	1	Adrenoceptor beta 1	1	Birth weight;Diastolic blood pressure (cigarette smoking interaction);Systolic blood pressure (cigarette smoking interaction)
ENSG00000151320	AKAP6	heart_muscle	54.6	0		1	Bipolar disorder;Type 2 diabetes;Refractive error;HDL cholesterol levels;Spherical equivalent or myopia (age of diagnosis)
ENSG00000165269	AQP7	heart_muscle	108.5	0		1	Lung adenocarcinoma;Urinary albumin excretion
ENSG00000105409	ATP1A3	heart_muscle	157.7	0		1	Meat-related diet;Brain morphology (MOSTest)
ENSG00000162630	B3GALT2	heart_muscle	21	0		1	Metabolite levels;Cerebrospinal fluid t-tau levels;Cerebrospinal fluid t-tau:AB1-42 ratio
ENSG00000172270	BSG	heart_muscle	1535	0		1	Alzheimers disease (late onset)
ENSG00000112276	BVES	heart_muscle	27.8	0		1	QT interval;Creatine kinase levels;Menarche (age at onset);Height
ENSG00000184601	C14orf180	heart_muscle	109.5	0		1	Bipolar I disorder;Bipolar disorder;Rheumatoid arthritis
ENSG00000151067	CACNA1C	heart_muscle	27.1	1	Calcium voltage-gated channel subunit alpha1 C	1	Fractional exhaled nitric oxide (childhood);Schizophrenia;Schizophrenia or bipolar disorder
ENSG00000145349	CAMK2D	heart_muscle	159.3	0		1	Chronic lymphocytic leukemia;Hip circumference adjusted for BMI;TPE interval (resting);Small vessel stroke (CCS and TOAST classification);Parkinsons disease or first degree relation to individual with Parkinsons disease
ENSG00000163492	CCDC141	heart_muscle	74.6	0		1	Psychosis proneness (revised physical anhedonia scale);Psychosis proneness (hypomanic personality scale and revised physical anhedonia scale);Pulse pressure;Diastolic blood pressure;Serum polyunsaturated fatty acid concentration x Mediterranean diet adherence interaction in metabolic syndrome
ENSG00000071991	CDH19	heart_muscle	37.1	0		1	Blood pressure (smoking interaction);Non-response to selective serotonin reuptake inhibitors and depression;Metabolite levels;Chronotype;Depression in smokers
ENSG00000170558	CDH2	heart_muscle	196	0		1	Bipolar disorder (body mass index interaction);Metabolite levels;Kidney function decline traits;Periodontal disease-related phenotype (Socransky);Schizophrenia
ENSG00000181072	CHRM2	heart_muscle	36.1	1	Cholinergic receptor muscarinic 2	1	General risk tolerance (MTAG);Resting heart rate;Heart rate response to recovery post exercise (40 sec);Heart rate response to recovery post exercise (50 sec);Heart rate response to recovery post exercise (30 sec)
ENSG00000153132	CLGN	heart_muscle	59.5	0		1	Systolic blood pressure x sodium interaction (2df test);Diastolic blood pressure x sodium interaction (2df test);Mean arterial pressure x sodium interaction (2df test);Triglyceride levels in HIV infection;Select biomarker traits
