Gene	Gene.name	Tissue	nTPM	fda	fdaGeneDesc	gwcat	gwasTraits
ENSG00000128271	ADORA2A	spleen	15.2	1	Adenosine A2a receptor	1	Acne (severe);Coffee consumption;Caffeine consumption from tea;Caffeine consumption from coffee or tea;Coronary artery disease
ENSG00000160791	CCR5	spleen	9.4	1	C-C motif chemokine receptor 5	1	Cerebrospinal fluid levels of Alzheimers disease-related proteins;Blood protein levels in cardiovascular risk;Granulocyte percentage of myeloid white cells;Ulcerative colitis
ENSG00000116824	CD2	spleen	44.1	1	CD2 molecule	1	Amyotrophic lateral sclerosis (sporadic);Metabolite levels;Acne (severe);Rheumatoid arthritis
ENSG00000012124	CD22	spleen	161.6	1	CD22 molecule	1	Rheumatoid arthritis;Plateletcrit;Immature fraction of reticulocytes;Platelet distribution width
ENSG00000105383	CD33	spleen	23.9	1	CD33 molecule	1	Alzheimers disease;Plateletcrit;White blood cell count;Platelet count
ENSG00000167286	CD3D	spleen	60.9	1	CD3d molecule	1	Pulse pressure
ENSG00000198851	CD3E	spleen	78.9	1	CD3e molecule	1	Lung cancer in ever smokers;Pulse pressure;Alzheimers disease or HDL levels (pleiotropy)
ENSG00000160654	CD3G	spleen	11.5	1	CD3g molecule	0	
ENSG00000010610	CD4	spleen	164.4	1	CD4 molecule	1	Schizophrenia;Height;Systemic lupus erythematosus;Rheumatoid arthritis
ENSG00000007312	CD79B	spleen	147.7	1	CD79b molecule	1	Height;Hip circumference adjusted for BMI
ENSG00000114013	CD86	spleen	23.4	1	CD86 molecule	1	Follicular lymphoma;Gut microbiota (functional units);Eosinophil counts;Multiple sclerosis;Eosinophil percentage of white cells
ENSG00000188822	CNR2	spleen	8.8	1	Cannabinoid receptor 2	1	Eosinophil percentage of granulocytes;Eosinophil counts;Eosinophil percentage of white cells;Multiple sclerosis
ENSG00000182578	CSF1R	spleen	113.3	1	Colony stimulating factor 1 receptor	1	Granulocyte percentage of myeloid white cells;Monocyte percentage of white cells;Monocyte count
ENSG00000100368	CSF2RB	spleen	22.8	1	Colony stimulating factor 2 receptor subunit beta	1	Blood protein levels;Eosinophil counts;Multiple sclerosis
ENSG00000121966	CXCR4	spleen	346.5	1	C-X-C motif chemokine receptor 4	1	Amyotrophic lateral sclerosis (sporadic);Telomere length;Smoking status (ever vs never smokers);Lung function (low FEV1 vs high FEV1);Arthritis (juvenile idiopathic)
ENSG00000173198	CYSLTR1	spleen	10.6	1	Cysteinyl leukotriene receptor 1	1	Potassium levels
ENSG00000181104	F2R	spleen	69.5	1	Coagulation factor II thrombin receptor	1	LDL cholesterol levels;Blood protein levels;Phenylephrine infusion rate during anesthesia;Apolipoprotein B levels
ENSG00000158869	FCER1G	spleen	470.1	1	Fc fragment of IgE receptor Ig	1	Aggressive periodontitis;Asthma;Allergic disease (asthma, hay fever or eczema);Platelet distribution width;Allergy
ENSG00000150337	FCGR1A	spleen	12.5	1	Fc fragment of IgG receptor Ia	0	
