Gene	Gene.name	Tissue	nTPM	fda	gwcat	gwasTraits	fdaGeneDesc
ENSG00000152785	BMP3	urinary_bladder	9.5	0	1	Refractive error;Refractive astigmatism;Corneal astigmatism;Retinal detachment or retinal break;Spherical equivalent or myopia (age of diagnosis)	
ENSG00000172156	CCL11	urinary_bladder	41	0	1	Gut microbiota (functional units);Crohns disease;Inflammatory bowel disease;Triglyceride levels in HIV infection	
ENSG00000181374	CCL13	urinary_bladder	30.4	0	1	Metabolite levels;Blood protein levels;Inflammatory bowel disease;Crohns disease	
ENSG00000108691	CCL2	urinary_bladder	756.1	0	1	Metabolite levels;Rheumatoid arthritis;Neurocognitive impairment in HIV-1 infection (continuous);Blood protein levels	
ENSG00000166509	CLEC3A	urinary_bladder	5.8	0	1	Systolic blood pressure (alcohol consumption interaction);Colorectal or endometrial cancer	
ENSG00000197565	COL4A6	urinary_bladder	40.7	0	1	Electrodermal activity	
ENSG00000108342	CSF3	urinary_bladder	57.5	0	1	White blood cell count;Metabolite levels;Rheumatoid arthritis	
ENSG00000140285	FGF7	urinary_bladder	63.3	0	1	Lung adenocarcinoma;Night sleep phenotypes;Blood protein levels;Hyperthyroidism;Thyroid volume	
ENSG00000130513	GDF15	urinary_bladder	175.4	0	1	Blood protein levels in cardiovascular risk;Blood protein levels;Coffee consumption;Severity of nausea and vomiting of pregnancy	
ENSG00000113070	HBEGF	urinary_bladder	128.6	0	1	Bipolar I disorder;Bipolar disorder;White matter integrity (fractional anisotropy);White matter integrity (mean diffusivity);Alzheimers disease	
ENSG00000211973	IGHV1-69	urinary_bladder	162.6	0	1	Proportion of activated microglia (midfrontal cortex);Blood protein levels;Kawasaki disease	
ENSG00000211972	IGHV3-66	urinary_bladder	103.9	0	1	Proportion of activated microglia (midfrontal cortex)	
ENSG00000225698	IGHV3-72	urinary_bladder	101.3	0	1	Proportion of activated microglia (midfrontal cortex)	
ENSG00000211976	IGHV3-73	urinary_bladder	81.7	0	1	Blood protein levels	
ENSG00000211959	IGHV4-39	urinary_bladder	541.3	0	1	Proportion of activated microglia (midfrontal cortex);Height;Blood protein levels	
ENSG00000276775	IGHV4-4	urinary_bladder	768.4	0	1	Blood protein levels	
ENSG00000115008	IL1A	urinary_bladder	26	0	1	Endometriosis;Post-term birth;Gestational age at birth (child effect);Dysmenorrheic pain severity	
ENSG00000125538	IL1B	urinary_bladder	126.2	1	1	Post-term birth;Gestational age at birth (child effect);Allergic disease (asthma, hay fever or eczema);Dysmenorrheic pain severity;Birth weight	Interleukin 1 beta
ENSG00000110944	IL23A	urinary_bladder	44.5	1	1	Psoriasis;Refractive error	Interleukin 23 subunit alpha
ENSG00000137033	IL33	urinary_bladder	120.7	0	1	Self-reported allergy;Asthma (childhood onset);Small cell lung carcinoma;Asthma	
ENSG00000136244	IL6	urinary_bladder	281.3	1	1	Response to anti-retroviral therapy (ddI/d4T) in HIV-1 infection (Grade 2 peripheral neuropathy);Fibrinogen;Height;Rheumatoid arthritis	Interleukin 6
ENSG00000196878	LAMB3	urinary_bladder	73.1	0	1	Fentanyl consumption in laparoscopic-assisted colectomy (first 24 hours)	
ENSG00000058085	LAMC2	urinary_bladder	39.3	0	1	Low density lipoprotein cholesterol levels;Acne (severe);Blood protein levels;Clozapine-induced agranulocytosis	
ENSG00000128342	LIF	urinary_bladder	91	0	1	Heel bone mineral density;Night sleep phenotypes;Pursuit maintenance gain;Inflammatory bowel disease	
ENSG00000196611	MMP1	urinary_bladder	52.2	0	1	Chronic obstructive pulmonary disease (severe);Schizophrenia;Cerebrospinal fluid levels of Alzheimers disease-related proteins;Post bronchodilator FEV1/FVC ratio in COPD	
ENSG00000262406	MMP12	urinary_bladder	16	0	1	Chronic obstructive pulmonary disease (severe);Cerebrospinal fluid levels of Alzheimers disease-related proteins;Post bronchodilator FEV1/FVC ratio in COPD;Blood protein levels in cardiovascular risk	
ENSG00000137745	MMP13	urinary_bladder	12.9	0	1	Cerebrospinal fluid levels of Alzheimers disease-related proteins;Diisocyanate-induced asthma;Peanut allergy	
ENSG00000137673	MMP7	urinary_bladder	211.2	0	1	Night sleep phenotypes;Prostate-specific antigen levels;Blood protein levels;Prostate cancer	
ENSG00000104368	PLAT	urinary_bladder	181.4	1	1	Blood protein levels;Plasma plasminogen activator levels;Systemic lupus erythematosus	Plasminogen activator, tissue type
ENSG00000122861	PLAU	urinary_bladder	128.5	0	1	HDL cholesterol levels;Blood protein levels;Sum neutrophil eosinophil counts;Monocyte percentage of white cells;White blood cell count	
ENSG00000163661	PTX3	urinary_bladder	191.7	0	1	Body mass index	
ENSG00000145423	SFRP2	urinary_bladder	306.7	0	1	Facial morphology;Brain morphology (MOSTest)	
ENSG00000137648	TMPRSS4	urinary_bladder	74.6	0	1	Lean body mass	
ENSG00000123610	TNFAIP6	urinary_bladder	196	0	1	Lung cancer;Blood protein levels	
ENSG00000145777	TSLP	urinary_bladder	12	0	1	Eosinophilic esophagitis;Self-reported allergy;Eosinophilic granulomatosis with polyangiitis;Asthma	
