Gene	Gene.name	Tissue	nTPM	fda	gwcat	gwasTraits	fdaGeneDesc
ENSG00000163631	ALB	liver	212494	1	1	General risk tolerance (MTAG);Risk-taking tendency (4-domain principal component model);Bone mineral content	Albumin
ENSG00000110245	APOC3	liver	27649	1	1	Lipid traits;Refractive error;Platelet count;Triglyceride levels;HDL cholesterol levels	Apolipoprotein C3
ENSG00000114200	BCHE	liver	525.1	1	1	Alzheimers disease biomarkers;Blood protein levels;Paclitaxel disposition in epithelial ovarian cancer	Butyrylcholinesterase
ENSG00000182326	C1S	liver	2915.2	1	1	Red blood cell fatty acid levels;Lung cancer in never smokers;Blood protein levels	Complement C1s
ENSG00000125730	C3	liver	4761.3	1	1	Lipid traits;Blood metabolite ratios;Hypospadias;Blood metabolite levels;Glucose homeostasis traits	Complement C3
ENSG00000244731	C4A	liver	336.8	1	1	Breast cancer (early onset);Fractional exhaled nitric oxide (childhood);Hypertension;Systolic blood pressure	Complement C4A (Rodgers blood group)
ENSG00000106804	C5	liver	433.7	1	1	Age-related hearing impairment;Response to inhaled corticosteroid treatment in asthma (change in FEV1);Blood metabolite levels	Complement C5
ENSG00000080618	CPB2	liver	1484.1	1	1	Blood protein levels;Thrombin-activatable fibrinolysis inhibitor levels	Carboxypeptidase B2
ENSG00000126218	F10	liver	160	1	1	Chronic lymphocytic leukemia;Attention deficit hyperactivity disorder;Metabolite levels;Fibrinogen;Toenail selenium levels	Coagulation factor X
ENSG00000088926	F11	liver	243.2	1	1	C-reactive protein levels;Breastfeeding duration;Metabolite levels;Inflammatory skin disease	Coagulation factor XI
ENSG00000131187	F12	liver	604.6	1	1	Blood metabolite ratios;Glucose homeostasis traits;Glaucoma (primary open-angle);QRS duration;Bronchopulmonary dysplasia	Coagulation factor XII
ENSG00000143278	F13B	liver	200.2	1	1	Metabolite levels;Lupus nephritis in systemic lupus erythematosus;Multiple myeloma;Low density lipoprotein cholesterol levels;LDL cholesterol levels	Coagulation factor XIII B chain
ENSG00000180210	F2	liver	1217.3	1	1	Chronic obstructive pulmonary disease (moderate to severe);Anger;Response to haloperidol in psychosis;Infant length;Blood metabolite levels	Coagulation factor II, thrombin
ENSG00000057593	F7	liver	160.2	1	1	Pulse pressure (alcohol consumption interaction);Type 2 diabetes;Bipolar disorder (body mass index interaction);Height;Metabolite levels	Coagulation factor VII
ENSG00000101981	F9	liver	704.9	1	1	Amyotrophic lateral sclerosis (sporadic);Schizophrenia;Rheumatoid arthritis;Lung cancer;Time-dependent creatinine clearance change response to tenofovir treatment in HIV infection (time and treatment arm interaction)	Coagulation factor IX
ENSG00000171560	FGA	liver	18396.9	1	1	Resting metabolic rate;Autism spectrum disorder or schizophrenia;Alzheimers disease or fasting glucose levels (pleiotropy);Ischemic stroke;Stroke	Fibrinogen alpha chain
ENSG00000171564	FGB	liver	17944.9	1	1	Fibrinogen;Chronic obstructive pulmonary disease-related biomarkers;Fibrinogen levels;Ischemic stroke	Fibrinogen beta chain
ENSG00000171557	FGG	liver	16556.3	1	1	Response to antipsychotic therapy (extrapyramidal side effects);Cervical artery dissection;Venous thromboembolism;Triglyceride levels x loop diuretics use interaction	Fibrinogen gamma chain
ENSG00000115414	FN1	liver	1725.9	1	1	Cannabis dependence;LDL cholesterol;Response to radiotherapy in cancer (late toxicity);Lung adenocarcinoma;LDL cholesterol levels	Fibronectin 1
ENSG00000112964	GHR	liver	213.3	1	1	Height;Response to taxane treatment (docetaxel);Blood protein levels	Growth hormone receptor
ENSG00000160712	IL6R	liver	58.3	1	1	Response to anti-retroviral therapy (ddI/d4T) in HIV-1 infection (Grade 2 peripheral neuropathy);Fibrinogen;Rheumatoid arthritis;Cerebrospinal fluid levels of Alzheimers disease-related proteins	Interleukin 6 receptor
ENSG00000164344	KLKB1	liver	328.4	1	1	Blood metabolite levels;Serum metabolite levels	Kallikrein B1
ENSG00000105976	MET	liver	42.9	1	1	Metabolite levels;Triglycerides;Electroencephalogram traits;Opioid sensitivity;Borderline personality disorder	MET proto-oncogene, receptor tyrosine kinase
ENSG00000169174	PCSK9	liver	48.7	1	1	Metabolite levels;Cholesterol, total;LDL cholesterol;Apolipoprotein B levels	Proprotein convertase subtilisin/kexin type 9
ENSG00000122194	PLG	liver	2666.4	1	1	Conduct disorder (symptom count);Acne (severe);Triglyceride levels;Blood protein levels	Plasminogen
ENSG00000115718	PROC	liver	598.5	1	1	Amyotrophic lateral sclerosis (sporadic);Protein C levels;Venous thromboembolism	Protein C, inactivator of coagulation factors Va and VIIIa
ENSG00000117601	SERPINC1	liver	5056.6	1	1	Heel bone mineral density;Experiencing mood swings	Serpin family C member 1
ENSG00000099937	SERPIND1	liver	1253.1	1	0		Serpin family D member 1
ENSG00000129214	SHBG	liver	63.4	1	1	Sex hormone-binding globulin levels	Sex hormone binding globulin
ENSG00000003436	TFPI	liver	272.3	1	1	Lung adenocarcinoma;Serum immune biomarker levels;Apolipoprotein A1 levels;Heart rate response to recovery post exercise (40 sec);Heart rate response to recovery post exercise (30 sec)	Tissue factor pathway inhibitor
ENSG00000120659	TNFSF11	liver	5.2	1	1	C-reactive protein levels;Bone mineral density;Bone mineral density (paediatric, upper limb)	TNF superfamily member 11
