Gene	Gene.name	Tissue	nTPM	fda	gwcat	gwasTraits	fdaGeneDesc
ENSG00000114948	ADAM23	parathyroid_gland	82.9	0	1	Fish- and plant-related diet;Blood protein levels;Tonsillectomy;Trunk fat mass;Waist-hip ratio	
ENSG00000170017	ALCAM	parathyroid_gland	438.9	0	1	Amyotrophic lateral sclerosis (sporadic);Metabolite levels;Plasma omega-6 polyunsaturated fatty acid levels (dihomo-gamma-linolenic acid);Age-related cognitive decline (memory) (slope of z-scores);Apolipoprotein A1 levels	
ENSG00000110680	CALCA	parathyroid_gland	178.3	1	1	Vitamin D levels;Diverticular disease;Hip circumference adjusted for BMI	Calcitonin related polypeptide alpha
ENSG00000206384	COL6A6	parathyroid_gland	97.8	0	1	Thoracic aortic calcification levels;Lung cancer	
ENSG00000197635	DPP4	parathyroid_gland	155.7	1	1	Schizophrenia;Smoking status (ever vs never smokers);Rheumatoid arthritis;Blood osmolality (transformed sodium)	Dipeptidyl peptidase 4
ENSG00000132205	EMILIN2	parathyroid_gland	76	0	1	Triglyceride levels;Waist-to-hip ratio adjusted for BMI;A body shape index;Hip circumference adjusted for BMI;Waist circumference adjusted for body mass index	
ENSG00000226887	ERVMER34-1	parathyroid_gland	12.9	0	1	Moderate or severe prolonged lymphopenia in dimethyl fumarate-treated relapsing-remitting multiple sclerosis;Response to citalopram or escitalopram and depression;Brain morphology (MOSTest);Subcortical volume (MOSTest);Brain morphology (min-P)	
ENSG00000001036	FUCA2	parathyroid_gland	165.8	0	1	Multiple sclerosis	
ENSG00000133116	KL	parathyroid_gland	135.2	0	1	Chronic lymphocytic leukemia;Blood metabolite levels;Glucose homeostasis traits;Eosinophilic esophagitis	
ENSG00000153012	LGI2	parathyroid_gland	127.8	0	1	Metabolite levels;Tonsillectomy	
ENSG00000145431	PDGFC	parathyroid_gland	20.3	0	1	Hypospadias;Triglyceride levels;Systolic blood pressure;Type 2 diabetes;Heel bone mineral density	
ENSG00000104368	PLAT	parathyroid_gland	246	1	1	Blood protein levels;Plasma plasminogen activator levels;Systemic lupus erythematosus	Plasminogen activator, tissue type
ENSG00000152266	PTH	parathyroid_gland	50184.7	0	1	Amyotrophic lateral sclerosis (sporadic);Bone mineral density (paediatric, lower limb);Bone mineral density (paediatric, total body less head)	
ENSG00000087494	PTHLH	parathyroid_gland	22.8	0	1	Bone mineral density (paediatric, lower limb);Bone mineral density (paediatric, total body less head);Height	
ENSG00000105894	PTN	parathyroid_gland	383.5	0	1	Schizophrenia;Pagets disease;Asthma;Blood protein levels	
ENSG00000196104	SPOCK3	parathyroid_gland	175	0	1	Blood protein levels;Weight;Gut microbiota (bacterial taxa, hurdle binary method)	
ENSG00000158955	WNT9B	parathyroid_gland	14	0	1	Body mass index;Orofacial clefts;Cleft lip with or without cleft palate;Coronary artery disease;Antineutrophil cytoplasmic antibody-associated vasculitis	
