Gene	Gene.name	Tissue	nTPM	fda	fdaGeneDesc	gwcat	gwasTraits
ENSG00000167769	ACER1	skin	88.1	0		1	Diffusing capacity of carbon monoxide
ENSG00000185101	ANO9	skin	27.8	0		1	Nevus count or cutaneous melanoma;Metastatic colorectal cancer survival in treatment with chemotherapy plus biologics
ENSG00000154856	APCDD1	skin	129.8	0		1	Triglyceride levels;Non-small cell lung cancer;Cardiovascular risk factors (age interaction);Serum protein levels (sST2);Metabolite levels (Pyroglutamine)
ENSG00000165272	AQP3	skin	581.9	0		1	Lung adenocarcinoma;Neuroblastoma or malignant cutaneous melanoma
ENSG00000062096	ARSF	skin	5.6	0		1	Tuberculosis (SNP x SNP interaction)
ENSG00000128203	ASPHD2	skin	11.1	0		1	Metabolite levels;3-month functional outcome in ischaemic stroke (modified Rankin score)
ENSG00000244617	ASPRV1	skin	424	0		1	Acne (severe)
ENSG00000181652	ATG9B	skin	11.5	0		1	Eyebrow thickness;Femur bone mineral density x serum urate levels interaction
ENSG00000064270	ATP2C2	skin	26	1	ATPase secretory pathway Ca2+ transporting 2	1	Metabolite levels;Chronic obstructive pulmonary disease-related biomarkers;Peanut allergy (parent-of-origin effect);Cardiovascular death, myocardial infarction or stroke in response to clopidogrel treatment;Attention deficit hyperactivity disorder
ENSG00000114529	C3orf52	skin	26.3	0		1	Eosinophil counts;Eosinophil percentage of white cells
ENSG00000074410	CA12	skin	142.1	1	Carbonic anhydrase 12	1	Number of decayed, missing and filled tooth surfaces or use of dentures;Number of decayed, missing and filled tooth surfaces;Dentures;Refractive error;Daytime nap
ENSG00000116031	CD207	skin	87.7	0		1	Acne (severe);Gut microbiota (bacterial taxa, rank normal transformation method);Serum metabolite levels;Erythema nodosum in inflammatory bowel disease;Atopic dermatitis
ENSG00000075275	CELSR1	skin	31.5	0		1	Heel bone mineral density;Urate levels in obese individuals;HDL cholesterol change in response to fenofibrate in statin-treated type 2 diabetes;Disease progression in age-related macular degeneration (adjusted for baseline);Iris color (L* coordinate)
ENSG00000154227	CERS3	skin	64	0		1	Childhood body mass index;Cotinine glucuronidation
ENSG00000137975	CLCA2	skin	88.7	0		1	Hallux valgus;Crohns disease-related phenotypes
ENSG00000163347	CLDN1	skin	288.2	0		1	Metabolite levels;Bone mineral density;Psychosis proneness (hypomanic personality scale)
ENSG00000188393	CLEC2A	skin	57.6	0		1	Malaria
ENSG00000065618	COL17A1	skin	580.3	0		1	Cardiac hypertrophy
ENSG00000109182	CWH43	skin	25.5	0		1	Diastolic blood pressure;Systolic blood pressure;Estimated glomerular filtration rate;Response to hepatitis C treatment;Uterine fibroids
ENSG00000171954	CYP4F22	skin	58.6	0		1	Lymphocyte count
ENSG00000163331	DAPL1	skin	301	0		1	LDL cholesterol levels x long total sleep time interaction (2df test);LDL cholesterol levels x long total sleep time interaction (1df test);Alzheimers disease in APOE e4+ carriers;Obesity-related traits
ENSG00000080166	DCT	skin	107.4	0		1	Metabolite levels
ENSG00000143753	DEGS1	skin	535.6	0		1	Red blood cell count
ENSG00000168350	DEGS2	skin	54.2	0		1	White matter hyperintensities;White matter hyperintensity volume (adjusted for hypertension);White matter hyperintensity volume;Periventricular white matter hyperintensities
ENSG00000171462	DLK2	skin	12.7	0		1	Waist-to-hip ratio adjusted for BMI (age <50);Waist-to-hip ratio adjusted for BMI (age >50);Waist-to-hip ratio adjusted for BMI;Waist-to-hip ratio adjusted for BMI x sex x age interaction (4df test);Blood protein levels
ENSG00000134765	DSC1	skin	228.8	0		1	Multiple sclerosis
ENSG00000134760	DSG1	skin	564.4	0		1	Eosinophilic esophagitis (pediatric);Yeast infection;perceptual and visual search speed (trail making test A) (age interaction);Schizophrenia
