Gene	Gene.name	Tissue	nTPM	fda	fdaGeneDesc	gwcat	gwasTraits
ENSG00000151320	AKAP6	tongue	50.7	0		1	Bipolar disorder;Type 2 diabetes;Refractive error;HDL cholesterol levels;Spherical equivalent or myopia (age of diagnosis)
ENSG00000018625	ATP1A2	tongue	478	0		1	Response to antipsychotic treatment;Electrocardiogram morphology (amplitude at temporal datapoints)
ENSG00000112276	BVES	tongue	29.3	0		1	QT interval;Creatine kinase levels;Menarche (age at onset);Height
ENSG00000118298	CA14	tongue	47.4	1	Carbonic anhydrase 14	1	Schizophrenia;Bipolar disorder;Refractive error;Brain morphology (MOSTest);Cortical thickness (MOSTest)
ENSG00000153956	CACNA2D1	tongue	98.5	1	Calcium voltage-gated channel auxiliary subunit alpha2delta 1	1	Response to taxane treatment (docetaxel);Energy expenditure (24h);Spontaneous preterm birth (maternal effect);Gestational age at birth (maternal effect);Glaucoma (primary open-angle)
ENSG00000157445	CACNA2D3	tongue	10.7	1	Calcium voltage-gated channel auxiliary subunit alpha2delta 3	1	Endometrial cancer;Lung cancer in ever smokers;Type 2 diabetes;Obsessive compulsive disorder severity;Nose size
ENSG00000170175	CHRNB1	tongue	57.7	0		1	Emotional recognition;Parkinsons disease or first degree relation to individual with Parkinsons disease;Refractive error;Brain morphology (MOSTest);Waist circumference adjusted for body mass index
ENSG00000073464	CLCN4	tongue	34.2	0		1	Mild influenza (H1N1) infection
ENSG00000173085	COQ2	tongue	37.5	0		1	Gut microbiota (bacterial taxa, hurdle binary method);QRS interval (sulfonylurea treatment interaction)
ENSG00000006695	COX10	tongue	44.3	0		1	Refractive error;Midgestational circulating levels of PCBs;Body mass index;Temperament
ENSG00000131174	COX7B	tongue	756.7	0		1	Post bronchodilator FEV1;Cognitive decline (age-related);Type 2 diabetes
ENSG00000109846	CRYAB	tongue	9406.7	0		1	PR interval;Birth weight;Hip circumference adjusted for BMI
