Gene	Gene.name	Tissue	nTPM	fda	gwcat	gwasTraits	fdaGeneDesc
ENSG00000154975	CA10	cervix	21.8	0	1	Menarche (age at onset);Metabolite levels;Bacterial meningitis;Smoking status (ever vs never smokers)	
ENSG00000187955	COL14A1	cervix	205.8	0	1	Cerebrospinal T-tau levels;Adverse response to drug;Gastritis;Parasitemia in Tripanosoma cruzi seropositivity;Visceral fat	
ENSG00000108821	COL1A1	cervix	1331.8	1	1	Response to taxane treatment (docetaxel);Heel bone mineral density;Breast cancer;Blood cell traits (multivariate analysis);Keratoconus	Collagen type I alpha 1 chain
ENSG00000164692	COL1A2	cervix	1831.7	0	1	Heel bone mineral density;Post bronchodilator FEV1;Low bone mineral density (spine);Low bone mineral density (hip);PR interval in Tripanosoma cruzi seropositivity	
ENSG00000124749	COL21A1	cervix	24.1	0	1	Psychosis (atypical);Small cell lung carcinoma;Heel bone mineral density;Pulse pressure;Systolic blood pressure	
ENSG00000196739	COL27A1	cervix	93.7	0	1	Social communication problems;Knee pain;Tourette syndrome;Height	
ENSG00000168542	COL3A1	cervix	2369	1	1	Carotid intima media thickness x smoking interaction;Brain morphology (MOSTest);Cortical thickness (MOSTest);Subcortical volume (MOSTest);Brain morphology (min-P)	Collagen type III alpha 1 chain
ENSG00000130635	COL5A1	cervix	146.6	0	1	Metabolite levels;Blood pressure;Refractive error;Central corneal thickness	
ENSG00000163739	CXCL1	cervix	102.2	0	1	Response to anti-retroviral therapy (ddI/d4T) in HIV-1 infection (Grade 3 peripheral neuropathy);Schizophrenia;Blood protein levels;Smoking initiation (ever regular vs never regular)	
ENSG00000163734	CXCL3	cervix	20.7	0	1	Urate levels (BMI interaction);Inflammatory bowel disease	
ENSG00000107984	DKK1	cervix	34	0	1	QRS duration;Bone properties (heel)	
ENSG00000155011	DKK2	cervix	15.2	0	1	Telomere length;Male-pattern baldness;Blood protein levels;Epstein-Barr virus copy number in lymphoblastoid cell lines;Resting-state electroencephalogram vigilance	
ENSG00000127129	EDN2	cervix	26.1	0	1	Metabolite levels;Squamous cell lung carcinoma;Phenylephrine infusion rate during anesthesia;Night sleep phenotypes;PR interval	
ENSG00000124205	EDN3	cervix	53.1	0	1	Response to diuretic therapy in hypertension;Diastolic blood pressure (cigarette smoking interaction);Systolic blood pressure (cigarette smoking interaction);Diastolic blood pressure;Systolic blood pressure	
ENSG00000154269	ENPP3	cervix	32.1	0	1	L-arginine levels;Body mass index (change over time) in lung cancer;Osteoarthritis of the hand;Type 2 diabetes;Resistant hypertension	
ENSG00000137440	FGFBP1	cervix	117.1	0	1	Severe insulin-deficient type 2 diabetes	
ENSG00000143869	GDF7	cervix	9.8	0	1	Pulse pressure;Abdominal aortic aneurysm;Pelvic organ prolapse	
ENSG00000172987	HPSE2	cervix	36.7	0	1	Response to anti-retroviral therapy (ddI/d4T) in HIV-1 infection (Grade 1 peripheral neuropathy);Asthma (childhood onset);Migraine;Obesity-related traits;Aspartate aminotransferase levels	
ENSG00000017427	IGF1	cervix	89	0	1	Height;Fasting plasma glucose;Birth weight	
ENSG00000115461	IGFBP5	cervix	1492.5	0	1	Metabolite levels;Serum thyroid-stimulating hormone levels;Height;Pulse pressure	
ENSG00000129009	ISLR	cervix	216.2	0	1	Blood protein levels;Hodgkins lymphoma;Hip circumference adjusted for BMI	
ENSG00000129451	KLK10	cervix	111.8	0	1	Blood protein levels	
ENSG00000049323	LTBP1	cervix	161.4	0	1	Height;Waist circumference adjusted for BMI (adjusted for smoking behaviour)	
ENSG00000127241	MASP1	cervix	120	0	1	Amyotrophic lateral sclerosis (sporadic);Blood protein levels;Impulsivity (attentional);Type 2 diabetes	
ENSG00000117122	MFAP2	cervix	81.8	0	1	Height;Waist circumference adjusted for BMI (joint analysis main effects and smoking interaction)	
ENSG00000101825	MXRA5	cervix	35	0	1	Hip circumference;Antineutrophil cytoplasmic antibody-associated vasculitis	
ENSG00000158747	NBL1	cervix	676.6	0	1	Serum thyroid-stimulating hormone levels;California verbal learning test score;Brain morphology (MOSTest);Cortical thickness (MOSTest);Subcortical volume (MOSTest)	
ENSG00000106809	OGN	cervix	216	0	1	Malaria	
ENSG00000164530	PI16	cervix	140.6	0	1	Acne (severe);Chemerin levels;Diverticular disease;Atrial fibrillation;Schizophrenia x sex interaction	
ENSG00000150687	PRSS23	cervix	249.1	0	1	Heel bone mineral density;Lung function (FEV1);Intraocular pressure;Chronic obstructive pulmonary disease;Blood urea nitrogen levels	
ENSG00000169218	RSPO1	cervix	28.9	0	1	Epithelial ovarian cancer;Intraocular pressure;Eyebrow thickness	
ENSG00000133710	SPINK5	cervix	338.5	0	1	Blood protein levels	
ENSG00000178172	SPINK6	cervix	5.7	0	1	Blood protein levels	
ENSG00000145879	SPINK7	cervix	256.8	0	1	Experiencing mood swings;Chronic obstructive pulmonary disease or high blood pressure (pleiotropy)	
ENSG00000187720	THSD4	cervix	103.7	0	1	Vertical cup-disc ratio (adjusted for vertical disc diameter);Vertical cup-disc ratio (multi-trait analysis);Pulse pressure;Diastolic blood pressure;Lung function (FEV1/FVC)	
ENSG00000101443	WFDC2	cervix	5211.9	0	1	Brain structure	
