Gene	Gene.name	Tissue	nTPM	fda	gwcat	gwasTraits	fdaGeneDesc
ENSG00000062096	ARSF	skin	5.6	0	1	Tuberculosis (SNP x SNP interaction)	
ENSG00000184459	BPIFC	skin	63.6	0	1	Refractive error	
ENSG00000184163	C1QTNF12	skin	6.6	0	1	Systemic lupus erythematosus	
ENSG00000205863	C1QTNF9B	skin	17.9	0	1	Myopia (pathological)	
ENSG00000151468	CCDC3	skin	132.2	0	1	Schizophrenia;Lupus nephritis in systemic lupus erythematosus;Bone mineral density (paediatric, skull);BMI (adjusted for smoking behaviour);Height	
ENSG00000204539	CDSN	skin	696.5	0	1	White blood cell count;Multiple myeloma;Asthma (childhood onset);Asthma and major depressive disorder;Automobile speeding propensity	
ENSG00000172824	CES4A	skin	13.6	0	1	Hemoglobin levels	
ENSG00000065618	COL17A1	skin	580.3	0	1	Cardiac hypertrophy	
ENSG00000114270	COL7A1	skin	98.2	0	1	Apolipoprotein A1 levels;Ulcerative colitis;Inflammatory bowel disease;Crohns disease;Blood protein levels	
ENSG00000105664	COMP	skin	80.6	0	1	Osteoarthritis biomarkers;Osteoarthritis (with total hip replacement);QT interval	
ENSG00000128510	CPA4	skin	57.1	0	1	Waist-to-hip ratio adjusted for BMI (age >50);Waist-to-hip ratio adjusted for BMI x sex x age interaction (4df test);Blood protein levels;Rheumatoid arthritis	
ENSG00000175315	CST6	skin	761.4	0	1	Acne (severe);Bipolar disorder;Blood protein levels;Height;Body fat distribution (leg fat ratio)	
ENSG00000145824	CXCL14	skin	780.3	0	1	Cerebrospinal fluid t-tau levels;Cerebrospinal fluid p-tau levels in Alzheimers disease dementia;Age at smoking initiation in chronic obstructive pulmonary disease	
ENSG00000161634	DCD	skin	2476.8	0	1	Metabolite levels;Schizophrenia;Hip circumference adjusted for BMI	
ENSG00000161249	DMKN	skin	4799	0	1	Antipsychotic drug-induced weight gain in schizophrenia;Perceived intensity of neohesperidin dihydrochalcone;Waist circumference adjusted for body mass index	
ENSG00000167968	DNASE1L2	skin	45.8	0	1	Hip circumference adjusted for BMI	
ENSG00000243364	EFNA4	skin	30.2	0	1	Adventurousness;Body fat distribution (leg fat ratio);Body fat distribution (trunk fat ratio)	
ENSG00000196666	FAM180B	skin	6.3	0	1	Bipolar disorder;Fruit consumption;Refractive error;Alzheimers disease or fasting glucose levels (pleiotropy);Brain morphology (MOSTest)	
ENSG00000068078	FGFR3	skin	271.5	1	1	Bladder cancer;Chronic obstructive pulmonary disease-related biomarkers;Plateletcrit;Neutrophil percentage of white cells	Fibroblast growth factor receptor 3
ENSG00000150782	IL18	skin	149.6	0	1	Acute anterior uveitis (with or without ankylosing spondylitis);Blood protein levels;Asthma	
ENSG00000136697	IL1F10	skin	12.5	0	1	Fibrinogen;Low density lipoprotein cholesterol levels;C-reactive protein;Fibrinogen levels	
ENSG00000157368	IL34	skin	62	0	1	Cerebrospinal P-tau181p levels;Intraocular pressure;Brain morphology (MOSTest);Hippocampal volume in Alzheimers disease dementia;Diffuse cutaneous systemic sclerosis	
ENSG00000125571	IL37	skin	136.8	0	1	Response to anti-retroviral therapy (ddI/d4T) in HIV-1 infection (Grade 2 peripheral neuropathy);Dysmenorrheic pain severity;Menstruation quality of life impact (dysmenorrhea);Pain medicine use during menstruation;Pulmonary function	
ENSG00000167757	KLK11	skin	239.8	0	1	Blood protein levels;Blood protein levels in cardiovascular risk;kallikrein-11 levels	
ENSG00000129437	KLK14	skin	9.7	0	1	Blood protein levels	
ENSG00000129455	KLK8	skin	87.1	0	1	Blood protein levels	
ENSG00000186395	KRT10	skin	15851.5	0	1	Glucose homeostasis traits	
ENSG00000159166	LAD1	skin	215.4	0	1	Bipolar disorder;Refractive error;Body fat distribution (leg fat ratio);Body fat distribution (trunk fat ratio)	
ENSG00000091128	LAMB4	skin	38.9	0	1	Waist-to-hip ratio adjusted for BMI;Waist-to-hip ratio adjusted for BMI x sex x age interaction (4df test);Pneumococcal bacteremia;Coffee consumption	
ENSG00000204021	LIPK	skin	32	0	1	Psoriasis	
ENSG00000185674	LYG2	skin	8.8	0	1	High light scatter reticulocyte count;Bipolar disorder;High light scatter reticulocyte percentage of red cells	
ENSG00000176845	METRNL	skin	252.9	0	1	LDL cholesterol levels x short total sleep time interaction (2df test);Cataracts (operation);Hematocrit;Hemoglobin	
ENSG00000109255	NMU	skin	38.5	0	1	Metabolite levels;Urinary albumin-to-creatinine ratio;Number of sexual partners;Corneal astigmatism	
ENSG00000225950	NTF4	skin	31.1	0	1	Asparaginase-induced acute pancreatitis in acute lymphoblastic leukemia (onset time)	
ENSG00000182379	NXPH4	skin	19.4	0	1	Schizophrenia;Asthma;Photic sneeze reflex;Autism spectrum disorder or schizophrenia;Trunk fat mass	
ENSG00000105088	OLFM2	skin	94.8	0	1	Menarche (age at onset);Blood protein levels;Sleep duration	
ENSG00000159527	PGLYRP3	skin	73.7	0	1	Asthma;Schizophrenia, bipolar disorder or major depressive disorder x sex interaction	
ENSG00000203837	PNLIPRP3	skin	14.4	0	1	Body mass index;Sweet taste preference;Influenza A (H1N1) infection;Mild influenza (H1N1) infection	
ENSG00000133110	POSTN	skin	207.2	0	1	Blood protein levels;Plasma proprotein convertase subtilisin/kexin type 9 levels in stable coronary artery disease	
ENSG00000204538	PSORS1C2	skin	188.2	0	1	White blood cell count;Metabolite levels;Height;Asthma (childhood onset)	
ENSG00000106278	PTPRZ1	skin	31.9	0	1	Lung adenocarcinoma;Heel bone mineral density;Hand grip strength	
ENSG00000215853	RPTN	skin	29.7	0	1	Asthma;Allergic disease (asthma, hay fever or eczema);Allergic disease (asthma, hay fever and/or eczema) (multivariate analysis);Neuroblastoma (pediatric)	
ENSG00000189001	SBSN	skin	2444.7	0	1	Plateletcrit;Platelet count	
ENSG00000115884	SDC1	skin	447.4	0	1	Amyotrophic lateral sclerosis (sporadic);Seasonality;Triglyceride levels;LDL cholesterol levels;HDL cholesterol levels	
ENSG00000165953	SERPINA12	skin	396.4	0	1	Blood protein levels;Obesity-related traits	
ENSG00000133710	SPINK5	skin	318.2	0	1	Blood protein levels	
ENSG00000186891	TNFRSF18	skin	38.5	0	1	Inflammatory bowel disease	
ENSG00000143367	TUFT1	skin	111.5	0	1	Body mass index	
ENSG00000145040	UCN2	skin	13.1	0	1	Ulcerative colitis;Inflammatory bowel disease;Crohns disease;Brain morphology (MOSTest)	
ENSG00000168703	WFDC12	skin	42	0	1	Bipolar disorder	
ENSG00000175121	WFDC5	skin	393.9	0	1	Bipolar disorder;Eye color (hue)	
ENSG00000135925	WNT10A	skin	8.9	0	1	Triglyceride levels;Number of decayed, missing and filled tooth surfaces or use of dentures;Dentures;Acne (severe)	
ENSG00000162552	WNT4	skin	40.8	0	1	Epithelial ovarian cancer;Bone mineral density (paediatric, lower limb);Bone mineral density (paediatric, total body less head)	
ENSG00000188064	WNT7B	skin	17.9	0	1	Heel bone mineral density;Refractive error;Hemoglobin levels;Body mass index	
