Gene	Gene.name	Tissue	nTPM	fda	gwcat	gwasTraits	fdaGeneDesc
ENSG00000166106	ADAMTS15	adipose_tissue	26.4	0	1	Metabolite levels;Urate levels in lean individuals;Periodontitis (Mean PAL)	
ENSG00000158859	ADAMTS4	adipose_tissue	116.8	0	1	Asthma;HDL cholesterol levels;Monocyte percentage of white cells	
ENSG00000163638	ADAMTS9	adipose_tissue	41.2	0	1	Alzheimers disease (age of onset);Type 2 diabetes;Waist-to-hip ratio adjusted for BMI (joint analysis main effects and smoking interaction);Waist circumference adjusted for BMI (joint analysis main effects and smoking interaction)	
ENSG00000148926	ADM	adipose_tissue	340.2	0	1	Blood metabolite ratios;Blood metabolite levels	
ENSG00000101280	ANGPT4	adipose_tissue	7.2	0	1	Lung function;Intracranial aneurysm;Logical memory (immediate recall) in Alzheimers disease dementia;Peanut allergy;Food allergy	
ENSG00000167772	ANGPTL4	adipose_tissue	195.8	0	1	HDL cholesterol;Triglyceride levels;HDL cholesterol levels	
ENSG00000171819	ANGPTL7	adipose_tissue	15.9	0	1	Beard thickness;Intraocular pressure	
ENSG00000131471	AOC3	adipose_tissue	422.8	1	0		Amine oxidase copper containing 3
ENSG00000173918	C1QTNF1	adipose_tissue	214.2	0	1	Systemic lupus erythematosus	
ENSG00000197766	CFD	adipose_tissue	1496.7	0	1	Metabolite levels;Hip circumference adjusted for BMI;Systolic blood pressure;Pulse pressure;Moderate or severe prolonged lymphopenia in dimethyl fumarate-treated relapsing-remitting multiple sclerosis	
ENSG00000163815	CLEC3B	adipose_tissue	420.3	0	1	Acne (severe);Blood protein levels;Alzheimers disease	
ENSG00000105664	COMP	adipose_tissue	77.6	0	1	Osteoarthritis biomarkers;Osteoarthritis (with total hip replacement);QT interval	
ENSG00000163734	CXCL3	adipose_tissue	20.8	0	1	Urate levels (BMI interaction);Inflammatory bowel disease	
ENSG00000106823	ECM2	adipose_tissue	122.1	0	1	Malaria;Waist-to-hip ratio adjusted for BMI;Waist-hip index	
ENSG00000078401	EDN1	adipose_tissue	44.6	0	1	Pulse pressure;Multiple system atrophy;Body mass index;Gut microbiota (bacterial taxa, rank normal transformation method);Hematocrit	
ENSG00000124491	F13A1	adipose_tissue	232.8	1	1	Age-related cognitive decline (memory) (slope of z-scores);Response to lamotrigine and valproic acid in genetic generalized epilepsy;Night sleep phenotypes;Waist-to-hip ratio adjusted for BMI (age <50);Waist-to-hip ratio adjusted for BMI (age >50)	Coagulation factor XIII A chain
ENSG00000196666	FAM180B	adipose_tissue	6.5	0	1	Bipolar disorder;Fruit consumption;Refractive error;Alzheimers disease or fasting glucose levels (pleiotropy);Brain morphology (MOSTest)	
ENSG00000166147	FBN1	adipose_tissue	60.9	0	1	Hip circumference adjusted for BMI;Height;Systolic blood pressure	
ENSG00000137441	FGFBP2	adipose_tissue	29	0	1	QT interval	
ENSG00000112964	GHR	adipose_tissue	84.7	1	1	Height;Response to taxane treatment (docetaxel);Blood protein levels	Growth hormone receptor
ENSG00000017427	IGF1	adipose_tissue	86.7	0	1	Height;Fasting plasma glucose;Birth weight	
ENSG00000136634	IL10	adipose_tissue	6.7	0	1	Acute anterior uveitis (with or without ankylosing spondylitis);Narcolepsy;Ulcerative colitis;Behcets disease;Gut microbiota (functional units)	
ENSG00000136244	IL6	adipose_tissue	217.6	1	1	Response to anti-retroviral therapy (ddI/d4T) in HIV-1 infection (Grade 2 peripheral neuropathy);Fibrinogen;Height;Rheumatoid arthritis	Interleukin 6
ENSG00000163083	INHBB	adipose_tissue	52.5	0	1	Urate levels;Breast cancer;Breast cancer (estrogen-receptor negative);Breast size;Obesity	
ENSG00000123243	ITIH5	adipose_tissue	112.7	0	1	Metabolite levels;Blood protein levels;Brain morphology (MOSTest);Planum temporale asymmetry index	
ENSG00000113083	LOX	adipose_tissue	27.9	0	1	Blood metabolite levels;Attention deficit hyperactivity disorder;Metabolite levels;Cholesterol, total;HDL cholesterol	
ENSG00000175445	LPL	adipose_tissue	937.4	1	1	Lipid traits;Vitamin B levels in ischemic stroke;Blood metabolite ratios	Lipoprotein lipase
ENSG00000123342	MMP19	adipose_tissue	58.5	0	1	Refractive error;Advanced age-related macular degeneration;Type 2 diabetes (SNP x SNP interaction, 2df)	
ENSG00000149968	MMP3	adipose_tissue	90.7	0	1	Cerebrospinal fluid levels of Alzheimers disease-related proteins;Post bronchodilator FEV1/FVC ratio in COPD;Peripheral artery disease	
ENSG00000197696	NMB	adipose_tissue	68.3	0	1	Metabolite levels;Amyotrophic lateral sclerosis (sporadic);Acne (severe);Parkinsons disease;Height	
ENSG00000163710	PCOLCE2	adipose_tissue	87.6	0	1	Red blood cell fatty acid levels;Heel bone mineral density;Pulse pressure;Blood protein levels	
ENSG00000163661	PTX3	adipose_tissue	231.5	0	1	Body mass index	
ENSG00000010319	SEMA3G	adipose_tissue	80.1	0	1	Blood protein levels;Autism spectrum disorder or schizophrenia;Bipolar disorder	
ENSG00000101955	SRPX	adipose_tissue	215.2	0	1	Haemorrhoidal disease	
ENSG00000113296	THBS4	adipose_tissue	216.7	0	1	Serum thyroid-stimulating hormone levels;Refractive error;Blood protein levels;Central corneal thickness;Intraocular pressure	
ENSG00000157150	TIMP4	adipose_tissue	177.7	0	1	Triglyceride levels;Waist-to-hip ratio adjusted for BMI (age <50);Waist-to-hip ratio adjusted for BMI (age >50);Waist-to-hip ratio adjusted for BMI;Waist-to-hip ratio adjusted for BMI x sex x age interaction (4df test)	
ENSG00000120332	TNN	adipose_tissue	12	0	1	Amyotrophic lateral sclerosis (sporadic);Contrast sensitivity;Schizophrenia;Metabolite levels	
ENSG00000205221	VIT	adipose_tissue	35.4	0	1	Prudent dietary pattern;Brain morphology (MOSTest);Cortical thickness (MOSTest);Subcortical volume (MOSTest);Brain morphology (min-P)	
ENSG00000085741	WNT11	adipose_tissue	37.4	0	1	Asthma;Allergic disease (asthma, hay fever or eczema);Allergic disease (asthma, hay fever and/or eczema) (multivariate analysis)	
