Gene	Gene.name	Tissue	nTPM	fda	gwcat	gwasTraits	fdaGeneDesc
ENSG00000198074	AKR1B10	stomach	432.5	0	1	White matter growth;Weight;Familial lung adenocarcinoma;Diastolic blood pressure;Medication use (agents acting on the renin-angiotensin system)	
ENSG00000172156	CCL11	stomach	35.1	0	1	Gut microbiota (functional units);Crohns disease;Inflammatory bowel disease;Triglyceride levels in HIV infection	
ENSG00000183844	FAM3B	stomach	114.9	0	1	Glycemic traits (pregnancy);Elevated serum carcinoembryonic antigen levels;Blood protein levels;Tumor biomarkers	
ENSG00000275395	FCGBP	stomach	85.5	0	1	Metabolite levels;Response to fenofibrate (triglyceride levels);Hodgkins lymphoma	
ENSG00000184502	GAST	stomach	9556.1	1	0		Gastrin
ENSG00000157017	GHRL	stomach	356.1	0	1	Autism spectrum disorder or schizophrenia;ghrelin levels	
ENSG00000134443	GRP	stomach	12.3	0	1	Systemic lupus erythematosus;Rheumatoid arthritis;Psychosis (atypical)	
ENSG00000211648	IGLV1-47	stomach	625.5	0	1	Blood protein levels	
ENSG00000163501	IHH	stomach	15	0	1	Height;Waist circumference adjusted for body mass index	
ENSG00000196878	LAMB3	stomach	73.2	0	1	Fentanyl consumption in laparoscopic-assisted colectomy (first 24 hours)	
ENSG00000168961	LGALS9	stomach	87.5	0	1	Blood protein levels;Crohns disease;Irritable mood	
ENSG00000182333	LIPF	stomach	37213.5	1	1	Estimated glomerular filtration rate in coronary artery disease and impaired kidney function;Blood protein levels;Intake of total sugars	Lipase F, gastric type
ENSG00000163898	LIPH	stomach	48.2	0	1	Hip circumference adjusted for BMI	
ENSG00000090382	LYZ	stomach	8941.1	0	1	Bipolar disorder;Triglyceride levels;Blood protein levels;Gut microbiota (bacterial taxa)	
ENSG00000261857	MIA	stomach	65.8	0	1	Electroencephalogram traits;Kawasaki disease;Blood protein levels;Carotid intima media thickness (mean)	
ENSG00000196611	MMP1	stomach	47.6	0	1	Chronic obstructive pulmonary disease (severe);Schizophrenia;Cerebrospinal fluid levels of Alzheimers disease-related proteins;Post bronchodilator FEV1/FVC ratio in COPD	
ENSG00000185499	MUC1	stomach	1064.7	0	1	Apolipoprotein A1 levels;Hemoglobin levels;Body fat distribution (leg fat ratio);Body fat distribution (trunk fat ratio);Nonunion in individuals with fractures	
ENSG00000215182	MUC5AC	stomach	185.1	0	1	Idiopathic pulmonary fibrosis;Asthma (moderate or severe);Asthma;Asthma (adult onset)	
ENSG00000256713	PGA5	stomach	39870.8	1	0		Pepsinogen A5
ENSG00000096088	PGC	stomach	59821.1	0	1	Sleep duration;Response to antidepressants (symptom improvement);DNA methylation (variation);Migraine;Body size at age 10	
ENSG00000133110	POSTN	stomach	174.6	0	1	Blood protein levels;Plasma proprotein convertase subtilisin/kexin type 9 levels in stable coronary artery disease	
ENSG00000171243	SOSTDC1	stomach	60.4	0	1	Response to statin therapy	
ENSG00000160182	TFF1	stomach	7973	0	1	Blood protein levels;Pancreatic cancer	
ENSG00000184012	TMPRSS2	stomach	146.2	0	1	Amyotrophic lateral sclerosis (sporadic);Prostate cancer;Liver enzyme levels (gamma-glutamyl transferase)	
ENSG00000165816	VWA2	stomach	8.4	0	1	Blood protein levels;Lymphocyte count;Monocyte count	
ENSG00000015532	XYLT2	stomach	86.7	0	1	Motion sickness;Femur bone mineral density x serum urate levels interaction	
