Gene	Gene.name	Tissue	nTPM	fda	fdaGeneDesc	gwcat	gwasTraits
ENSG00000085563	ABCB1	small_intestine	70.7	0		1	Systolic blood pressure in sickle cell anemia;Cholesterol, total;Glycated hemoglobin levels;Type 2 diabetes;Low density lipoprotein cholesterol levels
ENSG00000023839	ABCC2	small_intestine	40.2	1	ATP binding cassette subfamily C member 2	1	Colorectal cancer;Carboplatin disposition in epthelial ovarian cancer;Stent thrombosis in response to clopidogrel treatment;Serum metabolite levels
ENSG00000118777	ABCG2	small_intestine	88.3	0		1	Serum uric acid levels;Gout
ENSG00000159640	ACE	small_intestine	265.1	1	Angiotensin I converting enzyme	1	Blood metabolite ratios;Blood metabolite levels
ENSG00000130234	ACE2	small_intestine	242.2	0		1	Glycemic traits (pregnancy);Elevated fasting plasma glucose;Body mass index;Adult body size;Cognitive ability, years of educational attainment or schizophrenia (pleiotropy)
ENSG00000129048	ACKR4	small_intestine	13	0		1	Brain morphology (MOSTest);Subcortical volume (MOSTest);Brain morphology (min-P);Cortical surface area (MOSTest);Neonatal cytokine/chemokine levels (fetal genetic effect)
ENSG00000197142	ACSL5	small_intestine	418	0		1	High chromosomal aberration frequency (chromosome type) in genotoxic compound exposure;Mean platelet volume;Basophil percentage of white cells
ENSG00000111863	ADTRP	small_intestine	98.5	0		1	Spatial processing;Apolipoprotein B levels;Refractive error;Daytime sleep phenotypes;Body mass index
ENSG00000146205	ANO7	small_intestine	14.7	0		1	Neuroblastoma (pediatric);Prostate cancer
ENSG00000185101	ANO9	small_intestine	30	0		1	Nevus count or cutaneous melanoma;Metastatic colorectal cancer survival in treatment with chemotherapy plus biologics
ENSG00000143595	AQP10	small_intestine	49.7	0		1	Bipolar disorder;Mean corpuscular volume;Mean corpuscular hemoglobin;Parkinsons disease progression (motor);Serum total protein level
ENSG00000178301	AQP11	small_intestine	25.3	0		1	Tourette syndrome;Weight loss (gastric bypass surgery)
ENSG00000118322	ATP10B	small_intestine	21	0		1	Idiopathic downbeat nystagmus;Dermatomyositis or juvenile dermatomyositis;Asthma;Sweet taste preference
ENSG00000064270	ATP2C2	small_intestine	20.3	1	ATPase secretory pathway Ca2+ transporting 2	1	Metabolite levels;Chronic obstructive pulmonary disease-related biomarkers;Peanut allergy (parent-of-origin effect);Cardiovascular death, myocardial infarction or stroke in response to clopidogrel treatment;Attention deficit hyperactivity disorder
ENSG00000081923	ATP8B1	small_intestine	38.2	0		1	Hemoglobin levels;Hematocrit;Hemoglobin;Very long-chain saturated fatty acid levels (fatty acid 20:0);Manganese levels
ENSG00000167080	B4GALNT2	small_intestine	8.4	0		1	Refractive error;Spherical equivalent or myopia (age of diagnosis);Coronary artery disease;Prostate cancer;Monocyte percentage of white cells
ENSG00000174808	BTC	small_intestine	6.8	0		1	Electroencephalogram traits;Breast size;Chronic obstructive pulmonary disease;Diverticular disease;FEV1
ENSG00000168903	BTNL3	small_intestine	80.7	0		1	HDL cholesterol levels;Apolipoprotein A1 levels;GIP levels in response to oral glucose tolerance test (120 minutes)
ENSG00000113303	BTNL8	small_intestine	86.5	0		1	Blood protein levels
ENSG00000253313	C1orf210	small_intestine	38.7	0		1	Brain morphology (MOSTest);Cortical thickness (MOSTest);Subcortical volume (MOSTest);Brain morphology (min-P);Cortical surface area (MOSTest)
