Gene	Gene.name	Tissue	nTPM	fda	fdaGeneDesc	gwcat	gwasTraits
ENSG00000023839	ABCC2	liver	121.7	1	ATP binding cassette subfamily C member 2	1	Colorectal cancer;Carboplatin disposition in epthelial ovarian cancer;Stent thrombosis in response to clopidogrel treatment;Serum metabolite levels
ENSG00000069431	ABCC9	liver	45.2	1	ATP binding cassette subfamily C member 9	1	Hippocampal sclerosis of aging;Birth weight;Pulse pressure;Itch intensity from mosquito bite adjusted by bite size;Gout
ENSG00000120907	ADRA1A	liver	60.1	1	Adrenoceptor alpha 1A	1	Blood metabolite levels;Diastolic blood pressure x smoking status (current vs non-current) interaction (2df test);Diastolic blood pressure x smoking status (ever vs never) interaction (2df test);Systolic blood pressure x smoking status (current vs non-current) interaction (2df test)
ENSG00000144891	AGTR1	liver	96.6	1	Angiotensin II receptor type 1	1	Height;Chin dimples;Monobrow;Lead levels in blood;Birth weight
ENSG00000010610	CD4	liver	152.9	1	CD4 molecule	1	Schizophrenia;Height;Systemic lupus erythematosus;Rheumatoid arthritis
ENSG00000101204	CHRNA4	liver	58	1	Cholinergic receptor nicotinic alpha 4 subunit	1	Smoking status (heavy vs never);Smoking cessation;Parental longevity (fathers attained age);Smoking behaviour (cigarette pack-years);Smoking behaviour (cigarettes smoked per day)
ENSG00000001630	CYP51A1	liver	204.7	1	Cytochrome P450 family 51 subfamily A member 1	1	Pulse pressure;Hippocampal volume in Alzheimers disease dementia;Lifespan;Phoneme awareness
ENSG00000102967	DHODH	liver	105.9	1	Dihydroorotate dehydrogenase (quinone)	1	Number of sexual partners;Fibrinogen levels;LDL cholesterol levels in HIV infection;Low density lipoprotein cholesterol levels;Total cholesterol levels
ENSG00000171503	ETFDH	liver	196.4	1	Electron transfer flavoprotein dehydrogenase	1	Blood metabolite ratios;Blood metabolite levels;Serum metabolite levels
ENSG00000160867	FGFR4	liver	82.5	1	Fibroblast growth factor receptor 4	1	Height;Waist circumference adjusted for BMI (adjusted for smoking behaviour);Waist-to-hip ratio adjusted for BMI (joint analysis main effects and smoking interaction);Waist-to-hip ratio adjusted for BMI (adjusted for smoking behaviour)
ENSG00000115486	GGCX	liver	118.8	1	Gamma-glutamyl carboxylase	1	Triglyceride levels;High light scatter reticulocyte count;Prostate cancer;Myocardial infarction;Coronary artery disease
ENSG00000112964	GHR	liver	213.3	1	Growth hormone receptor	1	Height;Response to taxane treatment (docetaxel);Blood protein levels
ENSG00000113161	HMGCR	liver	105.7	1	3-hydroxy-3-methylglutaryl-CoA reductase	1	Lipid traits;Metabolite levels;Cholesterol, total;LDL cholesterol
ENSG00000160712	IL6R	liver	58.3	1	Interleukin 6 receptor	1	Response to anti-retroviral therapy (ddI/d4T) in HIV-1 infection (Grade 2 peripheral neuropathy);Fibrinogen;Rheumatoid arthritis;Cerebrospinal fluid levels of Alzheimers disease-related proteins
ENSG00000080709	KCNN2	liver	31.3	1	Potassium calcium-activated channel subfamily N member 2	1	Generalized epilepsy;Diastolic blood pressure;Systolic blood pressure
ENSG00000116678	LEPR	liver	130.4	1	Leptin receptor	1	Fibrinogen;Fasting plasma glucose (childhood);Soluble leptin receptor levels;BMI at adiposity peak;Pulse pressure
ENSG00000069535	MAOB	liver	317.6	1	Monoamine oxidase B	0	
ENSG00000105976	MET	liver	42.9	1	MET proto-oncogene, receptor tyrosine kinase	1	Metabolite levels;Triglycerides;Electroencephalogram traits;Opioid sensitivity;Borderline personality disorder
ENSG00000147955	SIGMAR1	liver	187.6	1	Sigma non-opioid intracellular receptor 1	0	
ENSG00000139209	SLC38A4	liver	609.9	1	Solute carrier family 38 member 4	1	Height;Glycine levels;Offspring birth weight
ENSG00000157103	SLC6A1	liver	87.3	1	Solute carrier family 6 member 1	1	Blood metabolite ratios;Blood metabolite levels;Metabolite levels
ENSG00000145545	SRD5A1	liver	29	1	Steroid 5 alpha-reductase 1	1	Response to amphetamines;Visceral fat
ENSG00000106327	TFR2	liver	346.1	1	Transferrin receptor 2	1	Red blood cell count;Apolipoprotein B levels;Plateletcrit;Mean corpuscular hemoglobin;High light scatter reticulocyte percentage of red cells
ENSG00000120659	TNFSF11	liver	5.2	1	TNF superfamily member 11	1	C-reactive protein levels;Bone mineral density;Bone mineral density (paediatric, upper limb)
ENSG00000196689	TRPV1	liver	24.6	1	Transient receptor potential cation channel subfamily V member 1	0	
ENSG00000167397	VKORC1	liver	454.9	1	Vitamin K epoxide reductase complex subunit 1	1	Bipolar I disorder;Intraocular pressure;Bipolar disorder;Body fat distribution (arm fat ratio)
