Gene	Gene.name	Tissue	nTPM	fda	gwcat	gwasTraits	fdaGeneDesc
ENSG00000093072	ADA2	thymus	53.7	0	1	Plateletcrit;Sum neutrophil eosinophil counts;Monocyte count;Myeloid white cell count;Granulocyte count	
ENSG00000140470	ADAMTS17	thymus	10.7	0	1	Height;Waist circumference adjusted for BMI (adjusted for smoking behaviour)	
ENSG00000136250	AOAH	thymus	13.9	0	1	Corneal astigmatism;Body fat distribution (trunk fat ratio);Obesity-related traits;HIV-1 viral setpoint;Femur bone mineral density x serum urate levels interaction	
ENSG00000173372	C1QA	thymus	100.3	0	1	Inflammatory biomarkers (multivariate analysis)	
ENSG00000159189	C1QC	thymus	75.7	0	1	Blood protein levels	
ENSG00000276409	CCL14	thymus	34.4	0	1	Blood protein levels;Metabolite levels;Upper eyelid sagging severity	
ENSG00000102970	CCL17	thymus	21.1	0	1	Blood protein levels;Thymus and reactivation regulated chemokine levels	
ENSG00000172724	CCL19	thymus	526.3	0	1	Metabolite levels;Rheumatoid arthritis	
ENSG00000137077	CCL21	thymus	28.8	0	1	Rheumatoid arthritis;Chronic inflammatory diseases (ankylosing spondylitis, Crohns disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy);Rheumatoid arthritis (ACPA-positive)	
ENSG00000271503	CCL5	thymus	29.5	0	1	Blood protein levels	
ENSG00000177575	CD163	thymus	18.7	0	1	High density lipoprotein cholesterol levels;HDL cholesterol levels;Intracranial aneurysm	
ENSG00000102245	CD40LG	thymus	15.5	0	1	CD40 ligand levels;Pediatric autoimmune diseases;Lymphocyte count;Plateletcrit	
ENSG00000013725	CD6	thymus	39.6	0	1	White coat effect (clinic diastolic blood pressure minus ambulatory diastolic blood pressure);Smoking status (ever vs never smokers);Refractive error;Chronic inflammatory diseases (ankylosing spondylitis, Crohns disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)	
ENSG00000064886	CHI3L2	thymus	200.6	0	1	Blood protein levels	
ENSG00000169245	CXCL10	thymus	35.2	0	1	C-X-C motif chemokine 10 levels;Interferon gamma-induced protein 10 levels;Blood protein levels;Hippocampal volume	
ENSG00000169248	CXCL11	thymus	6.3	0	1	Blood protein levels;Hippocampal volume;Neonatal cytokine/chemokine levels (fetal genetic effect)	
ENSG00000156234	CXCL13	thymus	16.2	0	1	Cardiac Troponin-T levels;Tonsillectomy;Waist circumference adjusted for body mass index;Rheumatoid arthritis	
ENSG00000138755	CXCL9	thymus	32.8	0	1	Hippocampal volume;Neonatal cytokine/chemokine levels (fetal genetic effect)	
ENSG00000164308	ERAP2	thymus	49.9	0	1	Acute anterior uveitis (with or without ankylosing spondylitis);Blood protein levels;Urate levels (BMI interaction);Chronic inflammatory diseases (ankylosing spondylitis, Crohns disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy);Crohns disease	
ENSG00000104921	FCER2	thymus	6.3	0	1	Post bronchodilator FEV1;Blood protein levels	
ENSG00000203747	FCGR3A	thymus	9.3	1	1	Functional impairment in major depressive disorder, bipolar disorder and schizophrenia;Ulcerative colitis;Inflammatory bowel disease;Basophil count	Fc fragment of IgG receptor IIIa
ENSG00000162747	FCGR3B	thymus	6.1	1	1	Hemoglobin levels;Ulcerative colitis;Inflammatory bowel disease;Basophil percentage of white cells;Basophil percentage of granulocytes	Fc fragment of IgG receptor IIIb
ENSG00000127951	FGL2	thymus	30.1	0	1	Crohns disease	
ENSG00000100453	GZMB	thymus	9.7	0	1	Vitiligo;Blood protein levels	
ENSG00000113088	GZMK	thymus	11.9	0	1	Blood protein levels	
ENSG00000197540	GZMM	thymus	8.7	0	1	Blood protein levels	
ENSG00000211898	IGHD	thymus	8.3	0	1	Blood protein levels	
ENSG00000211893	IGHG2	thymus	16.7	1	1	IgG levels;Composite immunoglobulin trait (IgA/IgG)	Immunoglobulin heavy constant gamma 2 (G2m marker)
ENSG00000211892	IGHG4	thymus	49.9	1	0		Immunoglobulin heavy constant gamma 4 (G4m marker)
ENSG00000276775	IGHV4-4	thymus	31.8	0	1	Blood protein levels	
ENSG00000239855	IGKV1-6	thymus	22.7	0	1	Blood protein levels	
ENSG00000211648	IGLV1-47	thymus	260.1	0	1	Blood protein levels	
ENSG00000172349	IL16	thymus	130.4	0	1	Height;Brown vs. black hair color;Blood protein levels in cardiovascular risk;Colorectal cancer (aspirin and/or NSAID use interaction);Body mass index	
ENSG00000115590	IL1R2	thymus	7.4	0	1	Fibrinogen;Parkinsons disease;Asthma;Crohns disease	
ENSG00000112799	LY86	thymus	15.1	0	1	Response to radiotherapy in cancer (late toxicity);Waist-to-hip ratio adjusted for BMI (adjusted for smoking behaviour);Refractive error;Waist-to-hip ratio adjusted for body mass index	
ENSG00000197629	MPEG1	thymus	42.8	0	1	Hepatitis B surface antigen seroclearance in chronic hepatitis B infection	
ENSG00000170476	MZB1	thymus	147.3	0	1	Body mass index;Malaria;Electrocardiogram morphology (amplitude at temporal datapoints)	
ENSG00000074527	NTN4	thymus	6.2	0	1	Metabolite levels;Blood pressure (smoking interaction);Schizophrenia;Amyotrophic lateral sclerosis	
ENSG00000197646	PDCD1LG2	thymus	5	0	1	Blood protein levels;Serum alkaline phosphatase levels	
ENSG00000169413	RNASE6	thymus	43.8	0	1	Blood protein levels	
ENSG00000117090	SLAMF1	thymus	76.6	0	1	Memory decline;Multiple sclerosis;Eosinophil percentage of white cells;Eosinophil counts;Microalbuminuria	
ENSG00000107742	SPOCK2	thymus	114.4	0	1	Blood protein levels;Smoking behavior;Insulin-like growth factors;Response to antioxidants and zinc in age-related macular degeneration (disease progression)	
ENSG00000241186	TDGF1	thymus	15.1	0	1	Refractive error;Blood protein levels;Metabolite levels;Glaucoma (primary open-angle);Mean spheric corpuscular volume	
ENSG00000028137	TNFRSF1B	thymus	12.7	0	1	Blood protein levels in cardiovascular risk;Urate levels (BMI interaction);Eosinophil counts;Eosinophil percentage of white cells;Tuberculosis	
ENSG00000102524	TNFSF13B	thymus	5.3	1	1	Metabolite levels;HDL cholesterol levels;Apolipoprotein A1 levels;White blood cell count;Plateletcrit	TNF superfamily member 13b
