Gene	Gene.name	Tissue	nTPM	fda	gwcat	gwasTraits	fdaGeneDesc
ENSG00000128165	ADM2	thyroid_gland	11.6	0	1	Metabolite levels;Longevity (90 years and older);BMI (adjusted for smoking behaviour)	
ENSG00000101144	BMP7	thyroid_gland	45.9	0	1	Microalbuminuria in type 1 diabetes;Metopic nonsyndromic craniosynostosis;HDL cholesterol levels;Apolipoprotein A1 levels;Nose size	
ENSG00000110680	CALCA	thyroid_gland	154.2	1	1	Vitamin D levels;Diverticular disease;Hip circumference adjusted for BMI	Calcitonin related polypeptide alpha
ENSG00000104324	CPQ	thyroid_gland	225.9	0	1	Type 2 diabetes;Blood protein levels;Waist circumference adjusted for body mass index;Epstein-Barr virus copy number in lymphoblastoid cell lines;Age at first sexual intercourse	
ENSG00000178752	ERFE	thyroid_gland	24.9	0	1	Iron status biomarkers (iron levels);Iron status biomarkers (transferrin saturation)	
ENSG00000164283	ESM1	thyroid_gland	17.3	0	1	Familial squamous cell lung carcinoma;Sense of smell;Systolic blood pressure and diastolic blood pressure (bivariate analysis);Cocaine dependence	
ENSG00000275395	FCGBP	thyroid_gland	99.9	0	1	Metabolite levels;Response to fenofibrate (triglyceride levels);Hodgkins lymphoma	
ENSG00000164694	FNDC1	thyroid_gland	20.3	0	1	Coronary heart disease;Pulse pressure;Joint mobility (Beighton score)	
ENSG00000101230	ISM1	thyroid_gland	44.4	0	1	Daytime sleep phenotypes;Night sleep phenotypes;Survival in colon cancer	
ENSG00000157193	LRP8	thyroid_gland	41.5	0	1	Urinary metabolite levels in chronic kidney disease;Number of sexual partners;General risk tolerance (MTAG);Cerebrospinal fluid AB1-42 levels;Brain morphology (MOSTest)	
ENSG00000168743	NPNT	thyroid_gland	234.5	0	1	Lung function in heavy smokers (low FEV1 vs high FEV1);Lung function (low FEV1 vs high FEV1);Lung function in never smokers (low FEV1 vs high FEV1);Systolic blood pressure;Lung function (FEV1)	
ENSG00000125851	PCSK2	thyroid_gland	56.9	0	1	Preschool internalizing problems;Menarche (age at onset);Loneliness;Familial lung cancer	
ENSG00000119630	PGF	thyroid_gland	52.5	1	1	Refractive error;Blood protein levels in cardiovascular risk;Mood instability;Serum alkaline phosphatase levels	Placental growth factor
ENSG00000153246	PLA2R1	thyroid_gland	41.9	0	1	Membranous nephropathy;Refractive error;Blood protein levels	
ENSG00000146197	SCUBE3	thyroid_gland	28.9	0	1	Height;Asthma;Systemic lupus erythematosus	
ENSG00000159167	STC1	thyroid_gland	64.3	0	1	Urinary albumin-to-creatinine ratio;Urate levels;Waist-to-hip ratio adjusted for BMI (age <50);Waist-to-hip ratio adjusted for BMI (age >50)	
ENSG00000042832	TG	thyroid_gland	9329	0	1	Chronic obstructive pulmonary disease (severe);Glucose homeostasis traits;Systolic blood pressure (alcohol consumption interaction);Serum thyroid-stimulating hormone levels;Self-reported allergy	
