Gene	Gene.name	Tissue	nTPM	fda	fdaGeneDesc	gwcat	gwasTraits
ENSG00000154262	ABCA6	liver	77.9	0		1	Low density lipoprotein cholesterol levels;LDL cholesterol levels;Corneal hysteresis;Apolipoprotein B levels;Hemoglobin levels
ENSG00000073734	ABCB11	liver	80.8	0		1	Systolic blood pressure in sickle cell anemia;Cholesterol, total;Glycated hemoglobin levels;Low density lipoprotein cholesterol levels;LDL cholesterol levels
ENSG00000005471	ABCB4	liver	123.2	0		1	LDL cholesterol levels;Low density lipoprotein cholesterol levels;Apolipoprotein B levels;Epithelial ovarian cancer;Gallbladder cancer
ENSG00000023839	ABCC2	liver	121.7	1	ATP binding cassette subfamily C member 2	1	Colorectal cancer;Carboplatin disposition in epthelial ovarian cancer;Stent thrombosis in response to clopidogrel treatment;Serum metabolite levels
ENSG00000091262	ABCC6	liver	134.2	0		1	Hemoglobin levels;Hematocrit;Hemoglobin;Multiple myeloma (survival);Red blood cell count
ENSG00000069431	ABCC9	liver	45.2	1	ATP binding cassette subfamily C member 9	1	Hippocampal sclerosis of aging;Birth weight;Pulse pressure;Itch intensity from mosquito bite adjusted by bite size;Gout
ENSG00000163686	ABHD6	liver	64.9	0		1	Rheumatoid arthritis;Refractive error;Hemoglobin levels;Platelet count
ENSG00000181513	ACBD4	liver	93	0		1	Height;Asthma;Insomnia
ENSG00000144648	ACKR2	liver	9.4	0		1	Blood protein levels;Eosinophil percentage of white cells;Eosinophil counts;Granulocyte percentage of myeloid white cells
ENSG00000151726	ACSL1	liver	1319	0		1	Type 2 diabetes;Night sleep phenotypes;Neuroblastoma or malignant cutaneous melanoma
ENSG00000197142	ACSL5	liver	165.5	0		1	High chromosomal aberration frequency (chromosome type) in genotoxic compound exposure;Mean platelet volume;Basophil percentage of white cells
ENSG00000111058	ACSS3	liver	40	0		1	Plasma amyloid beta peptide concentrations (ABx-42);Response to antidepressant treatment (citalopram);Age-related cataracts (age at onset);Prudent dietary pattern;Lateral orbital frontal cortex volume
ENSG00000112414	ADGRG6	liver	71.9	0		1	Height;Chronic obstructive pulmonary disease
ENSG00000120907	ADRA1A	liver	60.1	1	Adrenoceptor alpha 1A	1	Blood metabolite levels;Diastolic blood pressure x smoking status (current vs non-current) interaction (2df test);Diastolic blood pressure x smoking status (ever vs never) interaction (2df test);Systolic blood pressure x smoking status (current vs non-current) interaction (2df test)
ENSG00000187546	AGMO	liver	122.5	0		1	Heel bone mineral density;Cerebrospinal P-tau181p levels;Sweet taste preference;Adolescent idiopathic scoliosis;Paclitaxel-induced neuropathy
ENSG00000144891	AGTR1	liver	96.6	1	Angiotensin II receptor type 1	1	Height;Chin dimples;Monobrow;Lead levels in blood;Birth weight
ENSG00000146416	AIG1	liver	235.8	0		1	Pulse pressure;Daytime sleep phenotypes;Acute lymphoblastic leukemia (childhood)
ENSG00000101474	APMAP	liver	314	0		1	Blood protein levels
ENSG00000224916	APOC4-APOC2	liver	2221	0		1	Alzheimers disease or HDL levels (pleiotropy)
ENSG00000100342	APOL1	liver	220.5	0		1	Blood protein levels;End-stage renal disease;End-stage kidney disease
ENSG00000221963	APOL6	liver	46.5	0		1	Triglyceride levels;HDL cholesterol levels;Waist-to-hip ratio adjusted for BMI (age >50);Waist-to-hip ratio adjusted for BMI x sex x age interaction (4df test)
ENSG00000178301	AQP11	liver	16.1	0		1	Tourette syndrome;Weight loss (gastric bypass surgery)
ENSG00000103569	AQP9	liver	702.7	0		1	Metabolite levels;Small cell lung carcinoma;HDL cholesterol levels in HIV infection;LDL cholesterol levels in HIV infection
ENSG00000111339	ART4	liver	53.3	0		1	Blood protein levels;Hand grip strength
ENSG00000161944	ASGR2	liver	840.7	0		1	Blood protein levels;Gut microbiota (bacterial taxa, hurdle binary method);Congenital heart disease (maternal effect);Total cholesterol levels;Liver enzyme levels (alkaline phosphatase)
ENSG00000101974	ATP11C	liver	49.8	0		1	Red cell distribution width
ENSG00000160325	CACFD1	liver	58.6	0		1	Gut microbiota (functional units)
ENSG00000241399	CD302	liver	193.8	0		1	Metabolite levels;Proportion of activated microglia (inferior temporal cortex);Plateletcrit
ENSG00000010610	CD4	liver	152.9	1	CD4 molecule	1	Schizophrenia;Height;Systemic lupus erythematosus;Rheumatoid arthritis
ENSG00000143418	CERS2	liver	732.2	0		1	LDL cholesterol;HDL cholesterol levels;Apolipoprotein A1 levels;LDL cholesterol levels;Body mass index
ENSG00000101204	CHRNA4	liver	58	1	Cholinergic receptor nicotinic alpha 4 subunit	1	Smoking status (heavy vs never);Smoking cessation;Parental longevity (fathers attained age);Smoking behaviour (cigarette pack-years);Smoking behaviour (cigarettes smoked per day)
ENSG00000145354	CISD2	liver	46	0		1	Asthma and attention deficit hyperactivity disorder;Estimated glomerular filtration rate;Primary biliary cholangitis;Type 2 diabetes;Schizophrenia
ENSG00000163347	CLDN1	liver	309.8	0		1	Metabolite levels;Bone mineral density;Psychosis proneness (hypomanic personality scale)
