Gene	Gene.name	Tissue	nTPM	fda	gwcat	gwasTraits	fdaGeneDesc
ENSG00000166535	A2ML1	vagina	204.8	0	1	Metabolite levels;Cholesterol, total;Small cell lung carcinoma;Refractive error;Total cholesterol levels	
ENSG00000127129	EDN2	vagina	32.7	0	1	Metabolite levels;Squamous cell lung carcinoma;Phenylephrine infusion rate during anesthesia;Night sleep phenotypes;PR interval	
ENSG00000124205	EDN3	vagina	106.5	0	1	Response to diuretic therapy in hypertension;Diastolic blood pressure (cigarette smoking interaction);Systolic blood pressure (cigarette smoking interaction);Diastolic blood pressure;Systolic blood pressure	
ENSG00000111405	ENDOU	vagina	31	0	1	Blood protein levels;Chronic obstructive pulmonary disease or high blood pressure (pleiotropy)	
ENSG00000137440	FGFBP1	vagina	172.3	0	1	Severe insulin-deficient type 2 diabetes	
ENSG00000172987	HPSE2	vagina	27.6	0	1	Response to anti-retroviral therapy (ddI/d4T) in HIV-1 infection (Grade 1 peripheral neuropathy);Asthma (childhood onset);Migraine;Obesity-related traits;Aspartate aminotransferase levels	
ENSG00000129451	KLK10	vagina	190.6	0	1	Blood protein levels	
ENSG00000167757	KLK11	vagina	186.5	0	1	Blood protein levels;Blood protein levels in cardiovascular risk;kallikrein-11 levels	
ENSG00000129455	KLK8	vagina	47.2	0	1	Blood protein levels	
ENSG00000145113	MUC4	vagina	15	0	1	Red blood cell density in sickle cell anemia;Lung disease severity in cystic fibrosis	
ENSG00000109255	NMU	vagina	30.7	0	1	Metabolite levels;Urinary albumin-to-creatinine ratio;Number of sexual partners;Corneal astigmatism	
ENSG00000159527	PGLYRP3	vagina	21.4	0	1	Asthma;Schizophrenia, bipolar disorder or major depressive disorder x sex interaction	
ENSG00000164530	PI16	vagina	127.6	0	1	Acne (severe);Chemerin levels;Diverticular disease;Atrial fibrillation;Schizophrenia x sex interaction	
ENSG00000143546	S100A8	vagina	11166.4	0	1	Asthma;Matrix metalloproteinase-8 levels;Monocyte count	
ENSG00000163220	S100A9	vagina	14027.7	0	1	Asthma;Basophil percentage of white cells;Matrix metalloproteinase-8 levels	
ENSG00000189001	SBSN	vagina	756.5	0	1	Plateletcrit;Platelet count	
ENSG00000133710	SPINK5	vagina	582.6	0	1	Blood protein levels	
ENSG00000178172	SPINK6	vagina	10.1	0	1	Blood protein levels	
ENSG00000145879	SPINK7	vagina	614	0	1	Experiencing mood swings;Chronic obstructive pulmonary disease or high blood pressure (pleiotropy)	
