Gene	Gene.name	Tissue	nTPM	fda	gwcat	gwasTraits	fdaGeneDesc
ENSG00000198797	BRINP2	adrenal_gland	9.6	0	1	Autism spectrum disorder or schizophrenia;Body composition traits;Schizophrenia	
ENSG00000244731	C4A	adrenal_gland	115.8	1	1	Breast cancer (early onset);Fractional exhaled nitric oxide (childhood);Hypertension;Systolic blood pressure	Complement C4A (Rodgers blood group)
ENSG00000054803	CBLN4	adrenal_gland	17.8	0	1	Smoking initiation;Body mass index (age <50);Initial pursuit acceleration;Body mass index x sex x age interaction (4df test);Body mass index	
ENSG00000091129	NRCAM	adrenal_gland	37.3	0	1	White matter hyperintensity burden;Systolic blood pressure;Diastolic blood pressure;Waist-to-hip ratio adjusted for BMI;Waist-to-hip ratio adjusted for BMI x sex x age interaction (4df test)	
ENSG00000125851	PCSK2	adrenal_gland	28.5	0	1	Preschool internalizing problems;Menarche (age at onset);Loneliness;Familial lung cancer	
ENSG00000170962	PDGFD	adrenal_gland	106.5	0	1	Toenail selenium levels;Metabolite levels;Low density lipoprotein cholesterol levels;LDL cholesterol levels;Apolipoprotein B levels	
ENSG00000115828	QPCT	adrenal_gland	170.3	0	1	Chronic lymphocytic leukemia;Fruit consumption;Blood protein levels;Height;Waist-hip ratio	
ENSG00000203722	RAET1G	adrenal_gland	8.4	0	1	Brain morphology (MOSTest);Subcortical volume (MOSTest);Heel bone mineral density x serum urate levels interaction	
ENSG00000106538	RARRES2	adrenal_gland	2400.4	0	1	Suicide attempts in depression or bipolar disorder;Circulating chemerin levels;Chemerin levels	
ENSG00000012171	SEMA3B	adrenal_gland	174.5	0	1	Obese vs. thin;Sleep duration (short sleep);Waist circumference adjusted for body mass index	
ENSG00000188488	SERPINA5	adrenal_gland	484.5	0	1	Serum albumin levels;Serum total protein level;Blood protein levels	
ENSG00000168477	TNXB	adrenal_gland	274.8	0	1	Metabolite levels;Atopic dermatitis;Squamous cell lung carcinoma;Lung cancer in ever smokers;Shingles	
ENSG00000170419	VSTM2A	adrenal_gland	10.2	0	1	Metabolite levels	
