Gene	Gene.name	Tissue	nTPM	fda	fdaGeneDesc	gwcat	gwasTraits
ENSG00000130234	ACE2	kidney	87.6	0		1	Glycemic traits (pregnancy);Elevated fasting plasma glucose;Body mass index;Adult body size;Cognitive ability, years of educational attainment or schizophrenia (pleiotropy)
ENSG00000167107	ACSF2	kidney	142.1	0		1	Heel bone mineral density
ENSG00000062096	ARSF	kidney	7.6	0		1	Tuberculosis (SNP x SNP interaction)
ENSG00000143153	ATP1B1	kidney	1337.8	0		1	Electrocardiographic traits;Mitochondrial DNA levels;Fuchss corneal dystrophy;QT interval;Rosacea symptom severity
ENSG00000126895	AVPR2	kidney	8.1	1	Arginine vasopressin receptor 2	0	
ENSG00000187244	BCAM	kidney	316.8	0		1	Carotid intima media thickness (mean);Carotid intima media thickness (maximum);Blood protein levels;Alzheimers disease
ENSG00000162399	BSND	kidney	9.4	0		1	Allergic rhinitis;Carotid intima media thickness x smoking interaction;Coronary artery disease;Mitochondrial DNA copy number
ENSG00000074410	CA12	kidney	290.2	1	Carbonic anhydrase 12	1	Number of decayed, missing and filled tooth surfaces or use of dentures;Number of decayed, missing and filled tooth surfaces;Dentures;Refractive error;Daytime nap
ENSG00000166589	CDH16	kidney	250	0		1	HDL cholesterol levels x alcohol consumption (drinkers vs non-drinkers) interaction (2df);HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df);HDL cholesterol levels in current drinkers
ENSG00000113361	CDH6	kidney	14.8	0		1	Heel bone mineral density;General risk tolerance (MTAG);Smoking status (ever vs never smokers);Adventurousness;Sleep (1/3-day periodicity)
ENSG00000113100	CDH9	kidney	5.7	0		1	Metabolite levels;Response to platinum-based chemotherapy (cisplatin);Number of decayed, missing and filled tooth surfaces or use of dentures;Dentures;Adventurousness
ENSG00000186510	CLCNKA	kidney	344	0		1	Left ventricular ejection fraction;Waist circumference adjusted for body mass index;Left ventricular global circumferential strain;Left ventricular end-diastolic volume
ENSG00000184908	CLCNKB	kidney	209.7	0		1	Hemoglobin levels;Red blood cell count;Hematocrit;Hemoglobin
ENSG00000134873	CLDN10	kidney	135.2	0		1	Metabolite levels;Psychosis proneness (hypomanic personality scale);Iron status biomarkers (ferritin levels);Estimated glomerular filtration rate;Dental caries (decayed and filled deciduous teeth)
ENSG00000165376	CLDN2	kidney	165.2	0		1	Pancreatitis;Fish- and plant-related diet
ENSG00000156284	CLDN8	kidney	69.3	0		1	Response to statin therapy
ENSG00000205279	CTXN3	kidney	79.8	0		1	Plasma amyloid beta peptide concentrations (ABx-42);Brain imaging in schizophrenia (dorsolateral prefrontal cortex interaction)
ENSG00000166347	CYB5A	kidney	889.6	0		1	Liver enzyme levels (aspartate transaminase);Initial alcohol sensitivity;Blood protein levels
ENSG00000186115	CYP4F2	kidney	40.9	0		1	Urinary metabolite modules (eigenmetabolites) in chronic kidney disease;Urinary metabolite levels in chronic kidney disease
ENSG00000173253	DMRT2	kidney	41.2	0		1	Triglyceride levels;HDL cholesterol levels;Nose size;Night sleep phenotypes
ENSG00000138792	ENPEP	kidney	90	0		1	Systolic blood pressure;Pursuit maintenance gain;Lung cancer;Serum metabolite levels
