Gene	Gene.name	Tissue	nTPM	fda	fdaGeneDesc	gwcat	gwasTraits
ENSG00000151651	ADAM8	spleen	48.5	0		1	Nonunion in individuals with fractures
ENSG00000127507	ADGRE2	spleen	15.6	0		1	Plasma androstenedione levels in resected early stage-receptor positive breast cancer;Blood protein levels
ENSG00000131355	ADGRE3	spleen	5.9	0		1	Femur bone mineral density x serum urate levels interaction
ENSG00000128271	ADORA2A	spleen	15.2	1	Adenosine A2a receptor	1	Acne (severe);Coffee consumption;Caffeine consumption from tea;Caffeine consumption from coffee or tea;Coronary artery disease
ENSG00000111339	ART4	spleen	19	0		1	Blood protein levels;Hand grip strength
ENSG00000074370	ATP2A3	spleen	98.2	0		1	Glucose homeostasis traits;Metabolite levels;Refractive error;Apolipoprotein A1 levels;Diastolic blood pressure
ENSG00000186265	BTLA	spleen	10.8	0		1	Cognitive decline rate in late mild cognitive impairment
ENSG00000186470	BTN3A2	spleen	88.3	0		1	Lung cancer in ever smokers;Squamous cell lung carcinoma;Fish- and plant-related diet
ENSG00000171860	C3AR1	spleen	21.4	0		1	Granulocyte percentage of myeloid white cells;Neutrophil percentage of white cells;Neutrophil count;Monocyte percentage of white cells
ENSG00000197405	C5AR1	spleen	38.2	0		1	Chronic periodontitis
ENSG00000188820	CALHM6	spleen	136.6	0		1	Childhood steroid-sensitive nephrotic syndrome
ENSG00000271503	CCL5	spleen	123.9	0		1	Blood protein levels
ENSG00000163823	CCR1	spleen	30.8	0		1	Heel bone mineral density;Ulcerative colitis;Juvenile idiopathic arthritis (oligoarticular or rheumatoid factor-negative polyarticular);Keratinocyte cancer (MTAG);Basal cell carcinoma
ENSG00000121807	CCR2	spleen	20.4	0		1	Cerebrospinal fluid levels of Alzheimers disease-related proteins;Celiac disease;Granulocyte percentage of myeloid white cells;Monocyte percentage of white cells;Monocyte count
ENSG00000160791	CCR5	spleen	9.4	1	C-C motif chemokine receptor 5	1	Cerebrospinal fluid levels of Alzheimers disease-related proteins;Blood protein levels in cardiovascular risk;Granulocyte percentage of myeloid white cells;Ulcerative colitis
ENSG00000112486	CCR6	spleen	12.5	0		1	Triglycerides;Rheumatoid arthritis;Social autistic-like traits
ENSG00000126353	CCR7	spleen	28.6	0		1	Allergic disease (asthma, hay fever or eczema);Lymphocyte count;Allergic rhinitis;Eczema
ENSG00000177575	CD163	spleen	240.5	0		1	High density lipoprotein cholesterol levels;HDL cholesterol levels;Intracranial aneurysm
ENSG00000177675	CD163L1	spleen	31.8	0		1	Intracranial aneurysm;Lactate dehydrogenase levels;Blood protein levels
ENSG00000134061	CD180	spleen	12.9	0		1	Gut microbiota (bacterial taxa);Common carotid intima-media thickness in HIV infection;Prostate cancer (SNP x SNP interaction);General cognitive ability
ENSG00000158481	CD1C	spleen	23	0		1	Dental caries (decayed and filled deciduous teeth)
ENSG00000158488	CD1E	spleen	5.1	0		1	QRS duration
ENSG00000116824	CD2	spleen	44.1	1	CD2 molecule	1	Amyotrophic lateral sclerosis (sporadic);Metabolite levels;Acne (severe);Rheumatoid arthritis
ENSG00000163606	CD200R1	spleen	7.9	0		1	Rheumatoid arthritis;Rheumatoid arthritis (rheumatoid factor and/or anti-cyclic citrullinated peptide seropositive);Eosinophil counts;Sum eosinophil basophil counts
ENSG00000012124	CD22	spleen	161.6	1	CD22 molecule	1	Rheumatoid arthritis;Plateletcrit;Immature fraction of reticulocytes;Platelet distribution width
ENSG00000122223	CD244	spleen	16.8	0		1	Inflammatory bowel disease;Crohns disease;Lymphocyte percentage of white cells;Neutrophil percentage of white cells;White blood cell count
ENSG00000139193	CD27	spleen	73.8	0		1	Bipolar disorder;Cold medicine-related Stevens-Johnson syndrome/toxic epidermal necrolysis (SJS/TEN) with severe ocular complications;Multiple sclerosis;Tourette syndrome;Erythema nodosum in inflammatory bowel disease
ENSG00000167851	CD300A	spleen	95.2	0		1	Blood protein levels;Neurological blood protein biomarker levels
ENSG00000167850	CD300C	spleen	7.3	0		1	Blood protein levels
ENSG00000186407	CD300E	spleen	11	0		1	Dental caries (decayed and filled deciduous tooth surfaces);Blood protein levels
ENSG00000186074	CD300LF	spleen	28.9	0		1	Fibrinogen;Sum neutrophil eosinophil counts;White blood cell count;Plateletcrit;Monocyte count
ENSG00000105383	CD33	spleen	23.9	1	CD33 molecule	1	Alzheimers disease;Plateletcrit;White blood cell count;Platelet count
ENSG00000167286	CD3D	spleen	60.9	1	CD3d molecule	1	Pulse pressure
ENSG00000198851	CD3E	spleen	78.9	1	CD3e molecule	1	Lung cancer in ever smokers;Pulse pressure;Alzheimers disease or HDL levels (pleiotropy)
ENSG00000160654	CD3G	spleen	11.5	1	CD3g molecule	0	
ENSG00000010610	CD4	spleen	164.4	1	CD4 molecule	1	Schizophrenia;Height;Systemic lupus erythematosus;Rheumatoid arthritis
ENSG00000110448	CD5	spleen	14.1	0		1	Metabolite levels;Rheumatoid arthritis;Type 2 diabetes;Fruit consumption;Refractive error
ENSG00000143119	CD53	spleen	269.4	0		1	Cytomegalovirus antibody response;Obesity-related traits
ENSG00000013725	CD6	spleen	18	0		1	White coat effect (clinic diastolic blood pressure minus ambulatory diastolic blood pressure);Smoking status (ever vs never smokers);Refractive error;Chronic inflammatory diseases (ankylosing spondylitis, Crohns disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)
ENSG00000129226	CD68	spleen	370.7	0		1	Refractive error;Brain morphology (MOSTest);Metabolic syndrome;Post bronchodilator FEV1/FVC ratio;Heel bone mineral density
ENSG00000173762	CD7	spleen	53.7	0		1	Electroencephalogram traits;Height;Crohns disease;Inflammatory bowel disease;Asthma
ENSG00000137101	CD72	spleen	53.6	0		1	Electroencephalogram traits;Blood protein levels
ENSG00000019582	CD74	spleen	4897.4	0		1	Crohns disease;Inflammatory bowel disease;Post bronchodilator FEV1/FVC ratio
ENSG00000007312	CD79B	spleen	147.7	1	CD79b molecule	1	Height;Hip circumference adjusted for BMI
ENSG00000066294	CD84	spleen	15.2	0		1	Response to anti-TNF therapy in rheumatoid arthritis
ENSG00000114013	CD86	spleen	23.4	1	CD86 molecule	1	Follicular lymphoma;Gut microbiota (functional units);Eosinophil counts;Multiple sclerosis;Eosinophil percentage of white cells
ENSG00000153563	CD8A	spleen	117.1	0		1	Blood protein levels
ENSG00000172116	CD8B	spleen	15.6	0		1	Progressive supranuclear palsy
ENSG00000153283	CD96	spleen	12.8	0		1	Current cigarettes per day in chronic obstructive pulmonary disease;Anti-adalimumab antibody production in response to treatment in Crohns disease
ENSG00000007129	CEACAM21	spleen	10.2	0		1	Lung adenocarcinoma;Schizophrenia;Prostate cancer
ENSG00000154645	CHODL	spleen	14.1	0		1	Amyotrophic lateral sclerosis (sporadic);Neuroblastoma or malignant cutaneous melanoma;Bulimia nervosa;Perceived unattractiveness to mosquitoes;Adverse response to chemotherapy (neutropenia/leucopenia) (all antimetabolite drugs)
ENSG00000132514	CLEC10A	spleen	18.5	0		1	GIP levels in response to oral glucose tolerance test (120 minutes);Carotid intima media thickness x smoking interaction;Neurological blood protein biomarker levels;Liver enzyme levels (alkaline phosphatase)
ENSG00000172322	CLEC12A	spleen	22.1	0		1	Blood protein levels;Malaria
ENSG00000150048	CLEC1A	spleen	8	0		1	Metabolite levels
ENSG00000069493	CLEC2D	spleen	26.6	0		1	HDL cholesterol levels x short total sleep time interaction (1df test);HDL cholesterol levels x short total sleep time interaction (2df test);Multiple sclerosis;Autoimmune thyroid disease
ENSG00000166523	CLEC4E	spleen	52.3	0		1	Takayasu arteritis
ENSG00000174600	CMKLR1	spleen	34.3	0		1	Acne (severe);Risk-taking tendency (4-domain principal component model);Protein level change in low calorie diet obesity intervention;Response to methotrexate in juvenile idiopathic arthritis;Granulocyte percentage of myeloid white cells
ENSG00000188822	CNR2	spleen	8.8	1	Cannabinoid receptor 2	1	Eosinophil percentage of granulocytes;Eosinophil counts;Eosinophil percentage of white cells;Multiple sclerosis
ENSG00000203710	CR1	spleen	24.4	0		1	Age-related hearing impairment;Interferon alpha levels in systemic lupus erythematosus;White blood cell count;Metabolite levels;Amyotrophic lateral sclerosis (sporadic)
ENSG00000117322	CR2	spleen	73.2	0		1	Cerebrospinal fluid levels of Alzheimers disease-related proteins;Height;Age-related cognitive decline (language) (slope of z-scores);Refractive error;Pulse pressure
ENSG00000182578	CSF1R	spleen	113.3	1	Colony stimulating factor 1 receptor	1	Granulocyte percentage of myeloid white cells;Monocyte percentage of white cells;Monocyte count
ENSG00000100368	CSF2RB	spleen	22.8	1	Colony stimulating factor 2 receptor subunit beta	1	Blood protein levels;Eosinophil counts;Multiple sclerosis
ENSG00000163464	CXCR1	spleen	40.5	0		1	Inflammatory bowel disease;Basophil count;Neutrophil count;White blood cell count
ENSG00000180871	CXCR2	spleen	27.3	0		1	Age-related cognitive decline (language) (slope of z-scores);Granulocyte percentage of myeloid white cells;Monocyte percentage of white cells;White blood cell count;Sum neutrophil eosinophil counts
ENSG00000186810	CXCR3	spleen	7.5	0		1	Tuberculosis (SNP x SNP interaction)
ENSG00000121966	CXCR4	spleen	346.5	1	C-X-C motif chemokine receptor 4	1	Amyotrophic lateral sclerosis (sporadic);Telomere length;Smoking status (ever vs never smokers);Lung function (low FEV1 vs high FEV1);Arthritis (juvenile idiopathic)
ENSG00000051523	CYBA	spleen	693.1	0		1	Glycated hemoglobin levels;Hair color
ENSG00000155016	CYP2U1	spleen	7.6	0		1	Appendicular lean mass
ENSG00000173198	CYSLTR1	spleen	10.6	1	Cysteinyl leukotriene receptor 1	1	Potassium levels
ENSG00000099958	DERL3	spleen	61.6	0		1	IgG galactosylation phenotypes (multivariate analysis);IgG digalactosylation phenotypes (multivariate analysis);IgG bisecting N-acetyl glucosamine phenotypes (multivariate analysis);IgG sialylation phenotypes (multivariate analysis);IgG disialylation phenotypes (multivariate analysis)
ENSG00000198719	DLL1	spleen	53.9	0		1	Interferon alpha levels in systemic lupus erythematosus;Plasma anti-thyroglobulin levels;Intraocular pressure;Type 1 diabetes;Blood protein levels
ENSG00000167261	DPEP2	spleen	28.6	0		1	Schizophrenia;Refractive error;HDL cholesterol levels x alcohol consumption (drinkers vs non-drinkers) interaction (2df);Triglyceride levels in current drinkers
ENSG00000133740	E2F5	spleen	6.9	0		1	Plasma amyloid beta peptide concentrations (ABx-40)
ENSG00000126860	EVI2A	spleen	38.2	0		1	Brain morphology (MOSTest);Endometrial cancer (endometrioid histology);Endometrial cancer
ENSG00000185862	EVI2B	spleen	158.8	0		1	Oily fish consumption;Pork consumption;Brain morphology (MOSTest);Aspartate aminotransferase levels
ENSG00000181104	F2R	spleen	69.5	1	Coagulation factor II thrombin receptor	1	LDL cholesterol levels;Blood protein levels;Phenylephrine infusion rate during anesthesia;Apolipoprotein B levels
ENSG00000187268	FAM9C	spleen	38.2	0		1	Asthma;Asthma (childhood onset)
ENSG00000140525	FANCI	spleen	6	0		1	Height;Serum immune biomarker levels;Menopause (age at onset)
ENSG00000186431	FCAR	spleen	13.5	0		1	Ulcerative colitis
ENSG00000158869	FCER1G	spleen	470.1	1	Fc fragment of IgE receptor Ig	1	Aggressive periodontitis;Asthma;Allergic disease (asthma, hay fever or eczema);Platelet distribution width;Allergy
ENSG00000104921	FCER2	spleen	38.4	0		1	Post bronchodilator FEV1;Blood protein levels
ENSG00000150337	FCGR1A	spleen	12.5	1	Fc fragment of IgG receptor Ia	0	
ENSG00000198019	FCGR1B	spleen	7.2	1	Fc fragment of IgG receptor Ib	0	
ENSG00000143226	FCGR2A	spleen	61.8	1	Fc fragment of IgG receptor IIa	1	Kawasaki disease;Systemic lupus erythematosus;Rheumatoid arthritis;Blood protein levels
ENSG00000203747	FCGR3A	spleen	306.8	1	Fc fragment of IgG receptor IIIa	1	Functional impairment in major depressive disorder, bipolar disorder and schizophrenia;Ulcerative colitis;Inflammatory bowel disease;Basophil count
ENSG00000162747	FCGR3B	spleen	82	1	Fc fragment of IgG receptor IIIb	1	Hemoglobin levels;Ulcerative colitis;Inflammatory bowel disease;Basophil percentage of white cells;Basophil percentage of granulocytes
ENSG00000160856	FCRL3	spleen	27.5	0		1	Rheumatoid arthritis;Blood protein levels;Rheumatoid arthritis (ACPA-positive);Multiple sclerosis
ENSG00000143297	FCRL5	spleen	15.1	0		1	Renal sinus fat;Systemic lupus erythematosus;HOMA-B (corrected for HOMA-IR)
ENSG00000181036	FCRL6	spleen	12.8	0		1	Metabolite levels;C-reactive protein;Blood protein levels
ENSG00000132185	FCRLA	spleen	38.5	0		1	Response to cyclophosphamide in systemic lupus erythematosus with lupus nephritis;Inflammatory bowel disease;Lymphocyte percentage of white cells;Lymphocyte count;Liver enzyme levels (gamma-glutamyl transferase)
ENSG00000126262	FFAR2	spleen	22.2	0		1	Hemoglobin;Iron status biomarkers (iron levels);Iron status biomarkers (transferrin saturation);Metabolite levels;Neutrophil count
ENSG00000122025	FLT3	spleen	5.7	1	Fms related receptor tyrosine kinase 3	1	HDL cholesterol levels;Apolipoprotein A1 levels;Sum neutrophil eosinophil counts;White blood cell count
ENSG00000184922	FMNL1	spleen	104.9	0		1	Asthma;Craniofacial microsomia;Hypothyroidism;Thyroid stimulating hormone levels;Male-pattern baldness
ENSG00000171051	FPR1	spleen	129.2	0		1	Neutrophil percentage of granulocytes;Eosinophil counts;Tourette syndrome;Eosinophil percentage of white cells;Alopecia areata
ENSG00000171049	FPR2	spleen	17.2	0		1	Multiple sclerosis;Tourette syndrome;Alopecia areata
ENSG00000158555	GDPD5	spleen	116.6	0		1	Height;Colorectal or endometrial cancer;Coronary artery disease
ENSG00000213203	GIMAP1	spleen	24.7	0		1	Coronary artery calcified atherosclerotic plaque (130 HU threshold) in type 2 diabetes
ENSG00000281887	GIMAP1-GIMAP5	spleen	16.4	0		1	Coronary artery calcified atherosclerotic plaque (130 HU threshold) in type 2 diabetes
ENSG00000106560	GIMAP2	spleen	62.1	0		1	Age at smoking initiation in chronic obstructive pulmonary disease
ENSG00000133574	GIMAP4	spleen	115.6	0		1	Triglyceride levels;vWF levels
ENSG00000196329	GIMAP5	spleen	64.2	0		1	Coronary artery calcified atherosclerotic plaque (130 HU threshold) in type 2 diabetes
ENSG00000183153	GJD3	spleen	8.1	0		1	Platelet distribution width
ENSG00000106415	GLCCI1	spleen	7.1	0		1	Cognitive function;Intraocular pressure;Height;Night sleep phenotypes;Granulocyte percentage of myeloid white cells
ENSG00000169704	GP9	spleen	8.9	0		1	Mean platelet volume;Plateletcrit;Platelet distribution width;Platelet count
ENSG00000147138	GPR174	spleen	8.1	0		1	Graves disease
ENSG00000125245	GPR18	spleen	10.5	0		1	Triglyceride levels;Asthma
ENSG00000166856	GPR182	spleen	17	0		1	Asthma;Refractive error;Asthma or allergic disease (pleiotropy)
ENSG00000169508	GPR183	spleen	35.1	0		1	Asthma;Inflammatory bowel disease;Type 1 diabetes
