Gene	Gene.name	Tissue	nTPM	fda	gwcat	gwasTraits	fdaGeneDesc
ENSG00000167311	ART5	skeletal_muscle	13.4	0	1	Malaria	
ENSG00000189227	C15orf61	skeletal_muscle	23.7	0	1	Insomnia symptoms (never/rarely vs. sometimes/usually);Insomnia symptoms (never/rarely vs. usually);Asthma	
ENSG00000240654	C1QTNF9	skeletal_muscle	8.4	0	1	Myopia (pathological)	
ENSG00000185267	CDNF	skeletal_muscle	25.9	0	1	Night sleep phenotypes;Blood protein levels;Response to cognitive-behavioural therapy in anxiety disorder	
ENSG00000161671	EMC10	skeletal_muscle	185.8	0	1	Age-related cognitive decline (memory) (slope of z-scores)	
ENSG00000086289	EPDR1	skeletal_muscle	122.9	0	1	Height;Heel bone mineral density;Lumbar spine bone mineral density;Rosacea symptom severity	
ENSG00000178752	ERFE	skeletal_muscle	14.9	0	1	Iron status biomarkers (iron levels);Iron status biomarkers (transferrin saturation)	
ENSG00000107831	FGF8	skeletal_muscle	48.7	0	1	Systolic blood pressure;Household income (MTAG);Intelligence (MTAG);General cognitive ability	
ENSG00000168621	GDNF	skeletal_muscle	10.1	0	1	Major depressive disorder;Gut microbiota (bacterial taxa, hurdle binary method);World class endurance athleticism;Asthma;Neurological blood protein biomarker levels	
ENSG00000160712	IL6R	skeletal_muscle	94.2	1	1	Response to anti-retroviral therapy (ddI/d4T) in HIV-1 infection (Grade 2 peripheral neuropathy);Fibrinogen;Rheumatoid arthritis;Cerebrospinal fluid levels of Alzheimers disease-related proteins	Interleukin 6 receptor
ENSG00000186868	MAPT	skeletal_muscle	79	1	1	Parkinsons disease;Alzheimers disease	Microtubule associated protein tau
ENSG00000138379	MSTN	skeletal_muscle	10.1	0	1	Daytime sleep phenotypes;Schizophrenia	
ENSG00000225950	NTF4	skeletal_muscle	17.1	0	1	Asparaginase-induced acute pancreatitis in acute lymphoblastic leukemia (onset time)	
ENSG00000197461	PDGFA	skeletal_muscle	95.2	0	1	Male-pattern baldness	
ENSG00000134020	PEBP4	skeletal_muscle	670.8	0	1	Height;Blond vs. brown/black hair color;Visceral fat;Lymphocyte percentage of white cells;Lymphocyte count	
ENSG00000162878	PKDCC	skeletal_muscle	85.5	0	1	Hypospadias;Heel bone mineral density;Nonsyndromic cleft lip with or without cleft palate;Chin dimples	
ENSG00000182175	RGMA	skeletal_muscle	199.1	0	1	Metabolite levels;Refractive error;HDL cholesterol levels x short total sleep time interaction (2df test);Heel bone mineral density;Opioid dependence	
ENSG00000105711	SCN1B	skeletal_muscle	572	1	1	Metabolite levels;Serum albumin levels	Sodium voltage-gated channel beta subunit 1
ENSG00000143816	WNT9A	skeletal_muscle	26.3	0	1	Height;Triglyceride levels;HDL cholesterol levels;Systolic blood pressure;Diastolic blood pressure	
