Gene	Gene.name	Tissue	nTPM	fda	gwcat	gwasTraits	fdaGeneDesc
ENSG00000128165	ADM2	pancreas	15.5	0	1	Metabolite levels;Longevity (90 years and older);BMI (adjusted for smoking behaviour)	
ENSG00000243480	AMY2A	pancreas	148689.6	1	0		Amylase alpha 2A
ENSG00000240038	AMY2B	pancreas	31246.7	0	1	Blood protein levels	
ENSG00000170835	CEL	pancreas	110578	0	1	Breastfeeding duration;Cholesterol, total;Educational attainment;Height	
ENSG00000142615	CELA2A	pancreas	162732.5	0	1	Systolic blood pressure;Pulse pressure;Alcoholic chronic pancreatitis	
ENSG00000215704	CELA2B	pancreas	20446.9	0	1	Hemoglobin;Alcoholic chronic pancreatitis	
ENSG00000142789	CELA3A	pancreas	262614.2	0	1	Gestational age at birth (maternal effect);Body mass index and systolic blood pressure (bivariate analysis);Neutrophil count;Neutrophil percentage of white cells	
ENSG00000219073	CELA3B	pancreas	49621.1	0	1	Monocyte percentage of white cells;White blood cell count	
ENSG00000136698	CFC1	pancreas	30.7	0	1	Celiac disease;Systemic lupus erythematosus;Rheumatoid arthritis;Rheumatoid arthritis (ACPA-positive)	
ENSG00000136457	CHAD	pancreas	32.6	0	1	Schizophrenia;Lamb consumption;Height;Refractive error;Osteoarthritis (with total hip replacement)	
ENSG00000137392	CLPS	pancreas	262086	0	1	Blood protein levels	
ENSG00000100473	COCH	pancreas	502	0	1	Night sleep phenotypes;Mean platelet volume;Blood protein levels;Brain morphology (MOSTest)	
ENSG00000091704	CPA1	pancreas	237498.3	0	1	Waist-to-hip ratio adjusted for BMI (age >50);Waist-to-hip ratio adjusted for BMI x sex x age interaction (4df test);A body shape index	
ENSG00000158516	CPA2	pancreas	45360.2	0	1	Asparaginase-induced acute pancreatitis in acute lymphoblastic leukemia (onset time)	
ENSG00000153002	CPB1	pancreas	226925.8	0	1	Blood protein levels;Lead levels in blood	
ENSG00000168925	CTRB1	pancreas	133851.7	0	1	Alcoholic chronic pancreatitis;Pancreatic cancer;Advanced age-related macular degeneration	
ENSG00000168928	CTRB2	pancreas	98661	0	1	Blood protein levels;Alcoholic chronic pancreatitis;Pancreatic cancer	
ENSG00000162438	CTRC	pancreas	25708.5	0	1	Alcoholic chronic pancreatitis	
ENSG00000141086	CTRL	pancreas	7481.6	0	1	Schizophrenia;Refractive error	
ENSG00000183844	FAM3B	pancreas	212.3	0	1	Glycemic traits (pregnancy);Elevated serum carcinoembryonic antigen levels;Blood protein levels;Tumor biomarkers	
ENSG00000115263	GCG	pancreas	1943.6	0	1	Metabolite levels;Red cell distribution width;Central corneal thickness;Hematocrit	
ENSG00000169347	GP2	pancreas	35381.6	0	1	Diastolic blood pressure x smoking status (ever vs never) interaction (2df test);Diastolic blood pressure x smoking status (ever vs never) interaction (1df test);Type 2 diabetes;Smoking initiation (ever regular vs never regular);Body mass index	
ENSG00000121351	IAPP	pancreas	166.7	0	1	Diisocyanate-induced asthma	
ENSG00000115457	IGFBP2	pancreas	956	0	1	Glomerular filtration rate (creatinine);Mitral valve prolapse;Type 2 diabetes;Thyroid stimulating hormone levels;Gut microbiota alpha diversity (PD_whole_tree index)	
ENSG00000008517	IL32	pancreas	674.4	0	1	HIV-1 susceptibility;Liver enzyme levels (alanine transaminase);Alanine aminotransferase levels;Aspartate aminotransferase levels	
ENSG00000254647	INS	pancreas	12983.6	0	1	Triglycerides;Type 2 diabetes;Cholesterol, total;Height;LDL cholesterol	
ENSG00000129965	INS-IGF2	pancreas	9.1	0	1	Type 2 diabetes;Cervical cancer;Cervical cancer (MTAG);Hemoglobin levels	
ENSG00000124159	MATN4	pancreas	24.8	0	1	Blood protein levels;Malaria	
ENSG00000171119	NRTN	pancreas	16.9	0	1	Blood protein levels;N-glycan levels	
ENSG00000070081	NUCB2	pancreas	758.3	0	1	Blood protein levels;Youthful appearance (self-reported);Systolic blood pressure;Pulse pressure;Body mass index	
ENSG00000102837	OLFM4	pancreas	671.4	0	1	Amyotrophic lateral sclerosis (sporadic);BMI (adjusted for smoking behaviour);Body mass index;Adventurousness	
ENSG00000170890	PLA2G1B	pancreas	117705.6	0	1	Bipolar disorder	
ENSG00000175535	PNLIP	pancreas	444687.5	1	1	Anger;Low density lipoprotein cholesterol levels;Body mass index;Loneliness;Loneliness (multivariate analysis)	Pancreatic lipase
ENSG00000187021	PNLIPRP1	pancreas	10825.1	0	1	Anger;Body mass index;Loneliness;Loneliness (multivariate analysis);Loneliness (linear analysis)	
ENSG00000204983	PRSS1	pancreas	341429.7	0	1	Metabolite levels;Pancreatitis;Lung cancer in ever smokers;Squamous cell lung carcinoma	
ENSG00000275896	PRSS2	pancreas	239420	0	1	Amyotrophic lateral sclerosis (sporadic);Prostate cancer;Pancreatitis;Heel bone mineral density	
ENSG00000010438	PRSS3	pancreas	31113.6	0	1	Bipolar disorder with mood-incongruent psychosis;Bipolar I disorder;Triglyceride levels;Bipolar disorder;Face memory	
ENSG00000106538	RARRES2	pancreas	1482	0	1	Suicide attempts in depression or bipolar disorder;Circulating chemerin levels;Chemerin levels	
