Gene	Gene.name	Tissue	nTPM	fda	gwcat	gwasTraits	fdaGeneDesc
ENSG00000168792	ABHD15	liver	26.2	0	1	LDL cholesterol levels;Brain morphology (MOSTest);Height;Waist-to-hip ratio adjusted for BMI;Hip circumference adjusted for BMI	
ENSG00000160323	ADAMTS13	liver	63.8	0	1	vWF levels in ischaemic stroke and hyperhomocysteinaemia;Gut microbiota (functional units);Blood protein levels;ADAMTS13 activity	
ENSG00000079557	AFM	liver	961.6	0	1	Urinary metabolite levels in chronic kidney disease;Blood protein levels;Gut microbiota (bacterial taxa, rank normal transformation method);Type 2 diabetes	
ENSG00000135744	AGT	liver	1603.7	0	1	Type 2 diabetes;Systolic blood pressure (cigarette smoking interaction);Diastolic blood pressure (cigarette smoking interaction);Systolic blood pressure;Height	
ENSG00000145192	AHSG	liver	5817.6	0	1	Blood protein levels;Activated partial thromboplastin time	
ENSG00000163631	ALB	liver	212494	1	1	General risk tolerance (MTAG);Risk-taking tendency (4-domain principal component model);Bone mineral content	Albumin
ENSG00000106927	AMBP	liver	10947.9	0	1	Serum metabolite levels;Anti-saccade response;Blood protein levels	
ENSG00000214274	ANG	liver	3018.1	0	1	Blood metabolite levels;Fractional exhaled nitric oxide (childhood);Metabolite levels;Cholesterol, total	
ENSG00000132855	ANGPTL3	liver	675.7	0	1	Blood metabolite levels;Cholesterol, total;LDL cholesterol;Triglycerides;Triglyceride levels	
ENSG00000167772	ANGPTL4	liver	183.7	0	1	HDL cholesterol;Triglyceride levels;HDL cholesterol levels	
ENSG00000130812	ANGPTL6	liver	30.2	0	1	Thiazide-induced adverse metabolic effects in hypertensive patients;Protein quantitative trait loci	
ENSG00000130173	ANGPTL8	liver	409.8	0	1	HDL cholesterol;HDL cholesterol levels	
ENSG00000132703	APCS	liver	3629.2	0	1	C-reactive protein;Blood protein levels;Neonatal white matter microstructure	
ENSG00000118137	APOA1	liver	19248.5	0	1	Lipid traits;Cholesterol, total;LDL cholesterol;Triglycerides;Hearing function	
ENSG00000158874	APOA2	liver	36012.6	0	1	Carotid intima media thickness (mean)	
ENSG00000110243	APOA5	liver	582.1	0	1	Lipid traits;Blood metabolite levels;Metabolite levels;Triglycerides;Hypertriglyceridemia	
ENSG00000130208	APOC1	liver	16232.1	0	1	Alzheimers disease biomarkers;Alzheimers disease (age of onset);Apolipoprotein Levels;Lipid traits	
ENSG00000234906	APOC2	liver	9641.4	0	1	Carotid intima media thickness (mean);Carotid intima media thickness (maximum);HDL cholesterol levels;Triglyceride levels	
ENSG00000110245	APOC3	liver	27649	1	1	Lipid traits;Refractive error;Platelet count;Triglyceride levels;HDL cholesterol levels	Apolipoprotein C3
ENSG00000267467	APOC4	liver	629.1	0	1	Carotid intima media thickness (mean);Carotid intima media thickness (maximum);HDL cholesterol levels;Apolipoprotein A1 levels	
ENSG00000175336	APOF	liver	416.7	0	1	Blood protein levels;Axial length	
ENSG00000091583	APOH	liver	17965.3	0	1	LDL cholesterol;Low density lipoprotein cholesterol levels;Triglyceride levels;Blood protein levels	
ENSG00000100342	APOL1	liver	220.5	0	1	Blood protein levels;End-stage renal disease;End-stage kidney disease	
ENSG00000204444	APOM	liver	390.7	0	1	Squamous cell lung carcinoma;Lung cancer in ever smokers;Asthma;Asthma (childhood onset);Asthma and major depressive disorder	
ENSG00000111339	ART4	liver	53.3	0	1	Blood protein levels;Hand grip strength	
ENSG00000141505	ASGR1	liver	1092.3	0	1	Low density lipoprotein cholesterol levels;LDL cholesterol levels;Apolipoprotein B levels;Serum alkaline phosphatase levels;Iron status biomarkers (ferritin levels)	
ENSG00000160862	AZGP1	liver	2809.6	0	1	Refractive error;Ticagrelor levels in individuals with acute coronary syndromes treated with ticagrelor;Red blood cell count;Brain morphology (MOSTest);Subcortical volume (MOSTest)	
ENSG00000114200	BCHE	liver	525.1	1	1	Alzheimers disease biomarkers;Blood protein levels;Paclitaxel disposition in epithelial ovarian cancer	Butyrylcholinesterase
ENSG00000169814	BTD	liver	95.9	0	1	Inflammatory skin disease;Metabolite levels;Bipolar disorder;Triglyceride levels;Blood protein levels	
ENSG00000139178	C1RL	liver	141.9	0	1	Blood protein levels;Night sleep phenotypes	
ENSG00000182326	C1S	liver	2915.2	1	1	Red blood cell fatty acid levels;Lung cancer in never smokers;Blood protein levels	Complement C1s
ENSG00000166278	C2	liver	477.9	0	1	Lipid traits;Age-related hearing impairment;Chronic lymphocytic leukemia;Blood metabolite ratios	
ENSG00000125730	C3	liver	4761.3	1	1	Lipid traits;Blood metabolite ratios;Hypospadias;Blood metabolite levels;Glucose homeostasis traits	Complement C3
ENSG00000244731	C4A	liver	336.8	1	1	Breast cancer (early onset);Fractional exhaled nitric oxide (childhood);Hypertension;Systolic blood pressure	Complement C4A (Rodgers blood group)
ENSG00000123838	C4BPA	liver	1918.6	0	1	Venous thromboembolism;Blood protein levels;Refractive error;Spherical equivalent or myopia (age of diagnosis)	
ENSG00000123843	C4BPB	liver	471.3	0	1	Hip circumference;C4b binding protein levels	
ENSG00000106804	C5	liver	433.7	1	1	Age-related hearing impairment;Response to inhaled corticosteroid treatment in asthma (change in FEV1);Blood metabolite levels	Complement C5
ENSG00000039537	C6	liver	665.9	0	1	Chronic obstructive pulmonary disease (moderate to severe);Endometrial cancer;Infant length;Blood metabolite ratios	
ENSG00000157131	C8A	liver	635.7	0	1	Metabolite levels;PR interval;Platelet count;Immune response to measles-mumps-rubella vaccine	
ENSG00000021852	C8B	liver	840	0	1	Menarche (age at onset);Social autistic-like traits;Triglyceride levels;Height	
ENSG00000176919	C8G	liver	564.4	0	1	Blood protein levels;Keratoconus	
ENSG00000113600	C9	liver	1397	0	1	Blood metabolite levels;Amyotrophic lateral sclerosis;White blood cell count	
ENSG00000275152	CCL16	liver	120.3	0	1	Initial pursuit acceleration;Blood protein levels	
ENSG00000170458	CD14	liver	403.4	0	1	Blood protein levels;Refractive error;Serum immune biomarker levels;Schizophrenia	
ENSG00000243649	CFB	liver	2613.2	0	1	Height;Asthma;Chronic hepatitis B infection;Inflammatory bowel disease;Ulcerative colitis	
ENSG00000000971	CFH	liver	1676.3	0	1	IgA nephropathy;Lupus nephritis in systemic lupus erythematosus;Post bronchodilator FEV1/FVC ratio in COPD	
ENSG00000244414	CFHR1	liver	2081.3	0	1	IgA nephropathy;Complement C3 and C4 levels;Advanced age-related macular degeneration;Matrix metalloproteinase-8 levels;Age-related macular degeneration	
ENSG00000080910	CFHR2	liver	1311.8	0	1	Blood protein levels;Alanine aminotransferase (ALT) levels after remission induction therapy in actute lymphoblastic leukemia (ALL);Asthma;Feeling miserable	
ENSG00000116785	CFHR3	liver	505.7	0	1	IgA nephropathy;Complement C3 and C4 levels;Meningococcal disease	
ENSG00000134365	CFHR4	liver	123.9	0	1	Blood protein levels;Serum C3d:C3 ratio (systemic complement activation);Matrix metalloproteinase-8 levels;Phenytoin-induced maculopapular exanthema	
ENSG00000134389	CFHR5	liver	167.5	0	1	Lupus nephritis in systemic lupus erythematosus;Blood protein levels	
ENSG00000205403	CFI	liver	1098.8	0	1	Post bronchodilator FEV1/FVC ratio in COPD;Blood protein levels;Fasting insulin (dietary factor interaction);Homeostasis model assessment of insulin resistance (dietary factor interaction);Advanced age-related macular degeneration	
ENSG00000136457	CHAD	liver	36.2	0	1	Schizophrenia;Lamb consumption;Height;Refractive error;Osteoarthritis (with total hip replacement)	
ENSG00000133048	CHI3L1	liver	447.8	0	1	Blood protein levels in cardiovascular risk;Metabolite levels;Blood protein levels;Clozapine-induced agranulocytosis	
ENSG00000090539	CHRD	liver	130	0	1	Allergic rhinitis;Plateletcrit;Gut microbiota (bacterial taxa, hurdle binary method);Blood protein levels	
ENSG00000120885	CLU	liver	9779.1	0	1	Schizophrenia;Electroencephalogram traits;Lung cancer in ever smokers;Lung adenocarcinoma;Alzheimers disease	
ENSG00000182871	COL18A1	liver	561.9	0	1	HDL cholesterol levels;Apolipoprotein A1 levels;Pursuit maintenance gain;Early-onset Parkinsons disease;Bone mineral density (total hip)	
ENSG00000160963	COL26A1	liver	5.5	0	1	Hemoglobin levels;Lysophosphatidylcholine levels;Intraocular pressure;Diffusing capacity of carbon monoxide	
ENSG00000184374	COLEC10	liver	65.7	0	1	Blood pressure (smoking interaction);Osteoprotegerin levels;Bone mineral density (paediatric, skull)	
ENSG00000118004	COLEC11	liver	143.1	0	1	Intraocular pressure;LDL cholesterol levels;Triglyceride levels;Chronic kidney disease (reduced eGFR or end stage renal disease) in type 1 diabetes;HDL cholesterol levels	
ENSG00000047457	CP	liver	1871.4	0	1	Anger;Blood metabolite levels	
ENSG00000080618	CPB2	liver	1484.1	1	1	Blood protein levels;Thrombin-activatable fibrinolysis inhibitor levels	Carboxypeptidase B2
ENSG00000120054	CPN1	liver	81.6	0	1	Heel bone mineral density;Blood protein levels;General cognitive ability;Creatine kinase levels;Dermatomyositis	
ENSG00000178772	CPN2	liver	218.6	0	1	Triglyceride levels in HIV infection;Blood protein levels	
ENSG00000145708	CRHBP	liver	166.5	0	1	Blood protein levels;Dental caries (decayed, missing and filled tooth surfaces);Chronotype	
ENSG00000132693	CRP	liver	9388.5	0	1	C-reactive protein levels;Acne (severe);Inflammatory biomarkers;Inflammatory biomarkers in Kawasaki disease;Blood protein levels	
ENSG00000081041	CXCL2	liver	509.9	0	1	Metabolite levels;Granulocyte percentage of myeloid white cells;Monocyte percentage of white cells;White blood cell count;Sum neutrophil eosinophil counts	
ENSG00000169242	EFNA1	liver	472.8	0	1	Emotional recognition;Refractive error;Body fat distribution (leg fat ratio);Body fat distribution (trunk fat ratio)	
ENSG00000187097	ENTPD5	liver	263.7	0	1	Refractive error;Blood protein levels;Serum uric acid levels	
ENSG00000130427	EPO	liver	47.2	0	1	LDL cholesterol levels;Hematocrit;Hemoglobin levels;Refractive error	
ENSG00000126218	F10	liver	160	1	1	Chronic lymphocytic leukemia;Attention deficit hyperactivity disorder;Metabolite levels;Fibrinogen;Toenail selenium levels	Coagulation factor X
ENSG00000088926	F11	liver	243.2	1	1	C-reactive protein levels;Breastfeeding duration;Metabolite levels;Inflammatory skin disease	Coagulation factor XI
ENSG00000131187	F12	liver	604.6	1	1	Blood metabolite ratios;Glucose homeostasis traits;Glaucoma (primary open-angle);QRS duration;Bronchopulmonary dysplasia	Coagulation factor XII
ENSG00000143278	F13B	liver	200.2	1	1	Metabolite levels;Lupus nephritis in systemic lupus erythematosus;Multiple myeloma;Low density lipoprotein cholesterol levels;LDL cholesterol levels	Coagulation factor XIII B chain
ENSG00000180210	F2	liver	1217.3	1	1	Chronic obstructive pulmonary disease (moderate to severe);Anger;Response to haloperidol in psychosis;Infant length;Blood metabolite levels	Coagulation factor II, thrombin
ENSG00000057593	F7	liver	160.2	1	1	Pulse pressure (alcohol consumption interaction);Type 2 diabetes;Bipolar disorder (body mass index interaction);Height;Metabolite levels	Coagulation factor VII
ENSG00000101981	F9	liver	704.9	1	1	Amyotrophic lateral sclerosis (sporadic);Schizophrenia;Rheumatoid arthritis;Lung cancer;Time-dependent creatinine clearance change response to tenofovir treatment in HIV infection (time and treatment arm interaction)	Coagulation factor IX
ENSG00000108950	FAM20A	liver	50.2	0	1	Blood protein levels	
ENSG00000160339	FCN2	liver	99.7	0	1	Blood protein levels	
ENSG00000090512	FETUB	liver	234.6	0	1	Activated partial thromboplastin time;Neurological blood protein biomarker levels;Electrocardiogram morphology (amplitude at temporal datapoints)	
ENSG00000171560	FGA	liver	18396.9	1	1	Resting metabolic rate;Autism spectrum disorder or schizophrenia;Alzheimers disease or fasting glucose levels (pleiotropy);Ischemic stroke;Stroke	Fibrinogen alpha chain
ENSG00000171564	FGB	liver	17944.9	1	1	Fibrinogen;Chronic obstructive pulmonary disease-related biomarkers;Fibrinogen levels;Ischemic stroke	Fibrinogen beta chain
ENSG00000105550	FGF21	liver	84.1	0	1	Dietary macronutrient intake;Resting metabolic rate;Relative protein intake;Relative carbohydrate intake;Relative sugar intake	
ENSG00000171557	FGG	liver	16556.3	1	1	Response to antipsychotic therapy (extrapyramidal side effects);Cervical artery dissection;Venous thromboembolism;Triglyceride levels x loop diuretics use interaction	Fibrinogen gamma chain
ENSG00000104760	FGL1	liver	4163.9	0	1	Blood protein levels;Response to bronchodilator in chronic obstructive pulmonary disease (change in FEV1)	
ENSG00000115414	FN1	liver	1725.9	1	1	Cannabis dependence;LDL cholesterol;Response to radiotherapy in cancer (late toxicity);Lung adenocarcinoma;LDL cholesterol levels	Fibronectin 1
ENSG00000134363	FST	liver	68.7	0	1	Colorectal cancer;Acne (severe);Small cell lung carcinoma;Height;Bipolar disorder	
ENSG00000145321	GC	liver	8260.1	0	1	Lipid traits;Medication adherence in chronic diseases;Blood metabolite ratios	
ENSG00000263761	GDF2	liver	18.6	0	1	Refractive error;Hematocrit;Hemoglobin;Systolic blood pressure;Red blood cell count	
ENSG00000112964	GHR	liver	213.3	1	1	Height;Response to taxane treatment (docetaxel);Blood protein levels	Growth hormone receptor
