Gene	Gene.name	Tissue	nTPM	fda	gwcat	gwasTraits	fdaGeneDesc
ENSG00000101280	ANGPT4	breast	6.6	0	1	Lung function;Intracranial aneurysm;Logical memory (immediate recall) in Alzheimers disease dementia;Peanut allergy;Food allergy	
ENSG00000167772	ANGPTL4	breast	165	0	1	HDL cholesterol;Triglyceride levels;HDL cholesterol levels	
ENSG00000189058	APOD	breast	5037.8	0	1	HDL cholesterol levels	
ENSG00000197766	CFD	breast	993.2	0	1	Metabolite levels;Hip circumference adjusted for BMI;Systolic blood pressure;Pulse pressure;Moderate or severe prolonged lymphopenia in dimethyl fumarate-treated relapsing-remitting multiple sclerosis	
ENSG00000166509	CLEC3A	breast	9.3	0	1	Systolic blood pressure (alcohol consumption interaction);Colorectal or endometrial cancer	
ENSG00000121005	CRISPLD1	breast	29.4	0	1	Pulse pressure;Optic cup area;Parkinsons disease progression (cognitive);Cognitive flexibility	
ENSG00000006210	CX3CL1	breast	104.8	0	1	Blood protein levels in cardiovascular risk;Blood protein levels;Eosinophil counts;Eosinophil percentage of white cells;Sensory peripheral neuropathy in microtubule targeting agent-treated breast cancer	
ENSG00000196666	FAM180B	breast	5.2	0	1	Bipolar disorder;Fruit consumption;Refractive error;Alzheimers disease or fasting glucose levels (pleiotropy);Brain morphology (MOSTest)	
ENSG00000163083	INHBB	breast	43.3	0	1	Urate levels;Breast cancer;Breast cancer (estrogen-receptor negative);Breast size;Obesity	
ENSG00000167531	LALBA	breast	2187.5	0	1	Itch intensity from mosquito bite adjusted by bite size;Adiponectin levels	
ENSG00000261857	MIA	breast	57.9	0	1	Electroencephalogram traits;Kawasaki disease;Blood protein levels;Carotid intima media thickness (mean)	
ENSG00000172551	MUCL1	breast	3241.2	0	1	Asthma (childhood onset)	
ENSG00000203837	PNLIPRP3	breast	9	0	1	Body mass index;Sweet taste preference;Influenza A (H1N1) infection;Mild influenza (H1N1) infection	
ENSG00000010319	SEMA3G	breast	64.2	0	1	Blood protein levels;Autism spectrum disorder or schizophrenia;Bipolar disorder	
ENSG00000104332	SFRP1	breast	299.3	0	1	Refractive astigmatism;Anti-saccade response;Blood protein levels;Academic attainment (English)	
ENSG00000113739	STC2	breast	143.6	0	1	Height;Antipsychotic drug-induced weight gain in schizophrenia;Urate levels in overweight individuals;Atrial fibrillation	
ENSG00000157150	TIMP4	breast	119.6	0	1	Triglyceride levels;Waist-to-hip ratio adjusted for BMI (age <50);Waist-to-hip ratio adjusted for BMI (age >50);Waist-to-hip ratio adjusted for BMI;Waist-to-hip ratio adjusted for BMI x sex x age interaction (4df test)	
