Gene	Gene.name	Tissue	nTPM	fda	gwcat	gwasTraits	fdaGeneDesc
ENSG00000168542	COL3A1	placenta	1981.7	1	1	Carotid intima media thickness x smoking interaction;Brain morphology (MOSTest);Cortical thickness (MOSTest);Subcortical volume (MOSTest);Brain morphology (min-P)	Collagen type III alpha 1 chain
ENSG00000198223	CSF2RA	placenta	64.4	1	1	Schizophrenia;Mitochondrial heteroplasmy measurement	Colony stimulating factor 2 receptor subunit alpha
ENSG00000197635	DPP4	placenta	134.1	1	1	Schizophrenia;Smoking status (ever vs never smokers);Rheumatoid arthritis;Blood osmolality (transformed sodium)	Dipeptidyl peptidase 4
ENSG00000124491	F13A1	placenta	489.2	1	1	Age-related cognitive decline (memory) (slope of z-scores);Response to lamotrigine and valproic acid in genetic generalized epilepsy;Night sleep phenotypes;Waist-to-hip ratio adjusted for BMI (age <50);Waist-to-hip ratio adjusted for BMI (age >50)	Coagulation factor XIII A chain
ENSG00000102755	FLT1	placenta	432.4	1	1	Triglyceride levels;Refractive error;Acute respiratory distress syndrome in sepsis;Spherical equivalent or myopia (age of diagnosis);Body mass index	Fms related receptor tyrosine kinase 1
ENSG00000115414	FN1	placenta	2928.1	1	1	Cannabis dependence;LDL cholesterol;Response to radiotherapy in cancer (late toxicity);Lung adenocarcinoma;LDL cholesterol levels	Fibronectin 1
ENSG00000119630	PGF	placenta	50.5	1	1	Refractive error;Blood protein levels in cardiovascular risk;Mood instability;Serum alkaline phosphatase levels	Placental growth factor
ENSG00000186652	PRG2	placenta	2616.3	1	1	Glucose homeostasis traits;Crohns disease	Proteoglycan 2, pro eosinophil major basic protein
ENSG00000106366	SERPINE1	placenta	418	1	1	Plasminogen activator inhibitor type 1 levels (PAI-1);Nonunion in individuals with fractures;Plasma plasminogen activator levels;Blood protein levels	Serpin family E member 1
ENSG00000120156	TEK	placenta	46.3	1	1	Lung adenocarcinoma;Age-related cognitive decline (attention/processing speed) (slope of z-scores);Neonatal total 25-hydroxyvitamin D levels (maternal genetic effect);Blood protein levels in cardiovascular risk;Resting heart rate	TEK receptor tyrosine kinase
ENSG00000003436	TFPI	placenta	191.2	1	1	Lung adenocarcinoma;Serum immune biomarker levels;Apolipoprotein A1 levels;Heart rate response to recovery post exercise (40 sec);Heart rate response to recovery post exercise (30 sec)	Tissue factor pathway inhibitor
