Gene	Gene.name	Tissue	nTPM	fda	fdaGeneDesc	gwcat	gwasTraits
ENSG00000146205	ANO7	stomach	28.1	0		1	Neuroblastoma (pediatric);Prostate cancer
ENSG00000105675	ATP4A	stomach	841.9	1	ATPase H+/K+ transporting subunit alpha	1	Platelet count
ENSG00000186009	ATP4B	stomach	1096.8	1	ATPase H+/K+ transporting subunit beta	1	Height
ENSG00000107159	CA9	stomach	289.3	1	Carbonic anhydrase 9	1	Circulating leptin levels x sex interaction in high cardiovascular risk;Gestational age at birth (child effect);Schizophrenia x sex interaction
ENSG00000163394	CCKAR	stomach	16.5	1	Cholecystokinin A receptor	0	
ENSG00000253958	CLDN23	stomach	15.6	0		1	Fish- and plant-related diet;General risk tolerance (MTAG)
ENSG00000164251	F2RL1	stomach	44	0		1	Serum bilirubin levels x sex interaction in metabolic syndrome
ENSG00000183844	FAM3B	stomach	114.9	0		1	Glycemic traits (pregnancy);Elevated serum carcinoembryonic antigen levels;Blood protein levels;Tumor biomarkers
ENSG00000176920	FUT2	stomach	28.9	0		1	Vitamin B levels in ischemic stroke;Blood metabolite ratios;Blood metabolite levels;Psoriasis
ENSG00000115339	GALNT3	stomach	77.3	0		1	Height;Bone mineral density (paediatric, upper limb);Bone mineral density (paediatric, lower limb);Bone mineral density (paediatric, total body less head)
ENSG00000010310	GIPR	stomach	22.7	0		1	Type 2 diabetes;Body mass index variance;Waist circumference variance;Hip circumference variance;Body mass index
ENSG00000164850	GPER1	stomach	45.3	0		1	High light scatter reticulocyte percentage of red cells;High light scatter reticulocyte count;Reticulocyte count;Reticulocyte fraction of red cells;Prostate cancer
ENSG00000163328	GPR155	stomach	52.6	0		1	Urate levels (BMI interaction)
ENSG00000170412	GPRC5C	stomach	230.3	0		1	LDL cholesterol levels x short total sleep time interaction (2df test);Liver enzyme levels (alkaline phosphatase)
ENSG00000159197	KCNE2	stomach	316.3	0		1	Height;Heel bone mineral density;Joint mobility (Beighton score);Lung function (FEV1/FVC);Myocardial infarction
ENSG00000175538	KCNE3	stomach	56.2	0		1	Neuritic plaque;Corneal astigmatism
ENSG00000053918	KCNQ1	stomach	98.9	1	Potassium voltage-gated channel subfamily Q member 1	1	Glucose homeostasis traits;Type 2 diabetes;Plasma amyloid beta peptide concentrations (ABx-40);Height
ENSG00000164078	MST1R	stomach	42.6	0		1	Ulcerative colitis;Refractive error;Body mass index;Age at first birth
ENSG00000185499	MUC1	stomach	1064.7	0		1	Apolipoprotein A1 levels;Hemoglobin levels;Body fat distribution (leg fat ratio);Body fat distribution (trunk fat ratio);Nonunion in individuals with fractures
ENSG00000172927	MYEOV	stomach	6	0		1	Height;Pulse pressure;Diastolic blood pressure
ENSG00000167653	PSCA	stomach	3019.3	0		1	Bladder cancer;Urinary tract infection frequency;Severe gastric atrophy;Pepsinogen I/II ratio
ENSG00000183134	PTGDR2	stomach	9.3	0		1	Inflammatory bowel disease
ENSG00000080031	PTPRH	stomach	23.6	0		1	Plateletcrit;Serum metabolite levels;Mean spheric corpuscular volume
ENSG00000026751	SLAMF7	stomach	34.2	1	SLAM family member 7	1	Blood protein levels;Microalbuminuria;Inflammatory bowel disease;Multiple sclerosis
ENSG00000204385	SLC44A4	stomach	83.4	0		1	Metabolite levels;Telomere length;Lung cancer in ever smokers;Asthma;Asthma (childhood onset)
ENSG00000090020	SLC9A1	stomach	65.9	0		1	Lateral ventricle volume
ENSG00000115616	SLC9A2	stomach	26.4	0		1	Asthma;Gut microbiota (bacterial taxa);Night sleep phenotypes;Asthma or allergic disease (pleiotropy)
ENSG00000066230	SLC9A3	stomach	50.1	1	Solute carrier family 9 member A3	1	Pulse pressure;Systolic blood pressure;Diastolic blood pressure;Hemoglobin levels;Monocyte percentage of white cells
ENSG00000180251	SLC9A4	stomach	53.8	0		1	Asthma;Crohns disease;Night sleep phenotypes;Inflammatory bowel disease
ENSG00000196542	SPTSSB	stomach	61.4	0		1	Parkinsons disease;Number of sexual partners;Parkinsons disease or first degree relation to individual with Parkinsons disease;IgG1 response to Plasmodium falciparum antigen (GLURP);Morning person
ENSG00000139874	SSTR1	stomach	21.7	1	Somatostatin receptor 1	1	Chromium levels;Coronary artery aneurysm in Kawasaki disease;Metabolite levels (5-HIAA/ MHPG Ratio)
ENSG00000103534	TMC5	stomach	46	0		1	Sleep duration;Nicotine dependence symptom count;Gut microbiota (bacterial taxa, rank normal transformation method);HDL cholesterol;Parkinsons disease motor subtype (tremor dominant vs postural instability/gait difficulty)
ENSG00000167105	TMEM92	stomach	23	0		1	Heel bone mineral density
ENSG00000184012	TMPRSS2	stomach	146.2	0		1	Amyotrophic lateral sclerosis (sporadic);Prostate cancer;Liver enzyme levels (gamma-glutamyl transferase)
ENSG00000160183	TMPRSS3	stomach	14.5	0		1	Face memory;Age-related hearing impairment
ENSG00000048462	TNFRSF17	stomach	24.4	0		1	Phenylephrine infusion rate during anesthesia;Testicular germ cell tumor;QT interval;Blood protein levels
